#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1481186,22112401,vB_AbaM_Acibel004_2,vB_AbaM_Acibel004_2,-,-,-,-,putative DnaG-like primase,protein-coding,-,-,-,putative DnaG-like primase,20200910,-
1481186,22112568,vB_AbaM_Acibel004_146,vB_AbaM_Acibel004_146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112569,vB_AbaM_Acibel004_147,vB_AbaM_Acibel004_147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112570,vB_AbaM_Acibel004_148,vB_AbaM_Acibel004_148,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200910,-
1481186,22112571,vB_AbaM_Acibel004_149,vB_AbaM_Acibel004_149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112572,vB_AbaM_Acibel004_150,vB_AbaM_Acibel004_150,-,-,-,-,putative lysozyme,protein-coding,-,-,-,putative lysozyme,20200910,-
1481186,22112573,vB_AbaM_Acibel004_151,vB_AbaM_Acibel004_151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112574,vB_AbaM_Acibel004_152,vB_AbaM_Acibel004_152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112575,vB_AbaM_Acibel004_153,vB_AbaM_Acibel004_153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112576,vB_AbaM_Acibel004_154,vB_AbaM_Acibel004_154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112577,vB_AbaM_Acibel004_155,vB_AbaM_Acibel004_155,-,-,-,-,putative GTP-binding protein,protein-coding,-,-,-,putative GTP-binding protein,20200910,-
1481186,22112578,vB_AbaM_Acibel004_156,vB_AbaM_Acibel004_156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22203810,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Acinetobacter baumannii phage vB_AbaM_Acibel004).,other,-,-,-,-,20200715,-
