#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2696340,55626634,HWD05_gp002,HWD05_gp002,CPT_CIP9_002,-,-,-,capsid vertex protein,protein-coding,-,-,-,capsid vertex protein,20210313,-
2696340,55626804,HWD05_gp172,HWD05_gp172,CPT_CIP9_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626805,HWD05_gp173,HWD05_gp173,CPT_CIP9_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626806,HWD05_gp174,HWD05_gp174,CPT_CIP9_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626807,HWD05_gp175,HWD05_gp175,CPT_CIP9_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626808,HWD05_gp176,HWD05_gp176,CPT_CIP9_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626809,HWD05_gp177,HWD05_gp177,CPT_CIP9_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626810,HWD05_gp178,HWD05_gp178,CPT_CIP9_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626811,nrdH,HWD05_gp179,CPT_CIP9_179,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210313,-
2696340,55626812,HWD05_gp180,HWD05_gp180,CPT_CIP9_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626813,HWD05_gp181,HWD05_gp181,CPT_CIP9_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626814,HWD05_gp182,HWD05_gp182,CPT_CIP9_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626815,HWD05_gp183,HWD05_gp183,CPT_CIP9_183,-,-,-,packaging and recombination endonuclease VII,protein-coding,-,-,-,packaging and recombination endonuclease VII,20210313,-
2696340,55626816,pin,HWD05_gp184,CPT_CIP9_184,-,-,-,protease inhibitor,protein-coding,-,-,-,protease inhibitor,20210313,-
2696340,55626817,HWD05_gp185,HWD05_gp185,CPT_CIP9_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626818,HWD05_gp186,HWD05_gp186,CPT_CIP9_186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626819,HWD05_gp187,HWD05_gp187,CPT_CIP9_187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626820,nrdC,HWD05_gp188,CPT_CIP9_188,-,-,-,thiorexdoxin,protein-coding,-,-,-,thiorexdoxin,20210306,-
2696340,55626821,HWD05_gp189,HWD05_gp189,CPT_CIP9_189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626822,HWD05_gp190,HWD05_gp190,CPT_CIP9_190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626823,HWD05_gp191,HWD05_gp191,CPT_CIP9_191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626824,HWD05_gp192,HWD05_gp192,CPT_CIP9_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626825,HWD05_gp193,HWD05_gp193,CPT_CIP9_193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626826,HWD05_gp194,HWD05_gp194,CPT_CIP9_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626827,HWD05_gp195,HWD05_gp195,CPT_CIP9_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626828,HWD05_gp196,HWD05_gp196,CPT_CIP9_196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626829,HWD05_gp197,HWD05_gp197,CPT_CIP9_197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626830,HWD05_gp198,HWD05_gp198,CPT_CIP9_198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626831,HWD05_gp199,HWD05_gp199,CPT_CIP9_199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626832,HWD05_gp200,HWD05_gp200,CPT_CIP9_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626833,HWD05_gp201,HWD05_gp201,CPT_CIP9_201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626834,HWD05_gp202,HWD05_gp202,CPT_CIP9_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626835,HWD05_gp203,HWD05_gp203,CPT_CIP9_203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626836,HWD05_gp204,HWD05_gp204,CPT_CIP9_204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2696340,55626837,HWD05_gp205,HWD05_gp205,CPT_CIP9_205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626838,HWD05_gp206,HWD05_gp206,CPT_CIP9_206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626839,HWD05_gp207,HWD05_gp207,CPT_CIP9_207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626840,HWD05_gp208,HWD05_gp208,CPT_CIP9_208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626841,HWD05_gp209,HWD05_gp209,CPT_CIP9_209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626842,HWD05_gp210,HWD05_gp210,CPT_CIP9_210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626843,HWD05_gp211,HWD05_gp211,CPT_CIP9_211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626844,HWD05_gp212,HWD05_gp212,CPT_CIP9_212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626845,HWD05_gp213,HWD05_gp213,CPT_CIP9_213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626846,HWD05_gp214,HWD05_gp214,CPT_CIP9_214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626847,HWD05_gp215,HWD05_gp215,CPT_CIP9_215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626848,HWD05_gp216,HWD05_gp216,CPT_CIP9_216,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626849,HWD05_gp217,HWD05_gp217,CPT_CIP9_217,-,-,-,lysis inhibition regulator membrane protein,protein-coding,-,-,-,lysis inhibition regulator membrane protein,20210313,-
2696340,55626850,HWD05_gp218,HWD05_gp218,CPT_CIP9_218,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626851,HWD05_gp219,HWD05_gp219,CPT_CIP9_219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626852,tk,HWD05_gp220,CPT_CIP9_220,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20210313,-
2696340,55626853,HWD05_gp221,HWD05_gp221,CPT_CIP9_221,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626854,HWD05_gp222,HWD05_gp222,CPT_CIP9_222,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626855,vs,HWD05_gp223,CPT_CIP9_223,-,-,-,valyl-tRNA synthetase modifier,protein-coding,-,-,-,valyl-tRNA synthetase modifier,20200620,-
2696340,55626856,HWD05_gp224,HWD05_gp224,CPT_CIP9_224,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626857,regB,HWD05_gp225,CPT_CIP9_225,-,-,-,site-specific RNA endonuclease,protein-coding,-,-,-,site-specific RNA endonuclease,20210306,-
2696340,55626858,HWD05_gp226,HWD05_gp226,CPT_CIP9_226,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626859,HWD05_gp227,HWD05_gp227,CPT_CIP9_227,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626860,HWD05_gp228,HWD05_gp228,CPT_CIP9_228,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626861,HWD05_gp229,HWD05_gp229,CPT_CIP9_229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626862,HWD05_gp230,HWD05_gp230,CPT_CIP9_230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626863,HWD05_gp231,HWD05_gp231,CPT_CIP9_231,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626864,denV,HWD05_gp232,CPT_CIP9_232,-,-,-,"endonuclease V, N-glycosylase UV repair enzyme",protein-coding,-,-,-,"endonuclease V, N-glycosylase UV repair enzyme",20210313,-
2696340,55626865,HWD05_gp233,HWD05_gp233,CPT_CIP9_233,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626866,e,HWD05_gp234,CPT_CIP9_234,-,-,-,lysozyme murein hydrolase,protein-coding,-,-,-,lysozyme murein hydrolase,20210306,-
2696340,55626867,nudE,HWD05_gp235,CPT_CIP9_235,-,-,-,nudix hydrolase,protein-coding,-,-,-,nudix hydrolase,20210313,-
2696340,55626868,HWD05_gp236,HWD05_gp236,CPT_CIP9_236,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626869,HWD05_gp237,HWD05_gp237,CPT_CIP9_237,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626870,HWD05_gp238,HWD05_gp238,CPT_CIP9_238,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626871,HWD05_gp239,HWD05_gp239,CPT_CIP9_239,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626872,HWD05_gp240,HWD05_gp240,CPT_CIP9_240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626873,HWD05_gp241,HWD05_gp241,CPT_CIP9_241,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626874,HWD05_gp242,HWD05_gp242,CPT_CIP9_242,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626875,HWD05_gp243,HWD05_gp243,CPT_CIP9_243,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626876,HWD05_gp244,HWD05_gp244,CPT_CIP9_244,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626877,HWD05_gp245,HWD05_gp245,CPT_CIP9_245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626878,HWD05_gp246,HWD05_gp246,CPT_CIP9_246,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626879,HWD05_gp247,HWD05_gp247,CPT_CIP9_247,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626880,HWD05_gp248,HWD05_gp248,CPT_CIP9_248,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626881,HWD05_gp249,HWD05_gp249,CPT_CIP9_249,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626882,HWD05_gp250,HWD05_gp250,CPT_CIP9_250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626883,HWD05_gp251,HWD05_gp251,CPT_CIP9_251,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626884,HWD05_gp252,HWD05_gp252,CPT_CIP9_252,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626885,HWD05_gp253,HWD05_gp253,CPT_CIP9_253,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626886,HWD05_gp254,HWD05_gp254,CPT_CIP9_254,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626887,HWD05_gp255,HWD05_gp255,CPT_CIP9_255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626888,HWD05_gp256,HWD05_gp256,CPT_CIP9_256,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626889,HWD05_gp257,HWD05_gp257,CPT_CIP9_257,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626890,HWD05_gp258,HWD05_gp258,CPT_CIP9_258,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626891,HWD05_gp259,HWD05_gp259,CPT_CIP9_259,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626892,HWD05_gp260,HWD05_gp260,CPT_CIP9_260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626893,HWD05_gp261,HWD05_gp261,CPT_CIP9_261,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626894,HWD05_gp262,HWD05_gp262,CPT_CIP9_262,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626895,HWD05_gp263,HWD05_gp263,CPT_CIP9_263,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626896,HWD05_gp264,HWD05_gp264,CPT_CIP9_264,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626897,ipI,HWD05_gp265,CPT_CIP9_265,-,-,-,putative internal head protein,protein-coding,-,-,-,putative internal head protein,20200620,-
2696340,55626898,HWD05_gp266,HWD05_gp266,CPT_CIP9_266,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2696340,55626899,HWD05_gp267,HWD05_gp267,CPT_CIP9_267,-,-,-,chaperone for tail fiber formation,protein-coding,-,-,-,chaperone for tail fiber formation,20210313,-
2696340,55626900,HWD05_gp268,HWD05_gp268,CPT_CIP9_268,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20210313,-
2696340,55626901,HWD05_gp269,HWD05_gp269,CPT_CIP9_269,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20210306,-
2696340,55626902,HWD05_gp270,HWD05_gp270,CPT_CIP9_270,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20210306,-
2696340,55626903,HWD05_gp271,HWD05_gp271,CPT_CIP9_271,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210306,-
2696340,55626904,HWD05_gp272,HWD05_gp272,CPT_CIP9_272,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210313,-
2696340,55626905,HWD05_gp273,HWD05_gp273,CPT_CIP9_273,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20210313,-
2696340,55626906,HWD05_gp274,HWD05_gp274,CPT_CIP9_274,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626907,HWD05_gp275,HWD05_gp275,CPT_CIP9_275,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626908,HWD05_gp276,HWD05_gp276,CPT_CIP9_276,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210313,-
2696340,55626909,HWD05_gp277,HWD05_gp277,CPT_CIP9_277,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20210313,-
2696340,55626910,HWD05_gp278,HWD05_gp278,CPT_CIP9_278,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210313,-
2696340,55626911,HWD05_gp279,HWD05_gp279,CPT_CIP9_279,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20210313,-
2696340,55626912,HWD05_gp280,HWD05_gp280,CPT_CIP9_280,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210313,-
2696340,55626913,HWD05_gp281,HWD05_gp281,CPT_CIP9_281,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210313,-
2696340,55626914,HWD05_gp282,HWD05_gp282,CPT_CIP9_282,-,-,-,short tail fibers protein,protein-coding,-,-,-,short tail fibers protein,20210313,-
2696340,55626915,wac,HWD05_gp283,CPT_CIP9_283,-,-,-,fibritin neck whiskers protein,protein-coding,-,-,-,fibritin neck whiskers protein,20210313,-
2696340,55626916,HWD05_gp284,HWD05_gp284,CPT_CIP9_284,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210313,-
2696340,55626917,HWD05_gp285,HWD05_gp285,CPT_CIP9_285,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210313,-
2696340,55626918,HWD05_gp286,HWD05_gp286,CPT_CIP9_286,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20210313,-
2696340,55626919,HWD05_gp287,HWD05_gp287,CPT_CIP9_287,-,-,-,"terminase DNA packaging enzyme, small subunit",protein-coding,-,-,-,"terminase DNA packaging enzyme, small subunit",20210313,-
2696340,55626920,HWD05_gp288,HWD05_gp288,CPT_CIP9_288,-,-,-,"terminase DNA packaging enzyme, large subunit",protein-coding,-,-,-,"terminase DNA packaging enzyme, large subunit",20210313,-
2696340,55626921,HWD05_gp289,HWD05_gp289,CPT_CIP9_289,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210306,-
2696340,55626922,HWD05_gp290,HWD05_gp290,CPT_CIP9_290,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210306,-
2696340,55626923,HWD05_gp291,HWD05_gp291,CPT_CIP9_291,-,-,-,portal vertex protein of head,protein-coding,-,-,-,portal vertex protein of head,20210313,-
2696340,55626924,HWD05_gp292,HWD05_gp292,CPT_CIP9_292,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210313,-
2696340,55626925,HWD05_gp293,HWD05_gp293,CPT_CIP9_293,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210313,-
2696340,55626926,HWD05_gp294,HWD05_gp294,CPT_CIP9_294,-,-,-,prohead core scaffold protein and protease,protein-coding,-,-,-,prohead core scaffold protein and protease,20210306,-
2696340,55626927,HWD05_gp295,HWD05_gp295,CPT_CIP9_295,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20210306,-
2696340,55626928,HWD05_gp296,HWD05_gp296,CPT_CIP9_296,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20210313,-
2696340,55626929,HWD05_gp001,HWD05_gp001,CPT_CIP9_001,-,-,-,head vertex protein,protein-coding,-,-,-,head vertex protein,20210313,-
2696340,55636115,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
