#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2024308,40095418,FDJ02_gp001,FDJ02_gp001,Sf21_gp1,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20200629,-
2024308,40095589,FDJ02_gp226,FDJ02_gp226,Sf21_gp172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095590,FDJ02_gp225,FDJ02_gp225,Sf21_gp173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095591,FDJ02_gp224,FDJ02_gp224,Sf21_gp174,-,-,-,head outer capsid protein,protein-coding,-,-,-,head outer capsid protein,20200629,-
2024308,40095592,FDJ02_gp223,FDJ02_gp223,Sf21_gp175,-,-,-,inhibitor of prohead protease,protein-coding,-,-,-,inhibitor of prohead protease,20200629,-
2024308,40095593,FDJ02_gp222,FDJ02_gp222,Sf21_gp176,-,-,-,helicase,protein-coding,-,-,-,helicase,20200629,-
2024308,40095594,FDJ02_gp221,FDJ02_gp221,Sf21_gp177,-,-,-,DUF2685 domain-containing protein,protein-coding,-,-,-,DUF2685 domain-containing protein,20201221,-
2024308,40095595,FDJ02_gp220,FDJ02_gp220,Sf21_gp178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095596,FDJ02_gp219,FDJ02_gp219,Sf21_gp179,-,-,-,recombination mediator protein UvsY,protein-coding,-,-,-,recombination mediator protein UvsY,20210123,-
2024308,40095597,FDJ02_gp218,FDJ02_gp218,Sf21_gp180,-,-,-,GPW/gp25 family protein,protein-coding,-,-,-,GPW/gp25 family protein,20201221,-
2024308,40095598,FDJ02_gp217,FDJ02_gp217,Sf21_gp181,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200629,-
2024308,40095599,FDJ02_gp216,FDJ02_gp216,Sf21_gp182,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200629,-
2024308,40095600,FDJ02_gp215,FDJ02_gp215,Sf21_gp183,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200629,-
2024308,40095601,FDJ02_gp214,FDJ02_gp214,Sf21_gp184,-,-,-,"baseplate hub subunit, distal",protein-coding,-,-,-,"baseplate hub subunit, distal",20200629,-
2024308,40095602,FDJ02_gp213,FDJ02_gp213,Sf21_gp185,-,-,-,"baseplate hub subunit, tail length determinator",protein-coding,-,-,-,"baseplate hub subunit, tail length determinator",20200629,-
2024308,40095603,FDJ02_gp212,FDJ02_gp212,Sf21_gp186,-,-,-,baseplate subunit,protein-coding,-,-,-,baseplate subunit,20200629,-
2024308,40095604,FDJ02_gp211,FDJ02_gp211,Sf21_gp187,-,-,-,baseplate subunit,protein-coding,-,-,-,baseplate subunit,20200629,-
2024308,40095605,FDJ02_gp210,FDJ02_gp210,Sf21_gp188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095606,FDJ02_gp209,FDJ02_gp209,Sf21_gp189,-,-,-,putative ADP ribosyltransferase,protein-coding,-,-,-,putative ADP ribosyltransferase,20200629,-
2024308,40095607,FDJ02_gp208,FDJ02_gp208,Sf21_gp190,-,-,-,ADP ribosyltransferase,protein-coding,-,-,-,ADP ribosyltransferase,20200629,-
2024308,40095608,FDJ02_gp207,FDJ02_gp207,Sf21_gp191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095609,FDJ02_gp206,FDJ02_gp206,Sf21_gp192,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200629,-
2024308,40095610,FDJ02_gp205,FDJ02_gp205,Sf21_gp193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095611,FDJ02_gp204,FDJ02_gp204,Sf21_gp194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095612,FDJ02_gp203,FDJ02_gp203,Sf21_gp195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095613,FDJ02_gp202,FDJ02_gp202,Sf21_gp196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095614,FDJ02_gp201,FDJ02_gp201,Sf21_gp197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095615,FDJ02_gp200,FDJ02_gp200,Sf21_gp198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095616,FDJ02_gp199,FDJ02_gp199,Sf21_gp199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095617,FDJ02_gp198,FDJ02_gp198,Sf21_gp200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095618,FDJ02_gp197,FDJ02_gp197,Sf21_gp201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095619,FDJ02_gp196,FDJ02_gp196,Sf21_gp202,-,-,-,rIII lysis inhibitor,protein-coding,-,-,-,rIII lysis inhibitor,20200629,-
2024308,40095620,FDJ02_gp195,FDJ02_gp195,Sf21_gp203,-,-,-,co-chaperone GroES,protein-coding,-,-,-,co-chaperone GroES,20210212,-
2024308,40095621,FDJ02_gp194,FDJ02_gp194,Sf21_gp204,-,-,-,DUF2693 domain-containing protein,protein-coding,-,-,-,DUF2693 domain-containing protein,20210123,-
2024308,40095622,FDJ02_gp193,FDJ02_gp193,Sf21_gp205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095623,FDJ02_gp192,FDJ02_gp192,Sf21_gp206,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20201221,-
2024308,40095624,FDJ02_gp191,FDJ02_gp191,Sf21_gp207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095625,FDJ02_gp190,FDJ02_gp190,Sf21_gp208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095626,FDJ02_gp189,FDJ02_gp189,Sf21_gp209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095627,FDJ02_gp188,FDJ02_gp188,Sf21_gp210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095628,FDJ02_gp187,FDJ02_gp187,Sf21_gp211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095629,FDJ02_gp186,FDJ02_gp186,Sf21_gp212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095630,FDJ02_gp185,FDJ02_gp185,Sf21_gp213,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20200629,-
2024308,40095631,FDJ02_gp184,FDJ02_gp184,Sf21_gp214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095632,FDJ02_gp183,FDJ02_gp183,Sf21_gp215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095633,FDJ02_gp182,FDJ02_gp182,Sf21_gp216,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095634,FDJ02_gp181,FDJ02_gp181,Sf21_gp217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095635,FDJ02_gp180,FDJ02_gp180,Sf21_gp218,-,-,-,inhibitor of host transcription,protein-coding,-,-,-,inhibitor of host transcription,20200629,-
2024308,40095636,FDJ02_gp179,FDJ02_gp179,Sf21_gp219,-,-,-,RNA ligase A,protein-coding,-,-,-,RNA ligase A,20200629,-
2024308,40095637,FDJ02_gp178,FDJ02_gp178,Sf21_gp220,-,-,-,endonuclease II,protein-coding,-,-,-,endonuclease II,20200629,-
2024308,40095638,FDJ02_gp177,FDJ02_gp177,Sf21_gp221,-,-,-,"ribonucleoside-diphosphate reductase, small subunit",protein-coding,-,-,-,"ribonucleoside-diphosphate reductase, small subunit",20210424,-
2024308,40095639,FDJ02_gp176,FDJ02_gp176,Sf21_gp222,-,-,-,"ribonucleoside-diphosphate reductase, large subunit",protein-coding,-,-,-,"ribonucleoside-diphosphate reductase, large subunit",20200629,-
2024308,40095640,FDJ02_gp175,FDJ02_gp175,Sf21_gp223,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2024308,40095641,FDJ02_gp174,FDJ02_gp174,Sf21_gp224,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095642,FDJ02_gp173,FDJ02_gp173,Sf21_gp225,-,-,-,dTMP thymidylate synthase,protein-coding,-,-,-,dTMP thymidylate synthase,20200629,-
2024308,40095643,FDJ02_gp172,FDJ02_gp172,Sf21_gp226,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095644,FDJ02_gp171,FDJ02_gp171,Sf21_gp227,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20200629,-
2024308,40095645,FDJ02_gp170,FDJ02_gp170,Sf21_gp228,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095646,FDJ02_gp169,FDJ02_gp169,Sf21_gp229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095647,FDJ02_gp168,FDJ02_gp168,Sf21_gp230,-,-,-,DUF5417 domain-containing protein,protein-coding,-,-,-,DUF5417 domain-containing protein,20201221,-
2024308,40095648,FDJ02_gp167,FDJ02_gp167,Sf21_gp231,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095649,FDJ02_gp166,FDJ02_gp166,Sf21_gp232,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095650,FDJ02_gp165,FDJ02_gp165,Sf21_gp233,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20200629,-
2024308,40095651,FDJ02_gp164,FDJ02_gp164,Sf21_gp234,-,-,-,59 protein,protein-coding,-,-,-,59 protein,20201221,-
2024308,40095652,FDJ02_gp163,FDJ02_gp163,Sf21_gp235,-,-,-,gp33 late promoter transcription accessory protein,protein-coding,-,-,-,gp33 late promoter transcription accessory protein,20201221,-
2024308,40095653,FDJ02_gp162,FDJ02_gp162,Sf21_gp236,-,-,-,double-stranded DNA binding protein,protein-coding,-,-,-,double-stranded DNA binding protein,20200629,-
2024308,40095654,FDJ02_gp161,FDJ02_gp161,Sf21_gp237,-,-,-,RNase H,protein-coding,-,-,-,RNase H,20201221,-
2024308,40095655,FDJ02_gp160,FDJ02_gp160,Sf21_gp238,-,-,-,"long tail fiber subunit, proximal",protein-coding,-,-,-,"long tail fiber subunit, proximal",20200629,-
2024308,40095656,FDJ02_gp159,FDJ02_gp159,Sf21_gp239,-,-,-,proximal hinge connector of long tail fiber,protein-coding,-,-,-,proximal hinge connector of long tail fiber,20200629,-
2024308,40095657,FDJ02_gp158,FDJ02_gp158,Sf21_gp240,-,-,-,distal hinge connector of long tail fiber,protein-coding,-,-,-,distal hinge connector of long tail fiber,20200629,-
2024308,40095658,FDJ02_gp157,FDJ02_gp157,Sf21_gp241,-,-,-,"long tail fiber subunit, distal",protein-coding,-,-,-,"long tail fiber subunit, distal",20200629,-
2024308,40095659,FDJ02_gp156,FDJ02_gp156,Sf21_gp242,-,-,-,gp242,protein-coding,-,-,-,gp242|tail fiber/host adhesion protein,20201221,-
2024308,40095660,FDJ02_gp155,FDJ02_gp155,Sf21_gp243,-,-,-,holin,protein-coding,-,-,-,holin,20200629,-
2024308,40095661,FDJ02_gp154,FDJ02_gp154,Sf21_gp244,-,-,-,AsiA anti-sigma 70 protein,protein-coding,-,-,-,AsiA anti-sigma 70 protein,20210212,-
2024308,40095662,FDJ02_gp153,FDJ02_gp153,Sf21_gp245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095663,FDJ02_gp152,FDJ02_gp152,Sf21_gp246,-,-,-,inhibitor of restriction endonuclease,protein-coding,-,-,-,inhibitor of restriction endonuclease,20200629,-
2024308,40095664,FDJ02_gp151,FDJ02_gp151,Sf21_gp247,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095665,FDJ02_gp150,FDJ02_gp150,Sf21_gp248,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095666,FDJ02_gp149,FDJ02_gp149,Sf21_gp249,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095667,FDJ02_gp148,FDJ02_gp148,Sf21_gp250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095668,FDJ02_gp147,FDJ02_gp147,Sf21_gp251,-,-,-,transcriptional activator of middle genes,protein-coding,-,-,-,transcriptional activator of middle genes,20200629,-
2024308,40095669,FDJ02_gp146,FDJ02_gp146,Sf21_gp252,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095670,FDJ02_gp145,FDJ02_gp145,Sf21_gp253,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095671,FDJ02_gp144,FDJ02_gp144,Sf21_gp254,-,-,-,"DNA gyrase, gyrA subunit",protein-coding,-,-,-,"DNA gyrase, gyrA subunit",20200629,-
2024308,40095672,FDJ02_gp143,FDJ02_gp143,Sf21_gp255,-,-,-,acridine resistance protein,protein-coding,-,-,-,acridine resistance protein,20200629,-
2024308,40095673,FDJ02_gp142,FDJ02_gp142,Sf21_gp256,-,-,-,nucleoid disruption protein,protein-coding,-,-,-,nucleoid disruption protein,20200629,-
2024308,40095674,FDJ02_gp141,FDJ02_gp141,Sf21_gp257,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095675,FDJ02_gp140,FDJ02_gp140,Sf21_gp258,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095676,FDJ02_gp139,FDJ02_gp139,Sf21_gp259,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095677,FDJ02_gp138,FDJ02_gp138,Sf21_gp260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095678,FDJ02_gp137,FDJ02_gp137,Sf21_gp261,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095679,FDJ02_gp136,FDJ02_gp136,Sf21_gp262,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095680,FDJ02_gp135,FDJ02_gp135,Sf21_g263,-,-,-,DNA endonuclease IV,protein-coding,-,-,-,DNA endonuclease IV,20200629,-
2024308,40095681,FDJ02_gp134,FDJ02_gp134,Sf21_gp264,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095682,FDJ02_gp133,FDJ02_gp133,Sf21_gp265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095683,FDJ02_gp132,FDJ02_gp132,Sf21_gp266,-,-,-,rIIB protein,protein-coding,-,-,-,rIIB protein,20200629,-
2024308,40095684,FDJ02_gt002,FDJ02_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2024308,40095685,FDJ02_gt003,FDJ02_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2024308,40095686,FDJ02_gt004,FDJ02_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2024308,40095687,FDJ02_gt005,FDJ02_gt005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2024308,40095688,FDJ02_gt006,FDJ02_gt006,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2024308,40095689,FDJ02_gt007,FDJ02_gt007,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2024308,40095690,FDJ02_gt008,FDJ02_gt008,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2024308,40095691,FDJ02_gt009,FDJ02_gt009,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2024308,40095692,FDJ02_gt010,FDJ02_gt010,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2024308,40095693,FDJ02_gt011,FDJ02_gt011,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2024308,40095694,FDJ02_gp266,FDJ02_gp266,Sf21_gp132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40120466,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
