#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2163890,65054912,KMB96_gp002,KMB96_gp002,-,-,-,-,rIIA lysis inhibitor,protein-coding,-,-,-,rIIA lysis inhibitor,20210607,-
2163890,65055101,KMB96_gp191,KMB96_gp191,-,-,-,-,"ribonucleotide reductase of class III, small subunit",protein-coding,-,-,-,"ribonucleotide reductase of class III, small subunit",20210607,-
2163890,65055102,KMB96_gp192,KMB96_gp192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055103,KMB96_gp193,KMB96_gp193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055104,KMB96_gp194,KMB96_gp194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055105,KMB96_gp195,KMB96_gp195,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210607,-
2163890,65055106,KMB96_gp196,KMB96_gp196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055107,KMB96_gp197,KMB96_gp197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055108,KMB96_gp198,KMB96_gp198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055109,KMB96_gp199,KMB96_gp199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055110,KMB96_gp200,KMB96_gp200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055111,KMB96_gp201,KMB96_gp201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055112,KMB96_gp202,KMB96_gp202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055113,KMB96_gp203,KMB96_gp203,-,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210609,-
2163890,65055114,KMB96_gp204,KMB96_gp204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055115,KMB96_gp205,KMB96_gp205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2163890,65055116,KMB96_gp206,KMB96_gp206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055117,KMB96_gp207,KMB96_gp207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055118,KMB96_gp208,KMB96_gp208,-,-,-,-,alpha-glucosyl-transferase,protein-coding,-,-,-,alpha-glucosyl-transferase,20210607,-
2163890,65055119,KMB96_gp209,KMB96_gp209,-,-,-,-,recombination-related endonuclease,protein-coding,-,-,-,recombination-related endonuclease,20210607,-
2163890,65055120,KMB96_gp210,KMB96_gp210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055121,KMB96_gp211,KMB96_gp211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055122,KMB96_gp212,KMB96_gp212,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210607,-
2163890,65055123,KMB96_gp213,KMB96_gp213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055124,KMB96_gp214,KMB96_gp214,-,-,-,-,putative RNA polymerase binding protein,protein-coding,-,-,-,putative RNA polymerase binding protein,20210607,-
2163890,65055125,KMB96_gp215,KMB96_gp215,-,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20210607,-
2163890,65055126,KMB96_gp216,KMB96_gp216,-,-,-,-,replication factor C small subunit phage DNA polymerase clamp loader subunit,protein-coding,-,-,-,replication factor C small subunit phage DNA polymerase clamp loader subunit,20210607,-
2163890,65055127,KMB96_gp217,KMB96_gp217,-,-,-,-,putative clamp-loader subunit,protein-coding,-,-,-,putative clamp-loader subunit,20210609,-
2163890,65055128,KMB96_gp218,KMB96_gp218,-,-,-,-,translational repressor protein,protein-coding,-,-,-,translational repressor protein,20210612,-
2163890,65055129,KMB96_gp219,KMB96_gp219,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210607,-
2163890,65055130,KMB96_gp220,KMB96_gp220,-,-,-,-,immunity protein,protein-coding,-,-,-,immunity protein,20210607,-
2163890,65055131,KMB96_gp221,KMB96_gp221,-,-,-,-,immunity to superinfection membrane protein,protein-coding,-,-,-,immunity to superinfection membrane protein,20210607,-
2163890,65055132,KMB96_gp222,KMB96_gp222,-,-,-,-,deoxycytidylate 5-hydroxymethyltransferase,protein-coding,-,-,-,deoxycytidylate 5-hydroxymethyltransferase,20210607,-
2163890,65055133,KMB96_gp223,KMB96_gp223,-,-,-,-,glucosyl transferase,protein-coding,-,-,-,glucosyl transferase,20210607,-
2163890,65055134,KMB96_gp224,KMB96_gp224,-,-,-,-,recombination protein,protein-coding,-,-,-,recombination protein,20210607,-
2163890,65055135,KMB96_gp225,KMB96_gp225,-,-,-,-,putative head vertex assembly chaperone,protein-coding,-,-,-,putative head vertex assembly chaperone,20210607,-
2163890,65055136,KMB96_gp226,KMB96_gp226,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210607,-
2163890,65055137,KMB96_gp227,KMB96_gp227,-,-,-,-,discriminator of mRNA degradation,protein-coding,-,-,-,discriminator of mRNA degradation,20210607,-
2163890,65055138,KMB96_gp228,KMB96_gp228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055139,KMB96_gp229,KMB96_gp229,-,-,-,-,spackle periplasmic protein,protein-coding,-,-,-,spackle periplasmic protein,20210607,-
2163890,65055140,KMB96_gp230,KMB96_gp230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055141,KMB96_gp231,KMB96_gp231,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055142,KMB96_gp232,KMB96_gp232,-,-,-,-,DNA primase / DNA helicase,protein-coding,-,-,-,DNA primase / DNA helicase,20210607,-
2163890,65055143,KMB96_gp233,KMB96_gp233,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055144,KMB96_gp234,KMB96_gp234,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210607,-
2163890,65055145,KMB96_gp235,KMB96_gp235,-,-,-,-,dCTP pyrophosphatase,protein-coding,-,-,-,dCTP pyrophosphatase,20210607,-
2163890,65055146,KMB96_gp236,KMB96_gp236,-,-,-,-,small outer capsid protein,protein-coding,-,-,-,small outer capsid protein,20210607,-
2163890,65055147,KMB96_gp237,KMB96_gp237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055148,KMB96_gp238,KMB96_gp238,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055149,KMB96_gp239,KMB96_gp239,-,-,-,-,transcription modulator under heat shock,protein-coding,-,-,-,transcription modulator under heat shock,20210607,-
2163890,65055150,KMB96_gp240,KMB96_gp240,-,-,-,-,transcription modulator,protein-coding,-,-,-,transcription modulator,20210607,-
2163890,65055151,KMB96_gp241,KMB96_gp241,-,-,-,-,molybdenum ABC transporter,protein-coding,-,-,-,molybdenum ABC transporter,20210607,-
2163890,65055152,KMB96_gp242,KMB96_gp242,-,-,-,-,molybdenum ABC transporter,protein-coding,-,-,-,molybdenum ABC transporter,20210607,-
2163890,65055153,KMB96_gp243,KMB96_gp243,-,-,-,-,molybdenum ABC transporter,protein-coding,-,-,-,molybdenum ABC transporter,20210607,-
2163890,65055154,KMB96_gp244,KMB96_gp244,-,-,-,-,NAD--protein ADP-ribosyltransferase,protein-coding,-,-,-,NAD--protein ADP-ribosyltransferase,20210607,-
2163890,65055155,KMB96_gp245,KMB96_gp245,-,-,-,-,NAD--protein ADP-ribosyltransferase,protein-coding,-,-,-,NAD--protein ADP-ribosyltransferase,20210607,-
2163890,65055156,KMB96_gp246,KMB96_gp246,-,-,-,-,anti-termination protein,protein-coding,-,-,-,anti-termination protein,20210607,-
2163890,65055157,KMB96_gp247,KMB96_gp247,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055158,KMB96_gp248,KMB96_gp248,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2163890,65055159,KMB96_gp249,KMB96_gp249,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210607,-
2163890,65055160,KMB96_gp250,KMB96_gp250,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210607,-
2163890,65055161,KMB96_gp251,KMB96_gp251,-,-,-,-,exonuclease A,protein-coding,-,-,-,exonuclease A,20210607,-
2163890,65055162,KMB96_gp252,KMB96_gp252,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210607,-
2163890,65055163,KMB96_gp253,KMB96_gp253,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210607,-
2163890,65055164,KMB96_gp254,KMB96_gp254,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210607,-
2163890,65055165,KMB96_gp255,KMB96_gp255,-,-,-,-,cef modifier of suppressor tRNAs,protein-coding,-,-,-,cef modifier of suppressor tRNAs,20210607,-
2163890,65055166,KMB96_gp256,KMB96_gp256,-,-,-,-,mRNA metabolism modulator,protein-coding,-,-,-,mRNA metabolism modulator,20210607,-
2163890,65055167,KMB96_gp257,KMB96_gp257,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055168,KMB96_gp258,KMB96_gp258,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055169,KMB96_gp259,KMB96_gp259,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055170,KMB96_gp260,KMB96_gp260,-,-,-,-,DNA gyrase subunit B,protein-coding,-,-,-,DNA gyrase subunit B,20210609,-
2163890,65055171,KMB96_gp001,KMB96_gp001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2163890,65242763,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Enterobacteria phage vB_EcoS_IME340).,other,-,-,-,-,20210609,-
