#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
707757,8997234,KP15_2,KP15_2,-,-,-,-,RIIA-RIIB membrane-associated protein,protein-coding,-,-,-,RIIA-RIIB membrane-associated protein,20201220,-
707757,10021891,KP15_149A,KP15_149A,-,-,-,-,chaperone for tail fiber formation,protein-coding,-,-,-,chaperone for tail fiber formation,20201220,-
707757,10021892,KP15_103A,KP15_103A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021893,KP15_136A,KP15_136A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021894,KP15_136,KP15_136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021895,KP15_23A,KP15_23A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021896,KP15_236B,KP15_236B,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021897,KP15_52A,KP15_52A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021898,KP15_145A,KP15_145A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021899,KP15_75A,KP15_75A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021900,KP15_13B,KP15_13B,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021901,KP15_50A,KP15_50A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021902,KP15_147C,KP15_147C,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021903,KP15_116A,KP15_116A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021904,KP15_52B,KP15_52B,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021905,KP15_136E,KP15_136E,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021906,KP15_67A,KP15_67A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021907,KP15_147B,KP15_147B,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021908,KP15_147A,KP15_147A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021909,KP15_136D,KP15_136D,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021910,KP15_69A,KP15_69A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021911,KP15_14A,KP15_14A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021912,KP15_26A,KP15_26A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021913,KP15_KP15_105B,KP15_KP15_105B,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021914,KP15_83A,KP15_83A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021915,KP15_76B,KP15_76B,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021916,KP15_97A,KP15_97A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021917,KP15_130A,KP15_130A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021918,KP15_122,KP15_122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021919,KP15_75C,KP15_75C,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021920,KP15_238A,KP15_238A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021921,KP15_115A,KP15_115A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021922,KP15_109A,KP15_109A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021923,KP15_76A,KP15_76A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021924,KP15_118A,KP15_118A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021925,KP15_95A,KP15_95A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021926,KP15_75B,KP15_75B,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021927,KP15_236A,KP15_236A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021928,KP15_46A,KP15_46A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021929,KP15_136B,KP15_136B,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021930,KP15_96A,KP15_96A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021931,KP15_75,KP15_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021932,KP15_14B,KP15_14B,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021933,KP15_27A,KP15_27A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021934,KP15_188A,KP15_188A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021935,KP15_109B,KP15_109B,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,10021936,KP15_136C,KP15_136C,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
