#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1314785,63818182,LAESUDRAFT_100037,LAESUDRAFT_100037,-,-,Unknown,-,peroxisomal acyl-CoA-dehydrogenase,protein-coding,-,-,-,peroxisomal acyl-CoA-dehydrogenase,20210421,-
1314785,63820132,LAESUDRAFT_604149,LAESUDRAFT_604149,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820133,LAESUDRAFT_604180,LAESUDRAFT_604180,-,-,Unknown,-,CGI-121-domain-containing protein,protein-coding,-,-,-,CGI-121-domain-containing protein,20210421,-
1314785,63820134,LAESUDRAFT_60420,LAESUDRAFT_60420,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820135,LAESUDRAFT_604303,LAESUDRAFT_604303,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820136,LAESUDRAFT_604359,LAESUDRAFT_604359,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820137,LAESUDRAFT_604658,LAESUDRAFT_604658,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820138,LAESUDRAFT_604770,LAESUDRAFT_604770,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820139,LAESUDRAFT_60498,LAESUDRAFT_60498,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820140,LAESUDRAFT_60507,LAESUDRAFT_60507,-,-,Unknown,-,iron hydrogenase,protein-coding,-,-,-,iron hydrogenase,20210421,-
1314785,63820141,LAESUDRAFT_605086,LAESUDRAFT_605086,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820142,LAESUDRAFT_605253,LAESUDRAFT_605253,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820143,LAESUDRAFT_60532,LAESUDRAFT_60532,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820144,LAESUDRAFT_605410,LAESUDRAFT_605410,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820145,LAESUDRAFT_605613,LAESUDRAFT_605613,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820146,LAESUDRAFT_605749,LAESUDRAFT_605749,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820147,LAESUDRAFT_605756,LAESUDRAFT_605756,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820148,LAESUDRAFT_605820,LAESUDRAFT_605820,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820149,LAESUDRAFT_605977,LAESUDRAFT_605977,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820150,LAESUDRAFT_606225,LAESUDRAFT_606225,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820151,LAESUDRAFT_606314,LAESUDRAFT_606314,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820152,LAESUDRAFT_606320,LAESUDRAFT_606320,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820153,LAESUDRAFT_606383,LAESUDRAFT_606383,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820154,LAESUDRAFT_606537,LAESUDRAFT_606537,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820155,LAESUDRAFT_606611,LAESUDRAFT_606611,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820156,LAESUDRAFT_606690,LAESUDRAFT_606690,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820157,LAESUDRAFT_606879,LAESUDRAFT_606879,-,-,Unknown,-,nucleic acid-binding protein,protein-coding,-,-,-,nucleic acid-binding protein,20210421,-
1314785,63820158,LAESUDRAFT_607097,LAESUDRAFT_607097,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820159,LAESUDRAFT_607129,LAESUDRAFT_607129,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820160,LAESUDRAFT_607270,LAESUDRAFT_607270,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820161,LAESUDRAFT_607356,LAESUDRAFT_607356,-,-,Unknown,-,SET domain-containing protein,protein-coding,-,-,-,SET domain-containing protein,20210421,-
1314785,63820162,LAESUDRAFT_607433,LAESUDRAFT_607433,-,-,Unknown,-,ubiquitin,protein-coding,-,-,-,ubiquitin,20210522,-
1314785,63820163,LAESUDRAFT_607444,LAESUDRAFT_607444,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820164,LAESUDRAFT_607606,LAESUDRAFT_607606,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820165,LAESUDRAFT_607747,LAESUDRAFT_607747,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820166,LAESUDRAFT_608199,LAESUDRAFT_608199,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820167,LAESUDRAFT_608538,LAESUDRAFT_608538,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820168,LAESUDRAFT_60859,LAESUDRAFT_60859,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820169,LAESUDRAFT_608623,LAESUDRAFT_608623,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820170,LAESUDRAFT_60865,LAESUDRAFT_60865,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820171,LAESUDRAFT_608742,LAESUDRAFT_608742,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820172,LAESUDRAFT_608864,LAESUDRAFT_608864,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820173,LAESUDRAFT_608996,LAESUDRAFT_608996,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820174,LAESUDRAFT_609074,LAESUDRAFT_609074,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820175,LAESUDRAFT_609123,LAESUDRAFT_609123,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820176,LAESUDRAFT_609174,LAESUDRAFT_609174,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820177,LAESUDRAFT_609215,LAESUDRAFT_609215,-,-,Unknown,-,family A G protein-coupled receptor-like protein,protein-coding,-,-,-,family A G protein-coupled receptor-like protein,20210421,-
1314785,63820178,LAESUDRAFT_609320,LAESUDRAFT_609320,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820179,LAESUDRAFT_609323,LAESUDRAFT_609323,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820180,LAESUDRAFT_609333,LAESUDRAFT_609333,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820181,LAESUDRAFT_609411,LAESUDRAFT_609411,-,-,Unknown,-,glycoside hydrolase family 3 protein,protein-coding,-,-,-,glycoside hydrolase family 3 protein,20210421,-
1314785,63820182,LAESUDRAFT_609460,LAESUDRAFT_609460,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820183,LAESUDRAFT_609737,LAESUDRAFT_609737,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820184,LAESUDRAFT_609773,LAESUDRAFT_609773,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820185,LAESUDRAFT_610103,LAESUDRAFT_610103,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820186,LAESUDRAFT_610212,LAESUDRAFT_610212,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820187,LAESUDRAFT_610363,LAESUDRAFT_610363,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820188,LAESUDRAFT_610544,LAESUDRAFT_610544,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820189,LAESUDRAFT_610627,LAESUDRAFT_610627,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820190,LAESUDRAFT_610849,LAESUDRAFT_610849,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820191,LAESUDRAFT_610857,LAESUDRAFT_610857,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820192,LAESUDRAFT_610962,LAESUDRAFT_610962,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820193,LAESUDRAFT_611005,LAESUDRAFT_611005,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820194,LAESUDRAFT_611097,LAESUDRAFT_611097,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820195,LAESUDRAFT_611137,LAESUDRAFT_611137,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820196,LAESUDRAFT_611418,LAESUDRAFT_611418,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820197,LAESUDRAFT_611501,LAESUDRAFT_611501,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820198,LAESUDRAFT_611650,LAESUDRAFT_611650,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820199,LAESUDRAFT_611800,LAESUDRAFT_611800,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820200,LAESUDRAFT_611855,LAESUDRAFT_611855,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820201,LAESUDRAFT_611876,LAESUDRAFT_611876,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820202,LAESUDRAFT_611880,LAESUDRAFT_611880,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820203,LAESUDRAFT_611936,LAESUDRAFT_611936,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820204,LAESUDRAFT_611966,LAESUDRAFT_611966,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820205,LAESUDRAFT_612207,LAESUDRAFT_612207,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820206,LAESUDRAFT_612229,LAESUDRAFT_612229,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820207,LAESUDRAFT_612610,LAESUDRAFT_612610,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820208,LAESUDRAFT_613137,LAESUDRAFT_613137,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820209,LAESUDRAFT_613139,LAESUDRAFT_613139,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820210,LAESUDRAFT_613169,LAESUDRAFT_613169,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820211,LAESUDRAFT_613417,LAESUDRAFT_613417,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820212,LAESUDRAFT_613440,LAESUDRAFT_613440,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820213,LAESUDRAFT_613471,LAESUDRAFT_613471,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820214,LAESUDRAFT_613528,LAESUDRAFT_613528,-,-,Unknown,-,SRF-TF-domain-containing protein,protein-coding,-,-,-,SRF-TF-domain-containing protein,20210421,-
1314785,63820215,LAESUDRAFT_613544,LAESUDRAFT_613544,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820216,LAESUDRAFT_613586,LAESUDRAFT_613586,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820217,LAESUDRAFT_613668,LAESUDRAFT_613668,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820218,LAESUDRAFT_613779,LAESUDRAFT_613779,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820219,LAESUDRAFT_613780,LAESUDRAFT_613780,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820220,LAESUDRAFT_613816,LAESUDRAFT_613816,-,-,Unknown,-,glycoside hydrolase family 16 protein,protein-coding,-,-,-,glycoside hydrolase family 16 protein,20210421,-
1314785,63820221,LAESUDRAFT_613908,LAESUDRAFT_613908,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820222,LAESUDRAFT_614037,LAESUDRAFT_614037,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820223,LAESUDRAFT_614084,LAESUDRAFT_614084,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820224,LAESUDRAFT_614166,LAESUDRAFT_614166,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820225,LAESUDRAFT_614171,LAESUDRAFT_614171,-,-,Unknown,-,ribosomal protein S25,protein-coding,-,-,-,ribosomal protein S25,20210421,-
1314785,63820226,LAESUDRAFT_614545,LAESUDRAFT_614545,-,-,Unknown,-,carbohydrate-binding module family 48 protein,protein-coding,-,-,-,carbohydrate-binding module family 48 protein,20210421,-
1314785,63820227,LAESUDRAFT_614647,LAESUDRAFT_614647,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820228,LAESUDRAFT_614692,LAESUDRAFT_614692,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820229,LAESUDRAFT_614766,LAESUDRAFT_614766,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820230,LAESUDRAFT_614928,LAESUDRAFT_614928,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820231,LAESUDRAFT_615001,LAESUDRAFT_615001,-,-,Unknown,-,kinase-like protein,protein-coding,-,-,-,kinase-like protein,20210421,-
1314785,63820232,LAESUDRAFT_615143,LAESUDRAFT_615143,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820233,LAESUDRAFT_615160,LAESUDRAFT_615160,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820234,LAESUDRAFT_615257,LAESUDRAFT_615257,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820235,LAESUDRAFT_61526,LAESUDRAFT_61526,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820236,LAESUDRAFT_615278,LAESUDRAFT_615278,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820237,LAESUDRAFT_615370,LAESUDRAFT_615370,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820238,LAESUDRAFT_615371,LAESUDRAFT_615371,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820239,LAESUDRAFT_615411,LAESUDRAFT_615411,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820240,LAESUDRAFT_615471,LAESUDRAFT_615471,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820241,LAESUDRAFT_615605,LAESUDRAFT_615605,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820242,LAESUDRAFT_615749,LAESUDRAFT_615749,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820243,LAESUDRAFT_615764,LAESUDRAFT_615764,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820244,LAESUDRAFT_615925,LAESUDRAFT_615925,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820245,LAESUDRAFT_615946,LAESUDRAFT_615946,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820246,LAESUDRAFT_615968,LAESUDRAFT_615968,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820247,LAESUDRAFT_615979,LAESUDRAFT_615979,-,-,Unknown,-,iron transporter biosynthesis regulating transcription factor,protein-coding,-,-,-,iron transporter biosynthesis regulating transcription factor,20210421,-
1314785,63820248,LAESUDRAFT_616257,LAESUDRAFT_616257,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820249,LAESUDRAFT_616336,LAESUDRAFT_616336,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820250,LAESUDRAFT_616456,LAESUDRAFT_616456,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820251,LAESUDRAFT_616510,LAESUDRAFT_616510,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820252,LAESUDRAFT_616608,LAESUDRAFT_616608,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820253,LAESUDRAFT_616672,LAESUDRAFT_616672,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820254,LAESUDRAFT_616689,LAESUDRAFT_616689,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820255,LAESUDRAFT_616871,LAESUDRAFT_616871,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820256,LAESUDRAFT_616976,LAESUDRAFT_616976,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820257,LAESUDRAFT_617004,LAESUDRAFT_617004,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820258,LAESUDRAFT_617051,LAESUDRAFT_617051,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820259,LAESUDRAFT_617064,LAESUDRAFT_617064,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820260,LAESUDRAFT_617257,LAESUDRAFT_617257,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820261,LAESUDRAFT_617276,LAESUDRAFT_617276,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820262,LAESUDRAFT_617409,LAESUDRAFT_617409,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820263,LAESUDRAFT_617459,LAESUDRAFT_617459,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820264,LAESUDRAFT_617572,LAESUDRAFT_617572,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820265,LAESUDRAFT_617668,LAESUDRAFT_617668,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820266,LAESUDRAFT_617766,LAESUDRAFT_617766,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820267,LAESUDRAFT_618033,LAESUDRAFT_618033,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820268,LAESUDRAFT_618057,LAESUDRAFT_618057,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820269,LAESUDRAFT_618092,LAESUDRAFT_618092,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820270,LAESUDRAFT_618097,LAESUDRAFT_618097,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820271,LAESUDRAFT_618215,LAESUDRAFT_618215,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820272,LAESUDRAFT_618217,LAESUDRAFT_618217,-,-,Unknown,-,kinase-like protein,protein-coding,-,-,-,kinase-like protein,20210421,-
1314785,63820273,LAESUDRAFT_618324,LAESUDRAFT_618324,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820274,LAESUDRAFT_618476,LAESUDRAFT_618476,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820275,LAESUDRAFT_618524,LAESUDRAFT_618524,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820276,LAESUDRAFT_618531,LAESUDRAFT_618531,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820277,LAESUDRAFT_618650,LAESUDRAFT_618650,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820278,LAESUDRAFT_618880,LAESUDRAFT_618880,-,-,Unknown,-,glycopeptide,protein-coding,-,-,-,glycopeptide,20210421,-
1314785,63820279,LAESUDRAFT_618912,LAESUDRAFT_618912,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820280,LAESUDRAFT_618925,LAESUDRAFT_618925,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820281,LAESUDRAFT_618937,LAESUDRAFT_618937,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820282,LAESUDRAFT_619101,LAESUDRAFT_619101,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820283,LAESUDRAFT_619332,LAESUDRAFT_619332,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820284,LAESUDRAFT_619606,LAESUDRAFT_619606,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820285,LAESUDRAFT_619641,LAESUDRAFT_619641,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820286,LAESUDRAFT_619765,LAESUDRAFT_619765,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820287,LAESUDRAFT_619803,LAESUDRAFT_619803,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820288,LAESUDRAFT_619831,LAESUDRAFT_619831,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820289,LAESUDRAFT_619842,LAESUDRAFT_619842,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820290,LAESUDRAFT_619852,LAESUDRAFT_619852,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820291,LAESUDRAFT_619922,LAESUDRAFT_619922,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820292,LAESUDRAFT_620192,LAESUDRAFT_620192,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820293,LAESUDRAFT_620241,LAESUDRAFT_620241,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820294,LAESUDRAFT_620317,LAESUDRAFT_620317,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820295,LAESUDRAFT_620352,LAESUDRAFT_620352,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820296,LAESUDRAFT_620559,LAESUDRAFT_620559,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820297,LAESUDRAFT_620582,LAESUDRAFT_620582,-,-,Unknown,-,RNA-binding domain-containing protein,protein-coding,-,-,-,RNA-binding domain-containing protein,20210421,-
1314785,63820298,LAESUDRAFT_620716,LAESUDRAFT_620716,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63820299,LAESUDRAFT_620720,LAESUDRAFT_620720,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
