#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
10228,4126647,ATP6,-,-,-,MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,ATP synthase F0 subunit 6,20200911,-
10228,6749942,TRIADDRAFT_51972,TRIADDRAFT_51972,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749943,TRIADDRAFT_18721,TRIADDRAFT_18721,-,-,Unknown,-,expressed hypothetical protein,protein-coding,-,-,-,expressed hypothetical protein,20200911,-
10228,6749944,TRIADDRAFT_20384,TRIADDRAFT_20384,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749945,TRIADDRAFT_18185,TRIADDRAFT_18185,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749946,TRIADDRAFT_18544,TRIADDRAFT_18544,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749947,TRIADDRAFT_19292,TRIADDRAFT_19292,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749948,TRIADDRAFT_20060,TRIADDRAFT_20060,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749949,TRIADDRAFT_19385,TRIADDRAFT_19385,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749950,TRIADDRAFT_49674,TRIADDRAFT_49674,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749951,TRIADDRAFT_51994,TRIADDRAFT_51994,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749952,TRIADDRAFT_19365,TRIADDRAFT_19365,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749953,TRIADDRAFT_51997,TRIADDRAFT_51997,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749954,TRIADDRAFT_19834,TRIADDRAFT_19834,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749955,TRIADDRAFT_52003,TRIADDRAFT_52003,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749956,TRIADDRAFT_18955,TRIADDRAFT_18955,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749957,TRIADDRAFT_6656,TRIADDRAFT_6656,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749958,TRIADDRAFT_63510,TRIADDRAFT_63510,-,-,Unknown,-,expressed hypothetical protein,protein-coding,-,-,-,expressed hypothetical protein,20200911,-
10228,6749959,TRIADDRAFT_49680,TRIADDRAFT_49680,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749960,TRIADDRAFT_52017,TRIADDRAFT_52017,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749961,TRIADDRAFT_52018,TRIADDRAFT_52018,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749962,TRIADDRAFT_19801,TRIADDRAFT_19801,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749963,TRIADDRAFT_52022,TRIADDRAFT_52022,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749964,TRIADDRAFT_52024,TRIADDRAFT_52024,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749965,TRIADDRAFT_63512,TRIADDRAFT_63512,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749966,TRIADDRAFT_52030,TRIADDRAFT_52030,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749967,TRIADDRAFT_1077,TRIADDRAFT_1077,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749968,TRIADDRAFT_18215,TRIADDRAFT_18215,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749969,TRIADDRAFT_52050,TRIADDRAFT_52050,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749970,TRIADDRAFT_7634,TRIADDRAFT_7634,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749971,TRIADDRAFT_17070,TRIADDRAFT_17070,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749972,TRIADDRAFT_52057,TRIADDRAFT_52057,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749973,TRIADDRAFT_52060,TRIADDRAFT_52060,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749974,TRIADDRAFT_52067,TRIADDRAFT_52067,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749975,TRIADDRAFT_52070,TRIADDRAFT_52070,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749976,TRIADDRAFT_52071,TRIADDRAFT_52071,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749977,TRIADDRAFT_52072,TRIADDRAFT_52072,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749978,TRIADDRAFT_52073,TRIADDRAFT_52073,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749979,TRIADDRAFT_52074,TRIADDRAFT_52074,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749980,TRIADDRAFT_49689,TRIADDRAFT_49689,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749981,TRIADDRAFT_18638,TRIADDRAFT_18638,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749982,TRIADDRAFT_52079,TRIADDRAFT_52079,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749983,TRIADDRAFT_52081,TRIADDRAFT_52081,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749984,TRIADDRAFT_63513,TRIADDRAFT_63513,-,-,Unknown,-,expressed hypothetical protein,protein-coding,-,-,-,expressed hypothetical protein,20200911,-
10228,6749985,TRIADDRAFT_52084,TRIADDRAFT_52084,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749986,TRIADDRAFT_19190,TRIADDRAFT_19190,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749987,TRIADDRAFT_52086,TRIADDRAFT_52086,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749988,TRIADDRAFT_19124,TRIADDRAFT_19124,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749989,TRIADDRAFT_52094,TRIADDRAFT_52094,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749990,TRIADDRAFT_18858,TRIADDRAFT_18858,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749991,TRIADDRAFT_52100,TRIADDRAFT_52100,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749992,TRIADDRAFT_52102,TRIADDRAFT_52102,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749993,TRIADDRAFT_35270,TRIADDRAFT_35270,-,-,Unknown,-,expressed hypothetical protein,protein-coding,-,-,-,expressed hypothetical protein,20200911,-
10228,6749994,TRIADDRAFT_19619,TRIADDRAFT_19619,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749995,TRIADDRAFT_52108,TRIADDRAFT_52108,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749996,TRIADDRAFT_52110,TRIADDRAFT_52110,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749997,TRIADDRAFT_52117,TRIADDRAFT_52117,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749998,TRIADDRAFT_52118,TRIADDRAFT_52118,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6749999,TRIADDRAFT_18200,TRIADDRAFT_18200,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750000,TRIADDRAFT_19436,TRIADDRAFT_19436,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750001,TRIADDRAFT_52126,TRIADDRAFT_52126,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750002,TRIADDRAFT_52127,TRIADDRAFT_52127,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750003,TRIADDRAFT_18249,TRIADDRAFT_18249,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750004,TRIADDRAFT_52131,TRIADDRAFT_52131,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750005,TRIADDRAFT_52134,TRIADDRAFT_52134,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750006,TRIADDRAFT_19868,TRIADDRAFT_19868,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750007,TRIADDRAFT_20152,TRIADDRAFT_20152,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750008,TRIADDRAFT_36979,TRIADDRAFT_36979,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750009,TRIADDRAFT_49708,TRIADDRAFT_49708,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750010,TRIADDRAFT_52143,TRIADDRAFT_52143,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750011,TRIADDRAFT_52144,TRIADDRAFT_52144,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750012,TRIADDRAFT_63517,TRIADDRAFT_63517,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750013,TRIADDRAFT_63519,TRIADDRAFT_63519,-,-,Unknown,-,expressed hypothetical protein,protein-coding,-,-,-,expressed hypothetical protein,20200911,-
10228,6750014,TRIADDRAFT_52149,TRIADDRAFT_52149,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750015,TRIADDRAFT_20245,TRIADDRAFT_20245,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750016,TRIADDRAFT_19489,TRIADDRAFT_19489,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750017,TRIADDRAFT_52159,TRIADDRAFT_52159,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750018,TRIADDRAFT_20011,TRIADDRAFT_20011,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750019,TRIADDRAFT_52162,TRIADDRAFT_52162,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750020,TRIADDRAFT_52163,TRIADDRAFT_52163,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750021,TRIADDRAFT_49711,TRIADDRAFT_49711,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750022,TRIADDRAFT_52170,TRIADDRAFT_52170,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750023,TRIADDRAFT_49712,TRIADDRAFT_49712,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750024,TRIADDRAFT_52174,TRIADDRAFT_52174,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750025,TRIADDRAFT_52175,TRIADDRAFT_52175,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750026,TRIADDRAFT_52177,TRIADDRAFT_52177,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750027,TRIADDRAFT_52179,TRIADDRAFT_52179,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750028,TRIADDRAFT_19283,TRIADDRAFT_19283,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750029,TRIADDRAFT_52183,TRIADDRAFT_52183,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750030,TRIADDRAFT_18263,TRIADDRAFT_18263,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750031,TRIADDRAFT_52187,TRIADDRAFT_52187,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750032,TRIADDRAFT_52191,TRIADDRAFT_52191,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750033,TRIADDRAFT_52192,TRIADDRAFT_52192,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750034,TRIADDRAFT_19118,TRIADDRAFT_19118,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750035,TRIADDRAFT_52197,TRIADDRAFT_52197,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750036,TRIADDRAFT_18599,TRIADDRAFT_18599,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750037,TRIADDRAFT_52201,TRIADDRAFT_52201,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750038,TRIADDRAFT_19806,TRIADDRAFT_19806,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750039,TRIADDRAFT_63522,TRIADDRAFT_63522,-,-,Unknown,-,expressed hypothetical protein,protein-coding,-,-,-,expressed hypothetical protein,20200911,-
10228,6750040,TRIADDRAFT_36990,TRIADDRAFT_36990,-,-,Unknown,-,expressed hypothetical protein,protein-coding,-,-,-,expressed hypothetical protein,20200911,-
10228,6750041,TRIADDRAFT_52208,TRIADDRAFT_52208,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750042,TRIADDRAFT_49721,TRIADDRAFT_49721,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750043,TRIADDRAFT_52211,TRIADDRAFT_52211,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750044,TRIADDRAFT_49722,TRIADDRAFT_49722,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750045,TRIADDRAFT_52215,TRIADDRAFT_52215,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750046,TRIADDRAFT_19019,TRIADDRAFT_19019,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750047,TRIADDRAFT_19972,TRIADDRAFT_19972,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750048,TRIADDRAFT_52229,TRIADDRAFT_52229,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750049,TRIADDRAFT_52230,TRIADDRAFT_52230,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750050,TRIADDRAFT_52232,TRIADDRAFT_52232,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750051,TRIADDRAFT_52234,TRIADDRAFT_52234,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750052,TRIADDRAFT_18942,TRIADDRAFT_18942,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750053,TRIADDRAFT_52240,TRIADDRAFT_52240,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750054,TRIADDRAFT_52242,TRIADDRAFT_52242,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750055,TRIADDRAFT_52243,TRIADDRAFT_52243,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750056,TRIADDRAFT_63527,TRIADDRAFT_63527,-,-,Unknown,-,expressed hypothetical protein,protein-coding,-,-,-,expressed hypothetical protein,20200911,-
10228,6750057,TRIADDRAFT_19282,TRIADDRAFT_19282,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750058,TRIADDRAFT_52250,TRIADDRAFT_52250,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750059,TRIADDRAFT_52251,TRIADDRAFT_52251,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750060,TRIADDRAFT_52252,TRIADDRAFT_52252,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750061,TRIADDRAFT_52255,TRIADDRAFT_52255,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750062,TRIADDRAFT_52256,TRIADDRAFT_52256,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750063,TRIADDRAFT_52257,TRIADDRAFT_52257,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750064,TRIADDRAFT_19828,TRIADDRAFT_19828,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750065,TRIADDRAFT_63185,TRIADDRAFT_63185,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750066,TRIADDRAFT_52263,TRIADDRAFT_52263,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750067,TRIADDRAFT_52265,TRIADDRAFT_52265,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750068,TRIADDRAFT_63529,TRIADDRAFT_63529,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750069,TRIADDRAFT_49728,TRIADDRAFT_49728,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750070,TRIADDRAFT_18774,TRIADDRAFT_18774,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750071,TRIADDRAFT_52274,TRIADDRAFT_52274,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750072,TRIADDRAFT_52275,TRIADDRAFT_52275,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750073,TRIADDRAFT_52278,TRIADDRAFT_52278,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750074,TRIADDRAFT_52279,TRIADDRAFT_52279,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750075,TRIADDRAFT_20232,TRIADDRAFT_20232,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750076,TRIADDRAFT_63530,TRIADDRAFT_63530,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750077,TRIADDRAFT_52283,TRIADDRAFT_52283,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750078,TRIADDRAFT_52284,TRIADDRAFT_52284,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750079,TRIADDRAFT_52287,TRIADDRAFT_52287,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750080,TRIADDRAFT_18676,TRIADDRAFT_18676,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750081,TRIADDRAFT_52298,TRIADDRAFT_52298,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750082,TRIADDRAFT_52300,TRIADDRAFT_52300,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750083,TRIADDRAFT_52302,TRIADDRAFT_52302,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750084,TRIADDRAFT_52303,TRIADDRAFT_52303,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750085,TRIADDRAFT_52305,TRIADDRAFT_52305,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750086,TRIADDRAFT_37004,TRIADDRAFT_37004,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750087,TRIADDRAFT_52320,TRIADDRAFT_52320,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750088,TRIADDRAFT_49733,TRIADDRAFT_49733,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750089,TRIADDRAFT_63536,TRIADDRAFT_63536,-,-,Unknown,-,expressed hypothetical protein,protein-coding,-,-,-,expressed hypothetical protein,20200911,-
10228,6750090,TRIADDRAFT_18418,TRIADDRAFT_18418,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750091,TRIADDRAFT_49735,TRIADDRAFT_49735,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750092,TRIADDRAFT_19973,TRIADDRAFT_19973,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750093,TRIADDRAFT_52330,TRIADDRAFT_52330,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750094,TRIADDRAFT_52332,TRIADDRAFT_52332,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750095,TRIADDRAFT_52333,TRIADDRAFT_52333,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750096,TRIADDRAFT_52334,TRIADDRAFT_52334,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750097,TRIADDRAFT_52335,TRIADDRAFT_52335,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750098,TRIADDRAFT_19797,TRIADDRAFT_19797,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750099,TRIADDRAFT_18482,TRIADDRAFT_18482,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750100,TRIADDRAFT_19668,TRIADDRAFT_19668,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750101,TRIADDRAFT_19964,TRIADDRAFT_19964,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750102,TRIADDRAFT_49736,TRIADDRAFT_49736,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750103,TRIADDRAFT_52345,TRIADDRAFT_52345,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750104,TRIADDRAFT_52348,TRIADDRAFT_52348,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750105,TRIADDRAFT_19410,TRIADDRAFT_19410,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750106,TRIADDRAFT_52351,TRIADDRAFT_52351,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750107,TRIADDRAFT_18956,TRIADDRAFT_18956,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750108,TRIADDRAFT_37007,TRIADDRAFT_37007,-,-,Unknown,-,expressed hypothetical protein,protein-coding,-,-,-,expressed hypothetical protein,20200911,-
10228,6750109,TRIADDRAFT_19984,TRIADDRAFT_19984,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750110,TRIADDRAFT_52358,TRIADDRAFT_52358,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750111,TRIADDRAFT_52359,TRIADDRAFT_52359,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750112,TRIADDRAFT_52362,TRIADDRAFT_52362,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750113,TRIADDRAFT_52364,TRIADDRAFT_52364,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750114,TRIADDRAFT_63188,TRIADDRAFT_63188,-,-,Unknown,-,expressed hypothetical protein,protein-coding,-,-,-,expressed hypothetical protein,20200911,-
10228,6750115,TRIADDRAFT_52367,TRIADDRAFT_52367,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750116,TRIADDRAFT_52368,TRIADDRAFT_52368,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6750117,TRIADDRAFT_52371,TRIADDRAFT_52371,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
