#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
273057,1452661,SSO_RS12725,SSO_RS12725,SSO2622,-,-,-,hotdog fold thioesterase,protein-coding,-,-,-,hotdog fold thioesterase,20210424,-
273057,1453035,SSO_RS14625,SSO_RS14625,SSO3014,-,-,-,aldo/keto reductase,protein-coding,-,-,-,aldo/keto reductase,20210417,-
273057,1453036,SSO_RS14630,SSO_RS14630,SSO3015,-,-,-,Gfo/Idh/MocA family oxidoreductase,protein-coding,-,-,-,Gfo/Idh/MocA family oxidoreductase,20210417,-
273057,1453037,SSO_RS14635,SSO_RS14635,SSO3016,-,-,-,amidohydrolase,protein-coding,-,-,-,amidohydrolase,20210308,-
273057,1453038,SSO_RS14640,SSO_RS14640,SSO3017,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210308,-
273057,1453039,SSO_RS14645,SSO_RS14645,SSO3018,-,-,-,transposase,protein-coding,-,-,-,transposase,20210308,-
273057,1453040,SSO_RS14650,SSO_RS14650,SSO3019,-,-,-,glycoside hydrolase family 1 protein,protein-coding,-,-,-,glycoside hydrolase family 1 protein,20210308,-
273057,1453041,SSO_RS14655,SSO_RS14655,SSO3021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453042,SSO_RS14660,SSO_RS14660,SSO3022,-,-,-,glycoside hydrolase family 31 protein,protein-coding,-,-,-,glycoside hydrolase family 31 protein,20210308,-
273057,1453044,SSO_RS14665,SSO_RS14665,SSO3023,-,-,-,pseudo,pseudo,-,-,-,-,20210308,-
273057,1453047,SSO_RS14685,SSO_RS14685,SSO3027,-,-,-,ISH3 family transposase,protein-coding,-,-,-,ISH3 family transposase,20210320,-
273057,1453048,SSO_RS14690,SSO_RS14690,SSO3028,-,-,-,IS5-like element ISC1234 family transposase,protein-coding,-,-,-,IS5-like element ISC1234 family transposase,20210308,-
273057,1453049,SSO_RS14695,SSO_RS14695,SSO3029,-,-,-,sugar phosphate isomerase/epimerase,protein-coding,-,-,-,sugar phosphate isomerase/epimerase,20210417,-
273057,1453050,SSO_RS16730,SSO_RS16730,SSO3030,-,-,-,pseudo,pseudo,-,-,-,-,20210308,-
273057,1453052,SSO_RS14705,SSO_RS14705,SSO3031,-,-,-,transposase,protein-coding,-,-,-,transposase,20210308,-
273057,1453053,SSO_RS14710,SSO_RS14710,SSO3032,-,-,-,glycoside hydrolase family 3 C-terminal domain-containing protein,protein-coding,-,-,-,glycoside hydrolase family 3 C-terminal domain-containing protein,20210417,-
273057,1453054,SSO_RS14720,SSO_RS14720,SSO3033,-,-,-,transposase,protein-coding,-,-,-,transposase,20210417,-
273057,1453055,SSO_RS14725,SSO_RS14725,SSO3034,-,-,-,sugar phosphate isomerase/epimerase,protein-coding,-,-,-,sugar phosphate isomerase/epimerase,20210308,-
273057,1453056,SSO_RS14730,SSO_RS14730,SSO3035,-,-,-,dihydrodipicolinate synthase family protein,protein-coding,-,-,-,dihydrodipicolinate synthase family protein,20210308,-
273057,1453057,SSO_RS14735,SSO_RS14735,SSO3036,-,-,-,glycoside hydrolase family 2 protein,protein-coding,-,-,-,glycoside hydrolase family 2 protein,20210612,-
273057,1453059,SSO_RS14745,SSO_RS14745,SSO3038,-,-,-,pseudo,pseudo,-,-,-,-,20210308,-
273057,1453060,SSO_RS14750,SSO_RS14750,SSO3039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453061,SSO_RS14755,SSO_RS14755,SSO3041,-,-,-,SMP-30/gluconolactonase/LRE family protein,protein-coding,-,-,-,SMP-30/gluconolactonase/LRE family protein,20210417,-
273057,1453062,SSO_RS14760,SSO_RS14760,SSO3042,-,-,-,glucose 1-dehydrogenase,protein-coding,-,-,-,glucose 1-dehydrogenase,20210308,-
273057,1453063,SSO_RS14765,SSO_RS14765,SSO3043,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20210308,-
273057,1453064,SSO_RS14770,SSO_RS14770,SSO3045,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210308,-
273057,1453065,SSO_RS14775,SSO_RS14775,SSO3046,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210417,-
273057,1453066,SSO_RS14780,SSO_RS14780,SSO3047,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210308,-
273057,1453067,SSO_RS14785,SSO_RS14785,SSO3048,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210308,-
273057,1453068,SSO_RS14790,SSO_RS14790,SSO3049,-,-,-,Gfo/Idh/MocA family oxidoreductase,protein-coding,-,-,-,Gfo/Idh/MocA family oxidoreductase,20210308,-
273057,1453069,SSO_RS14795,SSO_RS14795,SSO3050,-,-,-,sugar phosphate isomerase/epimerase,protein-coding,-,-,-,sugar phosphate isomerase/epimerase,20210308,-
273057,1453070,SSO_RS14800,SSO_RS14800,SSO3051,-,-,-,glycoside hydrolase family 31 protein,protein-coding,-,-,-,glycoside hydrolase family 31 protein,20210417,-
273057,1453071,SSO_RS14805,SSO_RS14805,SSO3052,-,-,-,SGNH/GDSL hydrolase family protein,protein-coding,-,-,-,SGNH/GDSL hydrolase family protein,20210308,-
273057,1453072,SSO_RS14810,SSO_RS14810,SSO3053,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20210417,-
273057,1453073,SSO_RS14815,SSO_RS14815,SSO3054,-,-,-,aldo/keto reductase,protein-coding,-,-,-,aldo/keto reductase,20210417,-
273057,1453074,SSO_RS14820,SSO_RS14820,SSO3055,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210417,-
273057,1453075,SSO_RS14825,SSO_RS14825,SSO3056,-,-,-,IS5-like element ISC1058 family transposase,protein-coding,-,-,-,IS5-like element ISC1058 family transposase,20210417,-
273057,1453076,SSO_RS14830,SSO_RS14830,SSO3058,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210417,-
273057,1453077,SSO_RS14835,SSO_RS14835,SSO3059,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210417,-
273057,1453078,SSO_RS14840,SSO_RS14840,SSO3060,-,-,-,pseudo,pseudo,-,-,-,-,20210308,-
273057,1453080,SSO_RS14845,SSO_RS14845,SSO3061,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210308,-
273057,1453083,SSO_RS14855,SSO_RS14855,SSO3063,-,-,-,IS110 family transposase,protein-coding,-,-,-,IS110 family transposase,20210417,-
273057,1453084,SSO_RS14860,SSO_RS14860,SSO3064,-,-,-,acyl--CoA ligase,protein-coding,-,-,-,acyl--CoA ligase,20210417,-
273057,1453085,SSO_RS14865,SSO_RS14865,SSO3066,-,-,-,carbohydrate ABC transporter substrate-binding protein,protein-coding,-,-,-,carbohydrate ABC transporter substrate-binding protein,20210308,-
273057,1453086,SSO_RS14870,SSO_RS14870,SSO3067,-,-,-,sugar ABC transporter permease,protein-coding,-,-,-,sugar ABC transporter permease,20210308,-
273057,1453087,SSO_RS14875,SSO_RS14875,SSO3068,-,-,-,carbohydrate ABC transporter permease,protein-coding,-,-,-,carbohydrate ABC transporter permease,20210417,-
273057,1453088,SSO_RS14880,SSO_RS14880,SSO3069,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210308,-
273057,1453089,SSO_RS14885,SSO_RS14885,SSO3071,-,-,-,cyclase family protein,protein-coding,-,-,-,cyclase family protein,20210308,-
273057,1453090,SSO_RS14890,SSO_RS14890,SSO3072,-,-,-,dihydrodipicolinate synthase family protein,protein-coding,-,-,-,dihydrodipicolinate synthase family protein,20210308,-
273057,1453091,SSO_RS14895,SSO_RS14895,SSO3073,-,-,-,ZIP family metal transporter,protein-coding,-,-,-,ZIP family metal transporter,20210308,-
273057,1453092,SSO_RS14905,SSO_RS14905,SSO3074,-,-,-,DMT family transporter,protein-coding,-,-,-,DMT family transporter,20210424,-
273057,1453097,SSO_RS14920,SSO_RS14920,SSO3078,-,-,-,PIN domain-containing protein,protein-coding,-,-,-,PIN domain-containing protein,20210308,-
273057,1453098,SSO_RS14925,SSO_RS14925,SSO11914,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,protein-coding,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,20210308,-
273057,1453100,SSO_RS14930,SSO_RS14930,SSO11917,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453101,SSO_RS14935,SSO_RS14935,SSO11920,-,-,-,pseudo,pseudo,-,-,-,-,20210308,-
273057,1453102,SSO_RS14940,SSO_RS14940,SSO3079,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210417,-
273057,1453103,SSO_RS14945,SSO_RS14945,SSO3080,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210308,-
273057,1453104,SSO_RS14950,SSO_RS14950,SSO3081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453105,SSO_RS14955,SSO_RS14955,SSO3082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453106,SSO_RS14960,SSO_RS14960,SSO3083,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210417,-
273057,1453107,SSO_RS14965,SSO_RS14965,SSO3084,-,-,-,DsrE family protein,protein-coding,-,-,-,DsrE family protein,20210308,-
273057,1453108,SSO_RS14970,SSO_RS14970,SSO11934,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453109,SSO_RS14975,SSO_RS14975,SSO3085,-,-,-,YeeE/YedE family protein,protein-coding,-,-,-,YeeE/YedE family protein,20210417,-
273057,1453110,SSO_RS14980,SSO_RS14980,SSO11939,-,-,-,sulfurtransferase TusA family protein,protein-coding,-,-,-,sulfurtransferase TusA family protein,20210308,-
273057,1453111,SSO_RS14985,SSO_RS14985,SSO3086,-,-,-,DsrE family protein,protein-coding,-,-,-,DsrE family protein,20210308,-
273057,1453112,SSO_RS14990,SSO_RS14990,SSO3087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453113,SSO_RS14995,SSO_RS14995,SSO3088,-,-,-,sulfurtransferase TusA family protein,protein-coding,-,-,-,sulfurtransferase TusA family protein,20210308,-
273057,1453114,SSO_RS15000,SSO_RS15000,SSO3089,-,-,-,YncE family protein,protein-coding,-,-,-,YncE family protein,20210308,-
273057,1453115,SSO_RS15005,SSO_RS15005,SSO3090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453116,SSO_RS15010,SSO_RS15010,SSO3091,-,-,-,DoxX family membrane protein,protein-coding,-,-,-,DoxX family membrane protein,20210308,-
273057,1453117,SSO_RS15015,SSO_RS15015,SSO3092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453118,SSO_RS15020,SSO_RS15020,SSO3093,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210417,-
273057,1453119,SSO_RS15025,SSO_RS15025,SSO3095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453120,SSO_RS15030,SSO_RS15030,SSO3097,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210308,-
273057,1453121,SSO_RS15035,SSO_RS15035,SSO3098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453122,SSO_RS15040,SSO_RS15040,SSO3099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453123,SSO_RS15045,SSO_RS15045,SSO3100,-,-,-,pseudo,pseudo,-,-,-,-,20210308,-
273057,1453124,SSO_RS15050,SSO_RS15050,SSO3101,-,-,-,ISH3-like element ISC1439B family transposase,protein-coding,-,-,-,ISH3-like element ISC1439B family transposase,20210308,-
273057,1453125,SSO_RS15055,SSO_RS15055,SSO3103,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210308,-
273057,1453126,SSO_RS15060,SSO_RS15060,SSO3104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453127,SSO_RS15065,SSO_RS15065,SSO3105,-,-,-,carboxypeptidase M32,protein-coding,-,-,-,carboxypeptidase M32,20210417,-
273057,1453128,ilvD,SSO_RS15070,SSO3107,-,-,-,dihydroxy-acid dehydratase,protein-coding,-,-,-,dihydroxy-acid dehydratase,20210308,-
273057,1453129,SSO_RS15075,SSO_RS15075,SSO11972,-,-,-,twin-arginine translocase TatA/TatE family subunit,protein-coding,-,-,-,twin-arginine translocase TatA/TatE family subunit,20210308,-
273057,1453130,SSO_RS15080,SSO_RS15080,SSO3108,-,-,-,preprotein translocase subunit TatC,protein-coding,-,-,-,preprotein translocase subunit TatC,20210308,-
273057,1453131,SSO_RS15085,SSO_RS15085,SSO3110,-,-,-,class I SAM-dependent methyltransferase,protein-coding,-,-,-,class I SAM-dependent methyltransferase,20210417,-
273057,1453132,SSO_RS15090,SSO_RS15090,SSO3111,-,-,-,DUF998 domain-containing protein,protein-coding,-,-,-,DUF998 domain-containing protein,20210417,-
273057,1453133,SSO_RS15095,SSO_RS15095,SSO11979,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453134,SSO_RS15100,SSO_RS15100,SSO3112,-,-,-,Zn-ribbon domain-containing OB-fold protein,protein-coding,-,-,-,Zn-ribbon domain-containing OB-fold protein,20210308,-
273057,1453135,SSO_RS15105,SSO_RS15105,SSO3113,-,-,-,thiolase family protein,protein-coding,-,-,-,thiolase family protein,20210308,-
273057,1453136,fabG,SSO_RS15110,SSO3114,-,-,-,3-oxoacyl-ACP reductase FabG,protein-coding,-,-,-,3-oxoacyl-ACP reductase FabG,20210417,-
273057,1453138,SSO_RS15120,SSO_RS15120,SSO3115,-,-,-,proline iminopeptidase-family hydrolase,protein-coding,-,-,-,proline iminopeptidase-family hydrolase,20210308,-
273057,1453139,SSO_RS15125,SSO_RS15125,SSO3117,-,-,-,aldehyde dehydrogenase family protein,protein-coding,-,-,-,aldehyde dehydrogenase family protein,20210308,-
273057,1453140,SSO_RS15130,SSO_RS15130,SSO3118,-,-,-,fumarylacetoacetate hydrolase family protein,protein-coding,-,-,-,fumarylacetoacetate hydrolase family protein,20210417,-
273057,1453141,SSO_RS15135,SSO_RS15135,SSO3120,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210424,-
273057,1453142,SSO_RS15140,SSO_RS15140,SSO3121,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210417,-
273057,1453143,SSO_RS15145,SSO_RS15145,SSO3123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453144,SSO_RS15150,SSO_RS15150,SSO3124,-,-,-,mandelate racemase/muconate lactonizing enzyme family protein,protein-coding,-,-,-,mandelate racemase/muconate lactonizing enzyme family protein,20210417,-
273057,1453145,SSO_RS15155,SSO_RS15155,SSO3125,-,-,-,HD domain-containing protein,protein-coding,-,-,-,HD domain-containing protein,20210417,-
273057,1453146,SSO_RS15160,SSO_RS15160,SSO3127,-,-,-,alpha-galactosidase,protein-coding,-,-,-,alpha-galactosidase,20210417,-
273057,1453147,SSO_RS15165,SSO_RS15165,SSO3128,-,-,-,type II toxin-antitoxin system VapC family toxin,protein-coding,-,-,-,type II toxin-antitoxin system VapC family toxin,20210417,-
273057,1453148,SSO_RS15170,SSO_RS15170,SSO12018,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,protein-coding,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,20210308,-
273057,1453149,SSO_RS15175,SSO_RS15175,SSO3129,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210417,-
273057,1453150,SSO_RS15180,SSO_RS15180,SSO3130,-,-,-,lactate utilization protein,protein-coding,-,-,-,lactate utilization protein,20210417,-
273057,1453151,SSO_RS15185,SSO_RS15185,SSO3131,-,-,-,(Fe-S)-binding protein,protein-coding,-,-,-,(Fe-S)-binding protein,20210417,-
273057,1453152,SSO_RS15190,SSO_RS15190,SSO3132,-,-,-,MBL fold metallo-hydrolase,protein-coding,-,-,-,MBL fold metallo-hydrolase,20210417,-
273057,1453153,SSO_RS15200,SSO_RS15200,SSO3135,-,-,-,ISH3 family transposase,protein-coding,-,-,-,ISH3 family transposase,20210417,-
273057,1453154,SSO_RS15205,SSO_RS15205,SSO3136,-,-,-,MaoC family dehydratase,protein-coding,-,-,-,MaoC family dehydratase,20210308,-
273057,1453155,SSO_RS15210,SSO_RS15210,SSO3138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453156,SSO_RS15215,SSO_RS15215,SSO3139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453157,SSO_RS15220,SSO_RS15220,SSO3140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453158,SSO_RS15225,SSO_RS15225,SSO3141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453159,SSO_RS15230,SSO_RS15230,SSO3142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453160,SSO_RS15235,SSO_RS15235,SSO3143,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210417,-
273057,1453161,SSO_RS15240,SSO_RS15240,SSO3144,-,-,-,CoA transferase,protein-coding,-,-,-,CoA transferase,20210308,-
273057,1453162,SSO_RS15245,SSO_RS15245,SSO3145,-,-,-,acyl-CoA/acyl-ACP dehydrogenase,protein-coding,-,-,-,acyl-CoA/acyl-ACP dehydrogenase,20210308,-
273057,1453163,SSO_RS15250,SSO_RS15250,SSO3146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453164,SSO_RS15255,SSO_RS15255,SSO3147,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210417,-
273057,1453168,SSO_RS15265,SSO_RS15265,SSO3148,-,-,-,NAD(P)/FAD-dependent oxidoreductase,protein-coding,-,-,-,NAD(P)/FAD-dependent oxidoreductase,20210417,-
273057,1453169,SSO_RS15270,SSO_RS15270,SSO3149,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210417,-
273057,1453170,SSO_RS15275,SSO_RS15275,SSO3150,-,-,-,DUF981 family protein,protein-coding,-,-,-,DUF981 family protein,20210308,-
273057,1453171,SSO_RS15280,SSO_RS15280,SSO3151,-,-,-,transposase,protein-coding,-,-,-,transposase,20210417,-
273057,1453172,SSO_RS15285,SSO_RS15285,SSO12083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453173,SSO_RS15290,SSO_RS15290,SSO3153,-,-,-,transposase,protein-coding,-,-,-,transposase,20210417,-
273057,1453174,SSO_RS15295,SSO_RS15295,SSO3154,-,-,-,IS607 family transposase,protein-coding,-,-,-,IS607 family transposase,20210308,-
273057,1453175,wrbA,SSO_RS15300,SSO3155,-,-,-,NAD(P)H:quinone oxidoreductase,protein-coding,-,-,-,NAD(P)H:quinone oxidoreductase,20210417,-
273057,1453176,SSO_RS15305,SSO_RS15305,SSO3157,-,-,-,lipoate--protein ligase family protein,protein-coding,-,-,-,lipoate--protein ligase family protein,20210308,-
273057,1453177,SSO_RS15310,SSO_RS15310,SSO12093,-,-,-,biotin attachment protein,protein-coding,-,-,-,biotin attachment protein,20210417,-
273057,1453178,lipA,SSO_RS15315,SSO3158,-,-,-,lipoyl synthase,protein-coding,-,-,-,lipoyl synthase,20210417,-
273057,1453179,SSO_RS15320,SSO_RS15320,SSO3159,-,-,-,lipoate--protein ligase family protein,protein-coding,-,-,-,lipoate--protein ligase family protein,20210308,-
273057,1453180,SSO_RS15325,SSO_RS15325,SSO3161,-,-,-,(Fe-S)-binding protein,protein-coding,-,-,-,(Fe-S)-binding protein,20210417,-
273057,1453181,SSO_RS15330,SSO_RS15330,SSO3163,-,-,-,FAD-binding protein,protein-coding,-,-,-,FAD-binding protein,20210417,-
273057,1453182,SSO_RS15335,SSO_RS15335,SSO3165,-,-,-,FAD-binding oxidoreductase,protein-coding,-,-,-,FAD-binding oxidoreductase,20210417,-
273057,1453184,SSO_RS15350,SSO_RS15350,SSO3166,-,-,-,pseudo,pseudo,-,-,-,-,20210308,-
273057,1453185,SSO_RS15355,SSO_RS15355,SSO3167,-,-,-,CoA pyrophosphatase,protein-coding,-,-,-,CoA pyrophosphatase,20210308,-
273057,1453186,SSO_RS15360,SSO_RS15360,SSO3168,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210424,-
273057,1453187,SSO_RS15365,SSO_RS15365,SSO3169,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210308,-
273057,1453188,tsaA,SSO_RS15370,SSO3170,-,-,-,tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO,protein-coding,-,-,-,tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO,20210308,-
273057,1453189,SSO_RS15375,SSO_RS15375,SSO3171,-,-,-,IS607 family transposase,protein-coding,-,-,-,IS607 family transposase,20210417,-
273057,1453190,SSO_RS15380,SSO_RS15380,SSO3172,-,-,-,transposase,protein-coding,-,-,-,transposase,20210308,-
273057,1453191,SSO_RS15385,SSO_RS15385,SSO3174,-,-,-,CBS domain-containing protein,protein-coding,-,-,-,CBS domain-containing protein,20210612,-
273057,1453192,SSO_RS15390,SSO_RS15390,SSO3175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453193,SSO_RS15395,SSO_RS15395,SSO3176,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20210308,-
273057,1453194,SSO_RS15400,SSO_RS15400,SSO3177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453195,SSO_RS15405,SSO_RS15405,SSO3178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453196,SSO_RS15410,SSO_RS15410,SSO3179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453198,SSO_RS15415,SSO_RS15415,SSO3180,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210417,-
273057,1453199,SSO_RS15420,SSO_RS15420,SSO3181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453200,SSO_RS15425,SSO_RS15425,SSO3182,-,-,-,protein kinase,protein-coding,-,-,-,protein kinase,20210417,-
273057,1453201,SSO_RS15430,SSO_RS15430,SSO3183,-,-,-,universal stress protein,protein-coding,-,-,-,universal stress protein,20210308,-
273057,1453202,SSO_RS15435,SSO_RS15435,SSO3184,-,-,-,pseudo,pseudo,-,-,-,-,20210308,-
273057,1453204,SSO_RS15440,SSO_RS15440,SSO3185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453205,SSO_RS15445,SSO_RS15445,SSO3186,-,-,-,DUF2299 domain-containing protein,protein-coding,-,-,-,DUF2299 domain-containing protein,20210308,-
273057,1453206,SSO_RS15450,SSO_RS15450,SSO3187,-,-,-,glycolate dehydrogenase,protein-coding,-,-,-,glycolate dehydrogenase,20210417,-
273057,1453207,SSO_RS15455,SSO_RS15455,SSO3188,-,-,-,winged helix-turn-helix transcriptional regulator,protein-coding,-,-,-,winged helix-turn-helix transcriptional regulator,20210417,-
273057,1453208,SSO_RS15460,SSO_RS15460,SSO3189,-,-,-,APC family permease,protein-coding,-,-,-,APC family permease,20210417,-
273057,1453210,SSO_RS15470,SSO_RS15470,SSO3192,-,-,-,sodium:calcium antiporter,protein-coding,-,-,-,sodium:calcium antiporter,20210417,-
273057,1453211,SSO_RS15475,SSO_RS15475,SSO3194,-,-,-,NADP-dependent glyceraldehyde-3-phosphate dehydrogenase,protein-coding,-,-,-,NADP-dependent glyceraldehyde-3-phosphate dehydrogenase,20210308,-
273057,1453212,SSO_RS15480,SSO_RS15480,SSO3195,-,-,-,sugar kinase,protein-coding,-,-,-,sugar kinase,20210308,-
273057,1453213,SSO_RS15485,SSO_RS15485,SSO3197,-,-,-,dihydrodipicolinate synthase family protein,protein-coding,-,-,-,dihydrodipicolinate synthase family protein,20210308,-
273057,1453214,SSO_RS15490,SSO_RS15490,SSO3198,-,-,-,mandelate racemase/muconate lactonizing enzyme family protein,protein-coding,-,-,-,mandelate racemase/muconate lactonizing enzyme family protein,20210417,-
273057,1453215,SSO_RS15495,SSO_RS15495,SSO3199,-,-,-,phosphate-starvation-inducible PsiE family protein,protein-coding,-,-,-,phosphate-starvation-inducible PsiE family protein,20210308,-
273057,1453216,SSO_RS15500,SSO_RS15500,SSO3200,-,-,-,DUF123 domain-containing protein,protein-coding,-,-,-,DUF123 domain-containing protein,20210308,-
273057,1453217,SSO_RS15505,SSO_RS15505,SSO3201,-,-,-,sulfite oxidase-like oxidoreductase,protein-coding,-,-,-,sulfite oxidase-like oxidoreductase,20210417,-
273057,1453218,SSO_RS15510,SSO_RS15510,SSO3202,-,-,-,chloride channel protein,protein-coding,-,-,-,chloride channel protein,20210417,-
273057,1453219,acs,SSO_RS15515,SSO3203,-,-,-,acetate--CoA ligase,protein-coding,-,-,-,acetate--CoA ligase,20210417,-
273057,1453220,SSO_RS15520,SSO_RS15520,SSO3204,-,-,-,glucose 1-dehydrogenase,protein-coding,-,-,-,glucose 1-dehydrogenase,20210308,-
273057,1453221,SSO_RS15525,SSO_RS15525,SSO3205,-,-,-,CBS domain-containing protein,protein-coding,-,-,-,CBS domain-containing protein,20210612,-
273057,1453222,SSO_RS15530,SSO_RS15530,SSO3206,-,-,-,RidA family protein,protein-coding,-,-,-,RidA family protein,20210308,-
273057,1453223,SSO_RS15540,SSO_RS15540,SSO3207,-,-,-,protein kinase,protein-coding,-,-,-,protein kinase,20210417,-
273057,1453224,SSO_RS15545,SSO_RS15545,SSO3209,-,-,-,aldo/keto reductase,protein-coding,-,-,-,aldo/keto reductase,20210417,-
273057,1453225,SSO_RS15550,SSO_RS15550,SSO3210,-,-,-,thiamine pyrophosphate-requiring protein,protein-coding,-,-,-,thiamine pyrophosphate-requiring protein,20210312,-
273057,1453226,SSO_RS15555,SSO_RS15555,SSO3211,-,-,-,acetyl ornithine aminotransferase family protein,protein-coding,-,-,-,acetyl ornithine aminotransferase family protein,20210417,-
273057,1453227,SSO_RS15560,SSO_RS15560,SSO3212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453228,SSO_RS15565,SSO_RS15565,SSO3213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1453229,SSO_RS15570,SSO_RS15570,SSO3214,-,-,-,tRNA(Met) cytidine acetyltransferase,protein-coding,-,-,-,tRNA(Met) cytidine acetyltransferase,20210417,-
