#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2234047,65113615,KNT92_gp002,KNT92_gp002,CPT_Mineola_002,-,-,-,rIIA protector from prophage-induced early lysis,protein-coding,-,-,-,rIIA protector from prophage-induced early lysis,20210607,-
2234047,65113787,KNT92_gp237,KNT92_gp237,CPT_Mineola_174,-,-,-,prehead core component PIP,protein-coding,-,-,-,prehead core component PIP,20210607,-
2234047,65113788,KNT92_gp236,KNT92_gp236,CPT_Mineola_175,-,-,-,prohead assembly protein,protein-coding,-,-,-,prohead assembly protein,20210607,-
2234047,65113789,KNT92_gp235,KNT92_gp235,CPT_Mineola_176,-,-,-,prohead core scaffolding protein and protease,protein-coding,-,-,-,prohead core scaffolding protein and protease,20210607,-
2234047,65113790,KNT92_gp234,KNT92_gp234,CPT_Mineola_177,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210607,-
2234047,65113791,KNT92_gp233,KNT92_gp233,CPT_Mineola_178,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2234047,65113792,KNT92_gp232,KNT92_gp232,CPT_Mineola_179,-,-,-,capsid vertex protein,protein-coding,-,-,-,capsid vertex protein,20210607,-
2234047,65113793,KNT92_gp231,KNT92_gp231,CPT_Mineola_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113794,KNT92_gp230,KNT92_gp230,CPT_Mineola_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113795,KNT92_gp229,KNT92_gp229,CPT_Mineola_182,-,-,-,RNA ligase 2,protein-coding,-,-,-,RNA ligase 2,20210607,-
2234047,65113796,KNT92_gp228,KNT92_gp228,CPT_Mineola_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113797,KNT92_gp227,KNT92_gp227,CPT_Mineola_184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113798,KNT92_gp226,KNT92_gp226,CPT_Mineola_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113799,KNT92_gp225,KNT92_gp225,CPT_Mineola_186,-,-,-,head outer capsid decoration protein,protein-coding,-,-,-,head outer capsid decoration protein,20210607,-
2234047,65113800,KNT92_gp224,KNT92_gp224,CPT_Mineola_187,-,-,-,inhibitor of prohead protease,protein-coding,-,-,-,inhibitor of prohead protease,20210607,-
2234047,65113801,KNT92_gp223,KNT92_gp223,CPT_Mineola_188,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2234047,65113802,KNT92_gp222,KNT92_gp222,CPT_Mineola_189,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2234047,65113803,KNT92_gp221,KNT92_gp221,CPT_Mineola_190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113804,KNT92_gp220,KNT92_gp220,CPT_Mineola_191,-,-,-,"recombination, repair and ssDNA binding protein",protein-coding,-,-,-,"recombination, repair and ssDNA binding protein",20210607,-
2234047,65113805,KNT92_gp219,KNT92_gp219,CPT_Mineola_192,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210609,-
2234047,65113806,KNT92_gp218,KNT92_gp218,CPT_Mineola_193,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210607,-
2234047,65113807,KNT92_gp217,KNT92_gp217,CPT_Mineola_194,-,-,-,baseplate hub assembly protein,protein-coding,-,-,-,baseplate hub assembly protein,20210607,-
2234047,65113808,KNT92_gp216,KNT92_gp216,CPT_Mineola_195,-,-,-,baseplate central spike complex protein,protein-coding,-,-,-,baseplate central spike complex protein,20210607,-
2234047,65113809,KNT92_gp215,KNT92_gp215,CPT_Mineola_196,-,-,-,baseplate hub distal subunit,protein-coding,-,-,-,baseplate hub distal subunit,20210607,-
2234047,65113810,KNT92_gp214,KNT92_gp214,CPT_Mineola_197,-,-,-,"baseplate hub subunit, tape measure protein",protein-coding,-,-,-,"baseplate hub subunit, tape measure protein",20210607,-
2234047,65113811,KNT92_gp213,KNT92_gp213,CPT_Mineola_198,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20210607,-
2234047,65113812,KNT92_gp212,KNT92_gp212,CPT_Mineola_199,-,-,-,baseplate tail-tube junction protein,protein-coding,-,-,-,baseplate tail-tube junction protein,20210607,-
2234047,65113813,KNT92_gp211,KNT92_gp211,CPT_Mineola_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113814,KNT92_gp210,KNT92_gp210,CPT_Mineola_201,-,-,-,ADP-ribosyltransferase,protein-coding,-,-,-,ADP-ribosyltransferase,20210607,-
2234047,65113815,KNT92_gp209,KNT92_gp209,CPT_Mineola_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113816,KNT92_gp208,KNT92_gp208,CPT_Mineola_203,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210607,-
2234047,65113817,KNT92_gp207,KNT92_gp207,CPT_Mineola_204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113818,KNT92_gp206,KNT92_gp206,CPT_Mineola_205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113819,KNT92_gp205,KNT92_gp205,CPT_Mineola_206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113820,KNT92_gp204,KNT92_gp204,CPT_Mineola_207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113821,KNT92_gp203,KNT92_gp203,CPT_Mineola_208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113822,KNT92_gp202,KNT92_gp202,CPT_Mineola_209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113823,KNT92_gp201,KNT92_gp201,CPT_Mineola_210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113824,KNT92_gp200,KNT92_gp200,CPT_Mineola_211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113825,KNT92_gp199,KNT92_gp199,CPT_Mineola_212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113826,KNT92_gp198,KNT92_gp198,CPT_Mineola_213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113827,KNT92_gp197,KNT92_gp197,CPT_Mineola_214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113828,KNT92_gp196,KNT92_gp196,CPT_Mineola_215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113829,KNT92_gp195,KNT92_gp195,CPT_Mineola_216,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113830,KNT92_gp194,KNT92_gp194,CPT_Mineola_217,-,-,-,lysis inhibition accessory protein,protein-coding,-,-,-,lysis inhibition accessory protein,20210607,-
2234047,65113831,KNT92_gp193,KNT92_gp193,CPT_Mineola_218,-,-,-,head assembly cochaperone with GroEL,protein-coding,-,-,-,head assembly cochaperone with GroEL,20210607,-
2234047,65113832,KNT92_gp192,KNT92_gp192,CPT_Mineola_219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113833,KNT92_gp191,KNT92_gp191,CPT_Mineola_220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113834,KNT92_gp190,KNT92_gp190,CPT_Mineola_221,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210607,-
2234047,65113835,KNT92_gp189,KNT92_gp189,CPT_Mineola_222,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113836,KNT92_gp188,KNT92_gp188,CPT_Mineola_223,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113837,KNT92_gp187,KNT92_gp187,CPT_Mineola_224,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113838,KNT92_gp186,KNT92_gp186,CPT_Mineola_225,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210607,-
2234047,65113839,KNT92_gp185,KNT92_gp185,CPT_Mineola_226,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113840,KNT92_gp184,KNT92_gp184,CPT_Mineola_227,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113841,KNT92_gp183,KNT92_gp183,CPT_Mineola_228,-,-,-,putative o-spanin,protein-coding,-,-,-,putative o-spanin,20210607,-
2234047,65113842,KNT92_gp182,KNT92_gp182,CPT_Mineola_229,-,-,-,putative I-spanin,protein-coding,-,-,-,putative I-spanin,20210607,-
2234047,65113843,KNT92_gp181,KNT92_gp181,CPT_Mineola_230,-,-,-,inhibitor of host transcription,protein-coding,-,-,-,inhibitor of host transcription,20210607,-
2234047,65113844,KNT92_gp180,KNT92_gp180,CPT_Mineola_231,-,-,-,RNA ligase A,protein-coding,-,-,-,RNA ligase A,20210607,-
2234047,65113845,KNT92_gp179,KNT92_gp179,CPT_Mineola_232,-,-,-,endonuclease II,protein-coding,-,-,-,endonuclease II,20210607,-
2234047,65113846,KNT92_gp178,KNT92_gp178,CPT_Mineola_233,-,-,-,ribonucleoside-diphosphate reductase subunit beta,protein-coding,-,-,-,ribonucleoside-diphosphate reductase subunit beta,20210607,-
2234047,65113847,KNT92_gp177,KNT92_gp177,CPT_Mineola_234,-,-,-,ribonucleoside-diphosphate reductase subunit alpha,protein-coding,-,-,-,ribonucleoside-diphosphate reductase subunit alpha,20210607,-
2234047,65113848,KNT92_gp176,KNT92_gp176,CPT_Mineola_235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2234047,65113849,KNT92_gp175,KNT92_gp175,CPT_Mineola_236,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113850,KNT92_gp174,KNT92_gp174,CPT_Mineola_237,-,-,-,dTMP (thymidylate) synthase,protein-coding,-,-,-,dTMP (thymidylate) synthase,20210607,-
2234047,65113851,KNT92_gp173,KNT92_gp173,CPT_Mineola_238,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113852,KNT92_gp172,KNT92_gp172,CPT_Mineola_239,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20210607,-
2234047,65113853,KNT92_gp171,KNT92_gp171,CPT_Mineola_240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113854,KNT92_gp170,KNT92_gp170,CPT_Mineola_241,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113855,KNT92_gp169,KNT92_gp169,CPT_Mineola_242,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113856,KNT92_gp168,KNT92_gp168,CPT_Mineola_243,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113857,KNT92_gp167,KNT92_gp167,CPT_Mineola_244,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113858,KNT92_gp166,KNT92_gp166,CPT_Mineola_245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113859,KNT92_gp165,KNT92_gp165,CPT_Mineola_246,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210607,-
2234047,65113860,KNT92_gp164,KNT92_gp164,CPT_Mineola_247,-,-,-,helicase assembly protein,protein-coding,-,-,-,helicase assembly protein,20210607,-
2234047,65113861,KNT92_gp163,KNT92_gp163,CPT_Mineola_248,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20210607,-
2234047,65113862,KNT92_gp162,KNT92_gp162,CPT_Mineola_249,-,-,-,double-stranded DNA binding protein,protein-coding,-,-,-,double-stranded DNA binding protein,20210607,-
2234047,65113863,KNT92_gp161,KNT92_gp161,CPT_Mineola_250,-,-,-,RnaseH,protein-coding,-,-,-,RnaseH,20210607,-
2234047,65113864,KNT92_gp160,KNT92_gp160,CPT_Mineola_251,-,-,-,"long tail fiber, proximal subunit",protein-coding,-,-,-,"long tail fiber, proximal subunit",20210607,-
2234047,65113865,KNT92_gp159,KNT92_gp159,CPT_Mineola_252,-,-,-,"hinge connector of long tail fiber, proximal connector",protein-coding,-,-,-,"hinge connector of long tail fiber, proximal connector",20210607,-
2234047,65113866,KNT92_gp158,KNT92_gp158,CPT_Mineola_253,-,-,-,"hinge connector of long tail fiber, distal connector",protein-coding,-,-,-,"hinge connector of long tail fiber, distal connector",20210607,-
2234047,65113867,KNT92_gp157,KNT92_gp157,CPT_Mineola_254,-,-,-,"long tail fiber, distal subunit",protein-coding,-,-,-,"long tail fiber, distal subunit",20210607,-
2234047,65113868,KNT92_gp156,KNT92_gp156,CPT_Mineola_255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113869,KNT92_gp155,KNT92_gp155,CPT_Mineola_256,-,-,-,holin,protein-coding,-,-,-,holin,20210607,-
2234047,65113870,KNT92_gp154,KNT92_gp154,CPT_Mineola_257,-,-,-,anti-sigma 70 protein,protein-coding,-,-,-,anti-sigma 70 protein,20210607,-
2234047,65113871,KNT92_gp153,KNT92_gp153,CPT_Mineola_258,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113872,KNT92_gp152,KNT92_gp152,CPT_Mineola_259,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113873,KNT92_gp151,KNT92_gp151,CPT_Mineola_260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113874,KNT92_gp150,KNT92_gp150,CPT_Mineola_261,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113875,KNT92_gp149,KNT92_gp149,CPT_Mineola_262,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113876,KNT92_gp148,KNT92_gp148,CPT_Mineola_263,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113877,KNT92_gp147,KNT92_gp147,CPT_Mineola_264,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113878,KNT92_gp146,KNT92_gp146,CPT_Mineola_265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113879,KNT92_gp145,KNT92_gp145,CPT_Mineola_266,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113880,KNT92_gp144,KNT92_gp144,CPT_Mineola_267,-,-,-,activator of middle period transcription,protein-coding,-,-,-,activator of middle period transcription,20210607,-
2234047,65113881,KNT92_gp143,KNT92_gp143,CPT_Mineola_268,-,-,-,DNA topoisomerase II medium subunit,protein-coding,-,-,-,DNA topoisomerase II medium subunit,20210607,-
2234047,65113882,KNT92_gp142,KNT92_gp142,CPT_Mineola_269,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113883,KNT92_gp141,KNT92_gp141,CPT_Mineola_270,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113884,KNT92_gp140,KNT92_gp140,CPT_Mineola_271,-,-,-,nucleoid disruption protein,protein-coding,-,-,-,nucleoid disruption protein,20210607,-
2234047,65113885,KNT92_gp139,KNT92_gp139,CPT_Mineola_272,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113886,KNT92_gp138,KNT92_gp138,CPT_Mineola_273,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113887,KNT92_gp137,KNT92_gp137,CPT_Mineola_274,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113888,KNT92_gp136,KNT92_gp136,CPT_Mineola_275,-,-,-,DNA endonuclease IV,protein-coding,-,-,-,DNA endonuclease IV,20210607,-
2234047,65113889,KNT92_gp135,KNT92_gp135,CPT_Mineola_276,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113890,KNT92_gt002,KNT92_gt002,CPT_Mineola_gt002,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2234047,65113891,KNT92_gt003,KNT92_gt003,CPT_Mineola_gt003,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2234047,65113892,KNT92_gp276,KNT92_gp276,CPT_Mineola_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113893,KNT92_gp273,KNT92_gp273,CPT_Mineola_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113894,KNT92_gp269,KNT92_gp269,CPT_Mineola_142,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210607,-
2234047,65113895,KNT92_gt007,KNT92_gt007,CPT_Mineola_gt007,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2234047,65113896,KNT92_gt008,KNT92_gt008,CPT_Mineola_gt008,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2234047,65113897,KNT92_gt009,KNT92_gt009,CPT_Mineola_gt009,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2234047,65113898,KNT92_gt010,KNT92_gt010,CPT_Mineola_gt010,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2234047,65113899,KNT92_gt011,KNT92_gt011,CPT_Mineola_gt011,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2234047,65113900,KNT92_gt012,KNT92_gt012,CPT_Mineola_gt012,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2234047,65113901,KNT92_gt013,KNT92_gt013,CPT_Mineola_gt013,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2234047,65113902,KNT92_gt014,KNT92_gt014,CPT_Mineola_gt014,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2234047,65113903,KNT92_gt015,KNT92_gt015,CPT_Mineola_gt015,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2234047,65113904,KNT92_gt016,KNT92_gt016,CPT_Mineola_gt016,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2234047,65113905,KNT92_gp268,KNT92_gp268,CPT_Mineola_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113906,KNT92_gp001,KNT92_gp001,CPT_Mineola_001,-,-,-,rIIB protector from prophage-induced early lysis,protein-coding,-,-,-,rIIB protector from prophage-induced early lysis,20210607,-
2234047,65242832,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
