#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
28200,38346939,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Aliiarcobacter skirrowii; Arcobacter skirrowii.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210405,-
28200,60358737,EI285_RS01515,EI285_RS01515,EI285_01515,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358741,EI285_RS08685,EI285_RS08685,EI285_08685,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60358742,EI285_RS02405,EI285_RS02405,EI285_02405,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358743,EI285_RS06450,EI285_RS06450,EI285_06450,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358744,EI285_RS08910,EI285_RS08910,EI285_08910,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358745,EI285_RS06445,EI285_RS06445,EI285_06445,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358767,EI285_RS01835,EI285_RS01835,EI285_01835,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358775,EI285_RS04815,EI285_RS04815,EI285_04815,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358776,EI285_RS07580,EI285_RS07580,EI285_07580,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60358784,EI285_RS05960,EI285_RS05960,EI285_05960,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358786,EI285_RS05130,EI285_RS05130,EI285_05130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358789,EI285_RS04120,EI285_RS04120,EI285_04120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358790,EI285_RS01860,EI285_RS01860,EI285_01860,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
28200,60358801,EI285_RS08715,EI285_RS08715,EI285_08715,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358808,EI285_RS05175,EI285_RS05175,EI285_05175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358810,EI285_RS05700,EI285_RS05700,EI285_05700,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358844,EI285_RS07550,EI285_RS07550,EI285_07550,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358849,EI285_RS07585,EI285_RS07585,EI285_07585,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60358853,EI285_RS07545,EI285_RS07545,EI285_07545,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358856,EI285_RS08695,EI285_RS08695,EI285_08695,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60358857,EI285_RS07540,EI285_RS07540,EI285_07540,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358862,EI285_RS05855,EI285_RS05855,EI285_05855,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358863,EI285_RS07535,EI285_RS07535,EI285_07535,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358865,EI285_RS01825,EI285_RS01825,EI285_01825,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358866,EI285_RS07530,EI285_RS07530,EI285_07530,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358868,EI285_RS00460,EI285_RS00460,EI285_00460,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358870,EI285_RS07525,EI285_RS07525,EI285_07525,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358873,EI285_RS07520,EI285_RS07520,EI285_07520,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358876,EI285_RS01865,EI285_RS01865,EI285_01865,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358882,EI285_RS01890,EI285_RS01890,EI285_01890,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
28200,60358887,EI285_RS07515,EI285_RS07515,EI285_07515,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358892,EI285_RS06065,EI285_RS06065,EI285_06065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358898,EI285_RS04730,EI285_RS04730,EI285_04730,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358901,EI285_RS07510,EI285_RS07510,EI285_07510,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358905,EI285_RS07505,EI285_RS07505,EI285_07505,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358906,EI285_RS02275,EI285_RS02275,EI285_02275,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60358911,EI285_RS05615,EI285_RS05615,EI285_05615,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358917,EI285_RS08655,EI285_RS08655,EI285_08655,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358918,EI285_RS07500,EI285_RS07500,EI285_07500,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358921,EI285_RS07495,EI285_RS07495,EI285_07495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358925,EI285_RS07490,EI285_RS07490,EI285_07490,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358928,EI285_RS07485,EI285_RS07485,EI285_07485,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201204,-
28200,60358940,EI285_RS07480,EI285_RS07480,EI285_07480,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358950,EI285_RS07470,EI285_RS07470,EI285_07470,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358965,EI285_RS00800,EI285_RS00800,EI285_00800,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358969,EI285_RS03015,EI285_RS03015,EI285_03015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358971,EI285_RS06350,EI285_RS06350,EI285_06350,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358974,EI285_RS00445,EI285_RS00445,EI285_00445,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358975,EI285_RS04670,EI285_RS04670,EI285_04670,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358981,EI285_RS04720,EI285_RS04720,EI285_04720,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358987,EI285_RS00440,EI285_RS00440,EI285_00440,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358993,EI285_RS08740,EI285_RS08740,EI285_08740,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358996,EI285_RS09655,EI285_RS09655,EI285_09655,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359001,EI285_RS07430,EI285_RS07430,EI285_07430,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359006,EI285_RS04280,EI285_RS04280,EI285_04280,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
28200,60359009,EI285_RS07410,EI285_RS07410,EI285_07410,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359014,EI285_RS07400,EI285_RS07400,EI285_07400,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359018,EI285_RS00300,EI285_RS00300,EI285_00300,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60359026,EI285_RS09160,EI285_RS09160,EI285_09160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359041,EI285_RS01005,EI285_RS01005,EI285_01005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359047,EI285_RS01245,EI285_RS01245,EI285_01245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359056,EI285_RS01810,EI285_RS01810,EI285_01810,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359057,EI285_RS02100,EI285_RS02100,EI285_02100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359062,EI285_RS04230,EI285_RS04230,EI285_04230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359070,EI285_RS02260,EI285_RS02260,EI285_02260,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60359075,EI285_RS01500,EI285_RS01500,EI285_01500,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359085,EI285_RS05290,EI285_RS05290,EI285_05290,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359089,EI285_RS07370,EI285_RS07370,EI285_07370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359093,EI285_RS09085,EI285_RS09085,EI285_09085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359102,EI285_RS05920,EI285_RS05920,EI285_05920,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359103,EI285_RS02940,EI285_RS02940,EI285_02940,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359111,EI285_RS07340,EI285_RS07340,EI285_07340,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359113,EI285_RS06010,EI285_RS06010,EI285_06010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201204,-
28200,60359119,EI285_RS05970,EI285_RS05970,EI285_05970,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359121,EI285_RS09360,EI285_RS09360,EI285_09360,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359124,EI285_RS02930,EI285_RS02930,EI285_02930,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359127,EI285_RS00430,EI285_RS00430,EI285_00430,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359130,EI285_RS07330,EI285_RS07330,EI285_07330,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359131,EI285_RS02925,EI285_RS02925,EI285_02925,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359143,EI285_RS04080,EI285_RS04080,EI285_04080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359146,EI285_RS07305,EI285_RS07305,EI285_07305,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359149,EI285_RS07300,EI285_RS07300,EI285_07300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359150,EI285_RS07295,EI285_RS07295,EI285_07295,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359152,EI285_RS02905,EI285_RS02905,EI285_02905,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359170,EI285_RS07290,EI285_RS07290,EI285_07290,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359172,EI285_RS07285,EI285_RS07285,EI285_07285,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359175,EI285_RS07280,EI285_RS07280,EI285_07280,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359179,EI285_RS04200,EI285_RS04200,EI285_04200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359192,EI285_RS00180,EI285_RS00180,EI285_00180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
28200,60359207,EI285_RS01210,EI285_RS01210,EI285_01210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359213,EI285_RS04385,EI285_RS04385,EI285_04385,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60359217,EI285_RS05295,EI285_RS05295,EI285_05295,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
28200,60359219,EI285_RS05195,EI285_RS05195,EI285_05195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359233,EI285_RS01460,EI285_RS01460,EI285_01460,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359235,EI285_RS06020,EI285_RS06020,EI285_06020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359237,EI285_RS02860,EI285_RS02860,EI285_02860,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359239,EI285_RS04775,EI285_RS04775,EI285_04775,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359240,EI285_RS01805,EI285_RS01805,EI285_01805,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359241,EI285_RS01045,EI285_RS01045,EI285_01045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359242,EI285_RS02855,EI285_RS02855,EI285_02855,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359245,EI285_RS04825,EI285_RS04825,EI285_04825,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60359246,EI285_RS02850,EI285_RS02850,EI285_02850,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359249,EI285_RS06015,EI285_RS06015,EI285_06015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201204,-
28200,60359251,EI285_RS04075,EI285_RS04075,EI285_04075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359255,EI285_RS07230,EI285_RS07230,EI285_07230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359256,EI285_RS02845,EI285_RS02845,EI285_02845,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60359270,EI285_RS04440,EI285_RS04440,EI285_04440,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359272,EI285_RS02840,EI285_RS02840,EI285_02840,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60359277,EI285_RS04390,EI285_RS04390,EI285_04390,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60359279,EI285_RS02835,EI285_RS02835,EI285_02835,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60359280,EI285_RS04175,EI285_RS04175,EI285_04175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359284,EI285_RS02290,EI285_RS02290,EI285_02290,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60359292,EI285_RS05445,EI285_RS05445,EI285_05445,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359294,EI285_RS07205,EI285_RS07205,EI285_07205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359303,EI285_RS07200,EI285_RS07200,EI285_07200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359318,EI285_RS04850,EI285_RS04850,EI285_04850,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359319,EI285_RS07115,EI285_RS07115,EI285_07115,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60359327,EI285_RS02785,EI285_RS02785,EI285_02785,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359346,EI285_RS06155,EI285_RS06155,EI285_06155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359350,EI285_RS07175,EI285_RS07175,EI285_07175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
28200,60359362,EI285_RS04685,EI285_RS04685,EI285_04685,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359379,EI285_RS00825,EI285_RS00825,EI285_00825,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359391,EI285_RS07095,EI285_RS07095,EI285_07095,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60359400,EI285_RS07110,EI285_RS07110,EI285_07110,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60359411,EI285_RS00115,EI285_RS00115,EI285_00115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359412,EI285_RS06125,EI285_RS06125,EI285_06125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359416,EI285_RS05245,EI285_RS05245,EI285_05245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359418,EI285_RS04070,EI285_RS04070,EI285_04070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359428,EI285_RS02690,EI285_RS02690,EI285_02690,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359430,EI285_RS01410,EI285_RS01410,EI285_01410,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359435,EI285_RS04545,EI285_RS04545,EI285_04545,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359442,EI285_RS09780,EI285_RS09780,-,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60359444,EI285_RS04255,EI285_RS04255,EI285_04255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359449,EI285_RS01935,EI285_RS01935,EI285_01935,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
28200,60359464,EI285_RS00995,EI285_RS00995,EI285_00995,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60359465,EI285_RS06090,EI285_RS06090,EI285_06090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
