#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
444862,10327630,PRSM4_002,PRSM4_002,-,-,-,-,DUF1825 domain-containing protein,protein-coding,-,-,-,DUF1825 domain-containing protein,20200909,-
444862,10327837,PRSM4_212,PRSM4_212,-,-,-,-,NAD synthetase,protein-coding,-,-,-,NAD synthetase,20200909,-
444862,10327838,PRSM4_213,PRSM4_213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327839,PRSM4_214,PRSM4_214,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
444862,10327840,gp59,PRSM4_001,-,-,-,-,loader of gp41 DNA helicase,protein-coding,-,-,-,loader of gp41 DNA helicase,20210129,-
444862,10327841,PRSM4_216,PRSM4_216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327842,hli03,PRSM4_217,-,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20200909,-
444862,10327843,hli03,PRSM4_218,-,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20200909,-
444862,10327844,hli04,PRSM4_219,-,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20200909,-
444862,10327845,hli03,PRSM4_220,-,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20200909,-
444862,10327846,PRSM4_221,PRSM4_221,-,-,-,-,carboxylesterase,protein-coding,-,-,-,carboxylesterase,20200909,-
444862,10327847,PRSM4_222,PRSM4_222,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327848,PRSM4_223,PRSM4_223,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327849,PRSM4_224,PRSM4_224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327850,PRSM4_225,PRSM4_225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327851,psbA,PRSM4_226,-,-,-,-,photosystem II D1 protein,protein-coding,-,-,-,photosystem II D1 protein,20210129,-
444862,10327852,PRSM4_227,PRSM4_227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327853,gp220,PRSM4_228,-,-,-,-,precursor of major head subunit,protein-coding,-,-,-,precursor of major head subunit,20200909,-
444862,10327854,PRSM4_229,PRSM4_229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327855,PRSM4_230,PRSM4_230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327856,PRSM4_231,PRSM4_231,-,-,-,-,DUF680 domain-containing protein,protein-coding,-,-,-,DUF680 domain-containing protein,20200909,-
444862,10327857,nrdC,PRSM4_232,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20200909,-
444862,10327858,PRSM4_233,PRSM4_233,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327859,PRSM4_234,PRSM4_234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
444862,10327860,PRSM4_235,PRSM4_235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327861,PRSM4_236,PRSM4_236,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327862,PRSM4_237,PRSM4_237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327863,td,PRSM4_238,-,-,-,-,Td thymidylate synthetase,protein-coding,-,-,-,Td thymidylate synthetase,20200909,-
444862,10327864,PRSM4_239,PRSM4_239,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327865,phoH,PRSM4_240,-,-,-,-,P-starvation inducible protein,protein-coding,-,-,-,P-starvation inducible protein,20210129,-
444862,10327866,PRSM4_241,PRSM4_241,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210129,-
444862,10327867,gp33,PRSM4_242,-,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20200909,-
444862,10327868,gp13,PRSM4_114,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200909,-
444862,10327869,PRSM4_127,PRSM4_127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327870,PRSM4_215,PRSM4_215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327871,PRSM4_036,PRSM4_036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10359322,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Cyanophage 9303-10a).,other,-,-,-,-,20200715,-
