#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1204533,14515999,G380_gp174,G380_gp174,-,-,-,-,putative Pectin lyase-like protein,protein-coding,-,-,-,putative Pectin lyase-like protein,20200909,-
1204533,14516204,G380_gp003,G380_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516205,G380_gp002,G380_gp002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204533,14516206,G380_gp001,G380_gp001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204533,14564090,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (phiAGATE).,other,-,-,-,-,20200513,-
1204533,17860665,G380_gp210,G380_gp210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,17860666,G380_gp208,G380_gp208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,17860667,G380_gp207,G380_gp207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,17860668,G380_gp209,G380_gp209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,17860669,G380_gp206,G380_gp206,-,-,-,-,putative lambda repressor-like DNA-binding protein,protein-coding,-,-,-,putative lambda repressor-like DNA-binding protein,20200909,-
1204533,17860670,G380_gp205,G380_gp205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
