#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1541825,22277247,PI26_gp001,PI26_gp001,-,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20200629,-
1541825,22277450,PI26_gp207,PI26_gp207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277451,PI26_gp206,PI26_gp206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277452,PI26_gp205,PI26_gp205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277453,PI26_gp204,PI26_gp204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277454,PI26_gp203,PI26_gp203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277455,PI26_gp202,PI26_gp202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277456,PI26_gp201,PI26_gp201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277457,PI26_gp200,PI26_gp200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277458,PI26_gp199,PI26_gp199,-,-,-,-,lysis inhibition protein,protein-coding,-,-,-,lysis inhibition protein,20200629,-
1541825,22277459,PI26_gp198,PI26_gp198,-,-,-,-,co-chaperone for GroEL,protein-coding,-,-,-,co-chaperone for GroEL,20210212,-
1541825,22277460,PI26_gp197,PI26_gp197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1541825,22277461,PI26_gp196,PI26_gp196,-,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20200629,-
1541825,22277462,PI26_gp195,PI26_gp195,-,-,-,-,AroG,protein-coding,-,-,-,AroG,20200629,-
1541825,22277463,PI26_gp194,PI26_gp194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277464,PI26_gp193,PI26_gp193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277465,PI26_gp192,PI26_gp192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277466,PI26_gp191,PI26_gp191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277467,PI26_gp190,PI26_gp190,-,-,-,-,polynucleotide 5'-kinase and 3'-phosphatase,protein-coding,-,-,-,polynucleotide 5'-kinase and 3'-phosphatase,20200629,-
1541825,22277468,PI26_gp189,PI26_gp189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277469,PI26_gp188,PI26_gp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277470,PI26_gp187,PI26_gp187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277471,PI26_gp186,PI26_gp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277472,PI26_gp185,PI26_gp185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277473,PI26_gp184,PI26_gp184,-,-,-,-,inhibitor of host transcription,protein-coding,-,-,-,inhibitor of host transcription,20200629,-
1541825,22277474,PI26_gp183,PI26_gp183,-,-,-,-,RNA ligase I tail fiber attachment,protein-coding,-,-,-,RNA ligase I tail fiber attachment,20200629,-
1541825,22277475,PI26_gp182,PI26_gp182,-,-,-,-,endonuclease II,protein-coding,-,-,-,endonuclease II,20200629,-
1541825,22277476,PI26_gp181,PI26_gp181,-,-,-,-,aerobic NDP reductase small subunit,protein-coding,-,-,-,aerobic NDP reductase small subunit,20200629,-
1541825,22277477,PI26_gp180,PI26_gp180,-,-,-,-,aerobic NDP reductase large subunit,protein-coding,-,-,-,aerobic NDP reductase large subunit,20200629,-
1541825,22277478,PI26_gp179,PI26_gp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277479,PI26_gp178,PI26_gp178,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200629,-
1541825,22277480,PI26_gp177,PI26_gp177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277481,PI26_gp176,PI26_gp176,-,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20200629,-
1541825,22277482,PI26_gp175,PI26_gp175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277483,PI26_gp174,PI26_gp174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277484,PI26_gp173,PI26_gp173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277485,PI26_gp172,PI26_gp172,-,-,-,-,single stranded DNA binding protein,protein-coding,-,-,-,single stranded DNA binding protein,20200629,-
1541825,22277486,PI26_gp171,PI26_gp171,-,-,-,-,helicase loader,protein-coding,-,-,-,helicase loader,20200629,-
1541825,22277487,PI26_gp170,PI26_gp170,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200629,-
1541825,22277488,PI26_gp169,PI26_gp169,-,-,-,-,connector between replisome and late sigma factor,protein-coding,-,-,-,connector between replisome and late sigma factor,20200926,-
1541825,22277489,PI26_gp168,PI26_gp168,-,-,-,-,"dsDNA-binding, transcription factor",protein-coding,-,-,-,"dsDNA-binding, transcription factor",20200629,-
1541825,22277490,PI26_gp167,PI26_gp167,-,-,-,-,ribonuclease H,protein-coding,-,-,-,ribonuclease H,20200629,-
1541825,22277491,PI26_gp166,PI26_gp166,-,-,-,-,proximal long tail fiber,protein-coding,-,-,-,proximal long tail fiber,20200629,-
1541825,22277492,PI26_gp165,PI26_gp165,-,-,-,-,proximal hinge of long tail fiber,protein-coding,-,-,-,proximal hinge of long tail fiber,20200629,-
1541825,22277493,PI26_gp164,PI26_gp164,-,-,-,-,distal hinge connector of long tail fiber,protein-coding,-,-,-,distal hinge connector of long tail fiber,20200629,-
1541825,22277494,PI26_gp163,PI26_gp163,-,-,-,-,distal half fiber,protein-coding,-,-,-,distal half fiber,20200629,-
1541825,22277495,PI26_gp162,PI26_gp162,-,-,-,-,long tail fiber assembly chaperone,protein-coding,-,-,-,long tail fiber assembly chaperone,20200629,-
1541825,22277496,PI26_gp161,PI26_gp161,-,-,-,-,holin,protein-coding,-,-,-,holin,20200629,-
1541825,22277497,PI26_gp160,PI26_gp160,-,-,-,-,anti-sigma 70,protein-coding,-,-,-,anti-sigma 70,20200926,-
1541825,22277498,PI26_gp159,PI26_gp159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277499,PI26_gp158,PI26_gp158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277500,PI26_gp157,PI26_gp157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277501,PI26_gp156,PI26_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277502,PI26_gp155,PI26_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277503,PI26_gp154,PI26_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277504,PI26_gp153,PI26_gp153,-,-,-,-,middle transcription regulator,protein-coding,-,-,-,middle transcription regulator,20200629,-
1541825,22277505,PI26_gp152,PI26_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277506,PI26_gp151,PI26_gp151,-,-,-,-,topoisomerase II subunit,protein-coding,-,-,-,topoisomerase II subunit,20200629,-
1541825,22277507,PI26_gp150,PI26_gp150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277508,PI26_gp149,PI26_gp149,-,-,-,-,acridine resistance protein,protein-coding,-,-,-,acridine resistance protein,20200629,-
1541825,22277509,PI26_gp148,PI26_gp148,-,-,-,-,nucleoid disruption protein,protein-coding,-,-,-,nucleoid disruption protein,20200629,-
1541825,22277510,PI26_gp147,PI26_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277511,PI26_gp146,PI26_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277512,PI26_gp145,PI26_gp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277513,PI26_gp144,PI26_gp144,-,-,-,-,endonuclease IV,protein-coding,-,-,-,endonuclease IV,20200629,-
1541825,22277514,PI26_gp143,PI26_gp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277515,PI26_gp142,PI26_gp142,-,-,-,-,anti-prophage protein,protein-coding,-,-,-,anti-prophage protein,20200629,-
1541825,22322665,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
