#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1074307,18562436,3,LINSTU_3,-,-,-,-,NrdC,protein-coding,-,-,-,NrdC,20200909,-
1074307,18562671,249,LINSTU_249,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200909,-
1074307,18562672,250,LINSTU_250,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562673,251,LINSTU_251,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562674,252,LINSTU_252,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562675,253,LINSTU_253,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562676,254,LINSTU_254,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562677,255,LINSTU_255,-,-,-,-,Pnk,protein-coding,-,-,-,Pnk,20210424,-
1074307,18562678,256,LINSTU_256,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562679,257,LINSTU_257,-,-,-,-,Ser/Thr kinase,protein-coding,-,-,-,Ser/Thr kinase,20200909,-
1074307,18562680,258,LINSTU_258,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562681,259,LINSTU_259,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562682,260,LINSTU_260,-,-,-,-,PurA,protein-coding,-,-,-,PurA,20210424,-
1074307,18562683,261,LINSTU_261,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562684,262,LINSTU_262,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562686,6,LINSTU_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562687,86,LINSTU_86,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562688,85,LINSTU_85,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562689,154,LINSTU_154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562690,178,LINSTU_178,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562691,34,LINSTU_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562692,46,LINSTU_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562693,232,LINSTU_232,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562694,186,LINSTU_186,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20210129,-
1074307,18562695,155,LINSTU_155,-,-,-,-,peptidyl-tRNA hydrolase domain protein,protein-coding,-,-,-,peptidyl-tRNA hydrolase domain protein,20200912,-
1074307,18562696,181,LINSTU_181,-,-,-,-,miscRNA,miscRNA,-,-,-,-,20200909,-
1074307,18562697,1,LINSTU_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562698,2,LINSTU_2,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18669555,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage LinStu).,other,-,-,-,-,20200513,-
