#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
756278,54972864,HOQ82_gp001,HOQ82_gp001,RW220300_001,-,-,-,DNA helicase loader,protein-coding,-,-,-,DNA helicase loader,20210116,-
756278,54973047,HOQ82_gp062,HOQ82_gp062,RW220300_184,-,-,-,cytidylyltransferase,protein-coding,-,-,-,cytidylyltransferase,20210116,-
756278,54973048,HOQ82_gp061,HOQ82_gp061,RW220300_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973049,HOQ82_gp060,HOQ82_gp060,RW220300_186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973050,HOQ82_gp059,HOQ82_gp059,RW220300_187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54973051,HOQ82_gp058,HOQ82_gp058,RW220300_188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973052,HOQ82_gp057,HOQ82_gp057,RW220300_189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54973053,HOQ82_gp056,HOQ82_gp056,RW220300_190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973054,HOQ82_gp055,HOQ82_gp055,RW220300_191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973055,HOQ82_gp054,HOQ82_gp054,RW220300_192,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210116,-
756278,54973056,HOQ82_gp053,HOQ82_gp053,RW220300_193,-,-,-,ribonucleotide reductase subunit A,protein-coding,-,-,-,ribonucleotide reductase subunit A,20210116,-
756278,54973057,HOQ82_gp052,HOQ82_gp052,RW220300_194,-,-,-,ribonucleotide reductase subunit B,protein-coding,-,-,-,ribonucleotide reductase subunit B,20210116,-
756278,54973058,HOQ82_gp051,HOQ82_gp051,RW220300_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973059,HOQ82_gp050,HOQ82_gp050,RW220300_196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973060,HOQ82_gp049,HOQ82_gp049,RW220300_197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973061,HOQ82_gp048,HOQ82_gp048,RW220300_198,-,-,-,transaldolase,protein-coding,-,-,-,transaldolase,20210116,-
756278,54973062,HOQ82_gp047,HOQ82_gp047,RW220300_199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973063,HOQ82_gp046,HOQ82_gp046,RW220300_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973064,HOQ82_gp045,HOQ82_gp045,RW220300_201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54973065,HOQ82_gp044,HOQ82_gp044,RW220300_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973066,HOQ82_gt007,HOQ82_gt007,RW220300_203,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
756278,54973067,HOQ82_gp043,HOQ82_gp043,RW220300_204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54973068,HOQ82_gp042,HOQ82_gp042,RW220300_205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973069,HOQ82_gp041,HOQ82_gp041,RW220300_206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973070,HOQ82_gt008,HOQ82_gt008,RW220300_207,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
756278,54973071,HOQ82_gp040,HOQ82_gp040,RW220300_208,-,-,-,high-light inducible protein,protein-coding,-,-,-,high-light inducible protein,20210116,-
756278,54973072,HOQ82_gp039,HOQ82_gp039,RW220300_209,-,-,-,high-light inducible protein,protein-coding,-,-,-,high-light inducible protein,20210116,-
756278,54973073,HOQ82_gp038,HOQ82_gp038,RW220300_210,-,-,-,ferredoxin,protein-coding,-,-,-,ferredoxin,20210116,-
756278,54973074,HOQ82_gp037,HOQ82_gp037,RW220300_211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973075,HOQ82_gp036,HOQ82_gp036,RW220300_212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54973076,HOQ82_gp035,HOQ82_gp035,RW220300_213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973077,HOQ82_gp034,HOQ82_gp034,RW220300_214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54973078,HOQ82_gp033,HOQ82_gp033,RW220300_215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973079,HOQ82_gp032,HOQ82_gp032,RW220300_216,-,-,-,photosystem II protein D1,protein-coding,-,-,-,photosystem II protein D1,20210116,-
756278,54973080,HOQ82_gp031,HOQ82_gp031,RW220300_217,-,-,-,photosystem II protein D2,protein-coding,-,-,-,photosystem II protein D2,20210116,-
756278,54973081,HOQ82_gp030,HOQ82_gp030,RW220300_218,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54973082,HOQ82_gp029,HOQ82_gp029,RW220300_219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973083,HOQ82_gp028,HOQ82_gp028,RW220300_220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973084,HOQ82_gp027,HOQ82_gp027,RW220300_221,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973085,HOQ82_gp026,HOQ82_gp026,RW220300_222,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210116,-
756278,54973086,HOQ82_gp025,HOQ82_gp025,RW220300_223,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54973087,HOQ82_gp024,HOQ82_gp024,RW220300_224,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973088,HOQ82_gp023,HOQ82_gp023,RW220300_225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973089,HOQ82_gp022,HOQ82_gp022,RW220300_226,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973090,HOQ82_gp021,HOQ82_gp021,RW220300_227,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210116,-
756278,54973091,HOQ82_gp020,HOQ82_gp020,RW220300_228,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973092,HOQ82_gp019,HOQ82_gp019,RW220300_229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973093,HOQ82_gp018,HOQ82_gp018,RW220300_230,-,-,-,phosphate-starvation inducible protein,protein-coding,-,-,-,phosphate-starvation inducible protein,20210116,-
756278,54973094,HOQ82_gp017,HOQ82_gp017,RW220300_231,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54973095,HOQ82_gp016,HOQ82_gp016,RW220300_232,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210116,-
756278,55087367,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Cyanophage S-RIM8).,other,-,-,-,-,20200629,-
