#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1094892,11256656,mg519,MegaChil _gp0519,-,-,-,-,putative DNA-directed RNA polymerase subunit,protein-coding,-,-,-,putative DNA-directed RNA polymerase subunit,20200629,-
1094892,11256851,mg208,MegaChil _gp0208,-,-,-,-,putative AAA family ATPase,protein-coding,-,-,-,putative AAA family ATPase,20200629,-
1094892,11256852,mg603,MegaChil _gp0603,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256853,mg781,MegaChil _gp0781,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256854,mg75,MegaChil _gp0075,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256855,mg673,MegaChil _gp0673,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256856,mg466,MegaChil _gp0466,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256857,mg569,MegaChil _gp0569,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256858,mg709,MegaChil _gp0709,-,-,-,-,putative prolyl 4-hydroxylase,protein-coding,-,-,-,putative prolyl 4-hydroxylase,20200629,-
1094892,11256859,mg1001,MegaChil _gp1001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256860,mg303,MegaChil _gp0303,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256861,mg1116,MegaChil _gp1116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256862,mg1004,MegaChil _gp1004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256863,mg290,MegaChil _gp0290,-,-,-,-,putative glycosyltransferase,protein-coding,-,-,-,putative glycosyltransferase,20200629,-
1094892,11256864,mg427,MegaChil _gp0427,-,-,-,-,putative ubiquitin-conjugating enzyme E2,protein-coding,-,-,-,putative ubiquitin-conjugating enzyme E2,20200629,-
1094892,11256865,mg765,MegaChil _gp0765,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11256866,mg864,MegaChil _gp0864,-,-,-,-,putative serine/threonine-protein kinase/receptor,protein-coding,-,-,-,putative serine/threonine-protein kinase/receptor,20200629,-
1094892,11256867,mg898,MegaChil _gp0898,-,-,-,-,putative KilA-N domain-containing protein,protein-coding,-,-,-,putative KilA-N domain-containing protein,20200629,-
1094892,11256868,mg841,MegaChil _gp0841,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256869,mg209,MegaChil _gp0209,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20200629,-
1094892,11256870,mg712,MegaChil _gp0712,-,-,-,-,methyltransferase FKBM family,protein-coding,-,-,-,methyltransferase FKBM family,20200629,-
1094892,11256871,mg758,MegaChil _gp0758,-,-,-,-,putative transmembrane protein,protein-coding,-,-,-,putative transmembrane protein,20200629,-
1094892,11256872,mg362,MegaChil _gp0362,-,-,-,-,putative glycosyltransferase,protein-coding,-,-,-,putative glycosyltransferase,20200629,-
1094892,11256873,mg448,MegaChil _gp0448,-,-,-,-,putative capsid protein 4,protein-coding,-,-,-,putative capsid protein 4,20200629,-
1094892,11256874,mg525,MegaChil _gp0525,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256875,mg973,MegaChil _gp0973,-,-,-,-,putative Fe2Og oxygenase family oxidoreductase,protein-coding,-,-,-,putative Fe2Og oxygenase family oxidoreductase,20200629,-
1094892,11256876,mg528,MegaChil _gp0528,-,-,-,-,putative FAD-linked sulfhydryl oxidase,protein-coding,-,-,-,putative FAD-linked sulfhydryl oxidase,20200629,-
1094892,11256877,mg900,MegaChil _gp0900,-,-,-,-,putative histone demethylase,protein-coding,-,-,-,putative histone demethylase,20200629,-
1094892,11256878,mg853,MegaChil _gp0853,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256879,mg541,MegaChil _gp0541,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256880,mg584,MegaChil _gp0584,-,-,-,-,putative methyltransferase,protein-coding,-,-,-,putative methyltransferase,20200629,-
1094892,11256881,mg772,MegaChil _gp0772,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256882,mg987,MegaChil _gp0987,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256883,mg955,MegaChil _gp0955,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256884,mg13,MegaChil _gp0013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256885,mg494,MegaChil _gp0494,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256886,mg967,MegaChil _gp0967,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20200629,-
1094892,11256887,mg716,MegaChil _gp0716,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256888,mg1036,MegaChil _gp1036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256889,mg652,MegaChil _gp0652,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256890,mg1047,MegaChil _gp1047,-,-,-,-,putative Sel1-like repeat-containing protein,protein-coding,-,-,-,putative Sel1-like repeat-containing protein,20200629,-
1094892,11256891,mg858,MegaChil _gp0858,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256892,mg583,MegaChil _gp0583,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256893,mg633,MegaChil _gp0633,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256894,mg570,MegaChil _gp0570,-,-,-,-,putative zinc finger MynD domain-containing protein,protein-coding,-,-,-,putative zinc finger MynD domain-containing protein,20200629,-
1094892,11256895,mg635,MegaChil _gp0635,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256896,mg467,MegaChil _gp0467,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256897,mg63,MegaChil _gp0063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256898,mg479,MegaChil _gp0479,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256899,mg257,MegaChil _gp0257,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256900,mg1074,MegaChil _gp1074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256901,mg110,MegaChil _gp0110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256902,mg48,MegaChil _gp0048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256903,mg655,MegaChil _gp0655,-,-,-,-,putative ATP-dependent RNA helicase,protein-coding,-,-,-,putative ATP-dependent RNA helicase,20200629,-
1094892,11256904,mg82,MegaChil _gp0082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256905,mg675,MegaChil _gp0675,-,-,-,-,putative hydrolase,protein-coding,-,-,-,putative hydrolase,20200629,-
1094892,11256906,mg1072,MegaChil _gp1072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256907,mg718,MegaChil _gp0718,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256908,mg512,MegaChil _gp0512,-,-,-,-,putative mRNA capping enzyme,protein-coding,-,-,-,putative mRNA capping enzyme,20200629,-
1094892,11256909,mg757,MegaChil _gp0757,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256910,mg822,MegaChil _gp0822,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11256911,mg18,MegaChil _gp0018,-,-,-,-,poly(A) polymerase small subunit,protein-coding,-,-,-,poly(A) polymerase small subunit,20200629,-
1094892,11256912,mg794,MegaChil _gp0794,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256913,mg1073,MegaChil _gp1073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256914,mg205,MegaChil _gp0205,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11256915,mg1022,MegaChil _gp1022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256916,mg464,MegaChil _gp0464,-,-,-,-,capsid protein 1,protein-coding,-,-,-,capsid protein 1,20200629,-
1094892,11256917,mg237,MegaChil _gp0237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256918,mg214,MegaChil _gp0214,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256919,mg352,MegaChil _gp0352,-,-,-,-,heat shock protein 70-like protein,protein-coding,-,-,-,heat shock protein 70-like protein,20200629,-
1094892,11256920,mg1007,MegaChil _gp1007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256921,mg177,MegaChil _gp0177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256922,mg575,MegaChil _gp0575,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256923,mg823,MegaChil _gp0823,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256924,mg142,MegaChil _gp0142,-,-,-,-,putative acetyltransferase,protein-coding,-,-,-,putative acetyltransferase,20200629,-
1094892,11256925,mg250,MegaChil _gp0250,-,-,-,-,putative procollagen-lysine 2-oxoglutarate dioxygenase,protein-coding,-,-,-,putative procollagen-lysine 2-oxoglutarate dioxygenase,20200629,-
1094892,11256926,mg422,MegaChil _gp0422,-,-,-,-,protein translation factor sui1-like protein,protein-coding,-,-,-,protein translation factor sui1-like protein,20200629,-
1094892,11256927,mg203,MegaChil _gp0203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256928,mg1026,MegaChil _gp1026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256929,mg692,MegaChil _gp0692,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256930,mg779,MegaChil _gp0779,-,-,-,-,putative deoxyribodipyrimidine photolyase-related protein,protein-coding,-,-,-,putative deoxyribodipyrimidine photolyase-related protein,20200629,-
1094892,11256931,mg230,MegaChil _gp0230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256932,mg954,MegaChil _gp0954,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256933,mg795,MegaChil _gp0795,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256934,mg986,MegaChil _gp0986,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256935,mg653,MegaChil _gp0653,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256936,mg87,MegaChil _gp0087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256937,mg104,MegaChil _gp0104,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256938,mg951,MegaChil _gp0951,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256939,mg982,MegaChil _gp0982,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256940,mg181,MegaChil _gp0181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256941,mg367,MegaChil _gp0367,-,-,-,-,putative swib domain-containing protein,protein-coding,-,-,-,putative swib domain-containing protein,20200629,-
1094892,11256942,mg590,MegaChil _gp0590,-,-,-,-,putative glucosamine 6-phosphate n-acetyltransferase,protein-coding,-,-,-,putative glucosamine 6-phosphate n-acetyltransferase,20200629,-
1094892,11256943,mg763,MegaChil _gp0763,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11256944,mg218,MegaChil _gp0218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256945,mg668,MegaChil _gp0668,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256946,mg270,MegaChil _gp0270,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256947,mg282,MegaChil _gp0282,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256948,mg851,MegaChil _gp0851,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256949,mg109,MegaChil _gp0109,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20200629,-
1094892,11256950,mg915,MegaChil _gp0915,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256951,mg895,MegaChil _gp0895,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256952,mg683,MegaChil _gp0683,-,-,-,-,putative ATP-dependent RNA helicase,protein-coding,-,-,-,putative ATP-dependent RNA helicase,20200629,-
1094892,11256953,mg1091,MegaChil _gp1091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256954,mg304,MegaChil _gp0304,-,-,-,-,putative serine/threonine-protein kinase,protein-coding,-,-,-,putative serine/threonine-protein kinase,20200629,-
1094892,11256955,mg480,MegaChil _gp0480,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256956,mg920,MegaChil _gp0920,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11256957,mg440,MegaChil _gp0440,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256958,mg169,MegaChil _gp0169,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256959,mg600,MegaChil _gp0600,-,-,-,-,putative mRNA capping enzyme,protein-coding,-,-,-,putative mRNA capping enzyme,20200629,-
1094892,11256960,mg349,MegaChil _gp0349,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256961,mg762,MegaChil _gp0762,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256962,mg118,MegaChil _gp0118,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11256963,mg116,MegaChil _gp0116,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11256964,mg639,MegaChil _gp0639,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20200629,-
1094892,11256965,mg286,MegaChil _gp0286,-,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20200629,-
1094892,11256966,mg46,MegaChil _gp0046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256967,mg92,MegaChil _gp0092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256968,mg419,MegaChil _gp0419,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256969,mg990,MegaChil _gp0990,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256970,mg241,MegaChil _gp0241,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256971,mg1031,MegaChil _gp1031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256972,mg420,MegaChil _gp0420,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256973,mg430,MegaChil _gp0430,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256974,mg877,MegaChil _gp0877,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256975,mg3,MegaChil _gp0003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256976,mg739,MegaChil _gp0739,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11256977,mg329,MegaChil _gp0329,-,-,-,-,putative serine/threonine-protein kinase,protein-coding,-,-,-,putative serine/threonine-protein kinase,20200629,-
1094892,11256978,mg1069,MegaChil _gp1069,-,-,-,-,putative Sel1-like repeat-containing protein,protein-coding,-,-,-,putative Sel1-like repeat-containing protein,20200629,-
1094892,11256979,mg102,MegaChil _gp0102,-,-,-,-,putative AAA-type ATPase,protein-coding,-,-,-,putative AAA-type ATPase,20200629,-
1094892,11256980,mg945,MegaChil _gp0945,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256981,mg980,MegaChil _gp0980,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256982,mg436,MegaChil _gp0436,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256983,mg927,MegaChil _gp0927,-,-,-,-,putative purine phosphorylase,protein-coding,-,-,-,putative purine phosphorylase,20200629,-
1094892,11256984,mg631,MegaChil _gp0631,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11256985,mg741,MegaChil _gp0741,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256986,mg1046,MegaChil _gp1046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256987,mg438,MegaChil _gp0438,-,-,-,-,putative viral transcription factor,protein-coding,-,-,-,putative viral transcription factor,20200629,-
1094892,11256988,mg893,MegaChil _gp0893,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256989,mg150,MegaChil _gp0150,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256990,mg578,MegaChil _gp0578,-,-,-,-,putative metallopeptidase WLM domain protein,protein-coding,-,-,-,putative metallopeptidase WLM domain protein,20200629,-
1094892,11256991,mg155,MegaChil _gp0155,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256992,mg780,MegaChil _gp0780,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256993,mg1094,MegaChil _gp1094,-,-,-,-,adenylosuccinate synthetase,protein-coding,-,-,-,adenylosuccinate synthetase,20200629,-
1094892,11256994,mg491,MegaChil _gp0491,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256995,mg1066,MegaChil _gp1066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256996,mg339,MegaChil _gp0339,-,-,-,-,intein-containing DNA-directed RNA polymerase subunit 2,protein-coding,-,-,-,intein-containing DNA-directed RNA polymerase subunit 2,20200629,-
1094892,11256997,mg708,MegaChil _gp0708,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20200629,-
1094892,11256998,mg1009,MegaChil _gp1009,-,-,-,-,putative serine/threonine-protein kinase/receptor,protein-coding,-,-,-,putative serine/threonine-protein kinase/receptor,20200629,-
1094892,11256999,mg143,MegaChil _gp0143,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257000,mg801,MegaChil _gp0801,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257001,mg442,MegaChil _gp0442,-,-,-,-,putative patatin-like phospholipase,protein-coding,-,-,-,putative patatin-like phospholipase,20200629,-
1094892,11257002,mg950,MegaChil _gp0950,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257003,mg1107,MegaChil _gp1107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257004,mg379,MegaChil _gp0379,-,-,-,-,putative zinc-type alcohol dehydrogenase-like protein,protein-coding,-,-,-,putative zinc-type alcohol dehydrogenase-like protein,20200629,-
1094892,11257005,mg537,MegaChil _gp0537,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257006,mg935,MegaChil _gp0935,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257007,mg1067,MegaChil _gp1067,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20200629,-
1094892,11257008,mg395,MegaChil _gp0395,-,-,-,-,putative pan domain-containing protein,protein-coding,-,-,-,putative pan domain-containing protein,20200629,-
1094892,11257009,mg17,MegaChil _gp0017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257010,mg595,MegaChil _gp0595,-,-,-,-,putative ring finger protein,protein-coding,-,-,-,putative ring finger protein,20200629,-
1094892,11257011,mg408,MegaChil _gp0408,-,-,-,-,putative AAA family ATPase,protein-coding,-,-,-,putative AAA family ATPase,20200629,-
1094892,11257012,mg50,MegaChil _gp0050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257013,mg627,MegaChil _gp0627,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257014,mg73,MegaChil _gp0073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257015,mg318,MegaChil _gp0318,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257016,mg323,MegaChil _gp0323,-,-,-,-,DNA topoisomerase 1,protein-coding,-,-,-,DNA topoisomerase 1,20200629,-
1094892,11257017,mg975,MegaChil _gp0975,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20200629,-
1094892,11257018,mg291,MegaChil _gp0291,-,-,-,-,glutathione S-transferase N-terminal domain-containing protein,protein-coding,-,-,-,glutathione S-transferase N-terminal domain-containing protein,20201220,-
1094892,11257019,mg134,MegaChil _gp0134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257020,mg83,MegaChil _gp0083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257021,mg99,MegaChil _gp0099,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257022,mg830,MegaChil _gp0830,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257023,mg56,MegaChil _gp0056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257024,mg618,MegaChil _gp0618,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257025,mg568,MegaChil _gp0568,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257026,mg1084,MegaChil _gp1084,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257027,mg399,MegaChil _gp0399,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257028,mg687,MegaChil _gp0687,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257029,mg215,MegaChil _gp0215,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257030,mg187,MegaChil _gp0187,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257031,mg567,MegaChil _gp0567,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257032,mg221,MegaChil _gp0221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257033,mg161,MegaChil _gp0161,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20200629,-
1094892,11257034,mg612,MegaChil _gp0612,-,-,-,-,kinesin-like protein,protein-coding,-,-,-,kinesin-like protein,20200629,-
1094892,11257035,mg47,MegaChil _gp0047,-,-,-,-,surface antigen ariel1,protein-coding,-,-,-,surface antigen ariel1,20200629,-
1094892,11257036,mg373,MegaChil _gp0373,-,-,-,-,DNA-directed RNA polymerase subunit 1,protein-coding,-,-,-,DNA-directed RNA polymerase subunit 1,20200629,-
1094892,11257037,mg80,MegaChil _gp0080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257038,mg775,MegaChil _gp0775,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257039,mg315,MegaChil _gp0315,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257040,mg252,MegaChil _gp0252,-,-,-,-,putative protein kinase-like protein,protein-coding,-,-,-,putative protein kinase-like protein,20200629,-
1094892,11257041,mg253,MegaChil _gp0253,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257042,mg938,MegaChil _gp0938,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257043,mg553,MegaChil _gp0553,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
