#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1527513,23678702,2,VC71_gp002,PBI_MINERVA_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1527513,23678895,195,VC71_gp228,PBI_MINERVA_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678896,196,VC71_gp227,PBI_MINERVA_196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1527513,23678897,197,VC71_gp226,PBI_MINERVA_197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678898,198,VC71_gp225,PBI_MINERVA_198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678899,199,VC71_gp224,PBI_MINERVA_199,-,-,-,FtsK-like DNA translocase,protein-coding,-,-,-,FtsK-like DNA translocase,20200927,-
1527513,23678900,200,VC71_gp223,PBI_MINERVA_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678901,201,VC71_gp222,PBI_MINERVA_201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678902,202,VC71_gp221,PBI_MINERVA_202,-,-,-,Ku-like dsDNA break-binding protein,protein-coding,-,-,-,Ku-like dsDNA break-binding protein,20200927,-
1527513,23678903,203,VC71_gp220,PBI_MINERVA_203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678904,204,VC71_gp219,PBI_MINERVA_204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678905,205,VC71_gp218,PBI_MINERVA_205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678906,206,VC71_gp217,PBI_MINERVA_206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678907,207,VC71_gp216,PBI_MINERVA_207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678908,208,VC71_gp215,PBI_MINERVA_208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678909,209,VC71_gp214,PBI_MINERVA_209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678910,210,VC71_gp213,PBI_MINERVA_210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678911,211,VC71_gp212,PBI_MINERVA_211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678912,212,VC71_gp211,PBI_MINERVA_212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678913,213,VC71_gp210,PBI_MINERVA_213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678914,214,VC71_gp209,PBI_MINERVA_214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678915,215,VC71_gp208,PBI_MINERVA_215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678916,216,VC71_gp207,PBI_MINERVA_216,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678917,217,VC71_gp206,PBI_MINERVA_217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678918,218,VC71_gp205,PBI_MINERVA_218,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678919,219,VC71_gp204,PBI_MINERVA_219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678920,220,VC71_gp203,PBI_MINERVA_220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678921,221,VC71_gp202,PBI_MINERVA_221,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678922,222,VC71_gp201,PBI_MINERVA_222,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678923,223,VC71_gp200,PBI_MINERVA_223,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678924,224,VC71_gp199,PBI_MINERVA_224,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678925,225,VC71_gp198,PBI_MINERVA_225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678926,226,VC71_gp197,PBI_MINERVA_226,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678927,227,VC71_gp196,PBI_MINERVA_227,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678928,228,VC71_gp195,PBI_MINERVA_228,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678929,229,VC71_gp194,PBI_MINERVA_229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678930,230,VC71_gp193,PBI_MINERVA_230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678931,231,VC71_gp192,PBI_MINERVA_231,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678932,232,VC71_gp191,PBI_MINERVA_232,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678933,233,VC71_gp190,PBI_MINERVA_233,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678934,234,VC71_gp189,PBI_MINERVA_234,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678935,235,VC71_gp188,PBI_MINERVA_235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678936,236,VC71_gp187,PBI_MINERVA_236,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678937,237,VC71_gp186,PBI_MINERVA_237,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678938,238,VC71_gp185,PBI_MINERVA_238,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678939,239,VC71_gp184,PBI_MINERVA_239,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678940,1,VC71_gp001,PBI_MINERVA_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1527513,23711119,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
