#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713304,55818628,HYQ38_gp002,HYQ38_gp002,maane_2,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210129,-
2713304,55818806,HYQ38_gp180,HYQ38_gp180,maane_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713304,55818807,HYQ38_gp181,HYQ38_gp181,maane_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713304,55818808,HYQ38_gp182,HYQ38_gp182,maane_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2713304,55818809,HYQ38_gp183,HYQ38_gp183,maane_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713304,55818810,HYQ38_gp184,HYQ38_gp184,maane_184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713304,55818811,HYQ38_gp185,HYQ38_gp185,maane_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713304,55818812,HYQ38_gp186,HYQ38_gp186,maane_186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
2713304,55818813,HYQ38_gp187,HYQ38_gp187,maane_187,-,-,-,SegD-like protein,protein-coding,-,-,-,SegD-like protein,20210129,-
2713304,55818814,HYQ38_gp188,HYQ38_gp188,maane_188,-,-,-,putative thioredoxin,protein-coding,-,-,-,putative thioredoxin,20200910,-
2713304,55818815,HYQ38_gp189,HYQ38_gp189,maane_189,-,-,-,putative 5'(3') deoxyribonucleotidase,protein-coding,-,-,-,putative 5'(3') deoxyribonucleotidase,20210129,-
2713304,55818816,HYQ38_gp190,HYQ38_gp190,maane_190,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20200910,-
2713304,55818817,HYQ38_gp191,HYQ38_gp191,maane_191,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210306,-
2713304,55818818,HYQ38_gp192,HYQ38_gp192,maane_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713304,55818819,HYQ38_gp193,HYQ38_gp193,maane_193,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210306,-
2713304,55818820,HYQ38_gp194,HYQ38_gp194,maane_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713304,55818821,HYQ38_gp195,HYQ38_gp195,maane_195,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210306,-
2713304,55818822,HYQ38_gp196,HYQ38_gp196,maane_196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713304,55818823,HYQ38_gp197,HYQ38_gp197,maane_197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713304,55818824,HYQ38_gp198,HYQ38_gp198,maane_198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713304,55818825,HYQ38_gp199,HYQ38_gp199,maane_199,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713304,55818826,HYQ38_gp200,HYQ38_gp200,maane_200,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210123,-
2713304,55818827,HYQ38_gp201,HYQ38_gp201,maane_201,-,-,-,putative threonine ammonia lyase,protein-coding,-,-,-,putative threonine ammonia lyase,20210129,-
2713304,55818828,HYQ38_gp202,HYQ38_gp202,maane_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713304,55818829,HYQ38_gp203,HYQ38_gp203,maane_203,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713304,55818830,HYQ38_gp204,HYQ38_gp204,maane_204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713304,55818831,HYQ38_gt001,HYQ38_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2713304,55818832,HYQ38_gt002,HYQ38_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2713304,55818833,HYQ38_gt003,HYQ38_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2713304,55818834,HYQ38_gt004,HYQ38_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2713304,55818835,HYQ38_gp001,HYQ38_gp001,maane_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713304,55863692,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200909,-
