#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
256729,2943445,LDVICp043,LDVICp043,LDVICgp3,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210212,-
256729,2979149,LDVICp014,LDVICp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979150,LDVICp119,LDVICp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979151,LDVICp186,LDVICp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
256729,2979152,LDVICp002,LDVICp002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
256729,2979153,LDVICp094,LDVICp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979154,LDVICp192,LDVICp192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979155,LDVICp193,LDVICp193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979156,LDVICp187,LDVICp187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979157,LDVICp021,LDVICp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979158,LDVICp058,LDVICp058,-,-,-,-,7 transmembrane receptor,protein-coding,-,-,-,7 transmembrane receptor,20210320,-
256729,2979159,LDVICp064,LDVICp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979160,LDVICp025,LDVICp025,-,-,-,-,RNA polymerase beta subunit,protein-coding,-,-,-,RNA polymerase beta subunit,20210320,-
256729,2979161,LDVICp008,LDVICp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979162,LDVICp037,LDVICp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979163,LDVICp137,LDVICp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979164,LDVICp188,LDVICp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979165,LDVICp096,LDVICp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979166,LDVICp181,LDVICp181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979167,LDVICp056,LDVICp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979168,LDVICp194,LDVICp194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979169,LDVICp046,LDVICp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979170,LDVICp184,LDVICp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979171,LDVICp048,LDVICp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979172,LDVICp095,LDVICp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
256729,2979173,LDVICp121,LDVICp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979174,LDVICp039,LDVICp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
256729,2979175,LDVICp059,LDVICp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979176,LDVICp208,LDVICp208,-,-,-,-,cell division protein 48,protein-coding,-,-,-,cell division protein 48,20210320,-
256729,3293581,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
