#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1880822,40103140,FDG72_gp001,FDG72_gp001,-,-,-,-,Phage lysis inhibitor T4-like rIIA-rIIB membrane associated T4 GC1698,protein-coding,-,-,-,Phage lysis inhibitor T4-like rIIA-rIIB membrane associated T4 GC1698,20200910,-
1880822,40103327,FDG72_gp169,FDG72_gp169,-,-,-,-,"T4-like phage protein, T4 GC1584",protein-coding,-,-,-,"T4-like phage protein, T4 GC1584",20200910,-
1880822,40103328,FDG72_gp168,FDG72_gp168,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103329,FDG72_gp167,FDG72_gp167,-,-,-,-,Deoxynucleotide monophosphate kinase #T4-like phage gp1 #T4 GC1586,protein-coding,-,-,-,Deoxynucleotide monophosphate kinase #T4-like phage gp1 #T4 GC1586,20200910,-
1880822,40103330,FDG72_gp166,FDG72_gp166,-,-,-,-,Phage tail completion protein,protein-coding,-,-,-,Phage tail completion protein,20200910,-
1880822,40103331,FDG72_gp165,FDG72_gp165,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103332,FDG72_gp164,FDG72_gp164,-,-,-,-,Phage DNA end protector during packaging,protein-coding,-,-,-,Phage DNA end protector during packaging,20200910,-
1880822,40103333,FDG72_gp163,FDG72_gp163,-,-,-,-,Phage head completion protein,protein-coding,-,-,-,Phage head completion protein,20200910,-
1880822,40103334,FDG72_gp162,FDG72_gp162,-,-,-,-,Phage baseplate wedge subunit #T4-like gp53,protein-coding,-,-,-,Phage baseplate wedge subunit #T4-like gp53,20200910,-
1880822,40103335,FDG72_gp161,FDG72_gp161,-,-,-,-,Phage baseplate hub,protein-coding,-,-,-,Phage baseplate hub,20200910,-
1880822,40103336,FDG72_gp160,FDG72_gp160,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103337,FDG72_gp159,FDG72_gp159,-,-,-,-,Phage baseplate wedge subunit (T4-like gp6),protein-coding,-,-,-,Phage baseplate wedge subunit (T4-like gp6),20200910,-
1880822,40103338,FDG72_gp158,FDG72_gp158,-,-,-,-,Phage baseplate wedge subunit #T4-like gp7,protein-coding,-,-,-,Phage baseplate wedge subunit #T4-like gp7,20200910,-
1880822,40103339,FDG72_gp157,FDG72_gp157,-,-,-,-,Phage baseplate wedge subunit (T4-like gp8),protein-coding,-,-,-,Phage baseplate wedge subunit (T4-like gp8),20200910,-
1880822,40103340,FDG72_gp156,FDG72_gp156,-,-,-,-,Phage baseplate wedge tail fiber connector (T4-like gp9),protein-coding,-,-,-,Phage baseplate wedge tail fiber connector (T4-like gp9),20200910,-
1880822,40103341,FDG72_gp155,FDG72_gp155,-,-,-,-,Phage baseplate wedge subunit and tail pin (T4-like gp10),protein-coding,-,-,-,Phage baseplate wedge subunit and tail pin (T4-like gp10),20200910,-
1880822,40103342,FDG72_gp154,FDG72_gp154,-,-,-,-,Phage baseplate wedge subunit and tail pin (T4-like gp11) # T4 GC 1597,protein-coding,-,-,-,Phage baseplate wedge subunit and tail pin (T4-like gp11) # T4 GC 1597,20200910,-
1880822,40103343,FDG72_gp153,FDG72_gp153,-,-,-,-,Phage tail fibers,protein-coding,-,-,-,Phage tail fibers,20210417,-
1880822,40103344,FDG72_gp152,FDG72_gp152,-,-,-,-,Phage neck whiskers,protein-coding,-,-,-,Phage neck whiskers,20200910,-
1880822,40103345,FDG72_gp151,FDG72_gp151,-,-,-,-,"T4-like phage head completion, neck hetero-dimeric protein (T4-like gp13)",protein-coding,-,-,-,"T4-like phage head completion, neck hetero-dimeric protein (T4-like gp13)",20200910,-
1880822,40103346,FDG72_gp150,FDG72_gp150,-,-,-,-,"T4-like phage head completion, neck hetero-dimeric protein (T4-like gp14)",protein-coding,-,-,-,"T4-like phage head completion, neck hetero-dimeric protein (T4-like gp14)",20200910,-
1880822,40103347,FDG72_gp149,FDG72_gp149,-,-,-,-,Proximal tail sheath stabilization protein,protein-coding,-,-,-,Proximal tail sheath stabilization protein,20200910,-
1880822,40103348,FDG72_gp148,FDG72_gp148,-,-,-,-,"Phage terminase, small subunit",protein-coding,-,-,-,"Phage terminase, small subunit",20200910,-
1880822,40103349,FDG72_gp147,FDG72_gp147,-,-,-,-,"Phage terminase, large subunit",protein-coding,-,-,-,"Phage terminase, large subunit",20200910,-
1880822,40103350,FDG72_gp146,FDG72_gp146,-,-,-,-,Phage tail sheath monomer,protein-coding,-,-,-,Phage tail sheath monomer,20200910,-
1880822,40103351,FDG72_gp145,FDG72_gp145,-,-,-,-,Phage tail fibers,protein-coding,-,-,-,Phage tail fibers,20200910,-
1880822,40103352,FDG72_gp144,FDG72_gp144,-,-,-,-,Phage portal vertex of the head,protein-coding,-,-,-,Phage portal vertex of the head,20200910,-
1880822,40103353,FDG72_gp143,FDG72_gp143,-,-,-,-,Phage prohead core protein,protein-coding,-,-,-,Phage prohead core protein,20200910,-
1880822,40103354,FDG72_gp142,FDG72_gp142,-,-,-,-,Phage capsid and scaffold,protein-coding,-,-,-,Phage capsid and scaffold,20200910,-
1880822,40103355,FDG72_gp141,FDG72_gp141,-,-,-,-,Phage prohead assembly (scaffolding) protein,protein-coding,-,-,-,Phage prohead assembly (scaffolding) protein,20200910,-
1880822,40103356,FDG72_gp140,FDG72_gp140,-,-,-,-,Phage prohead assembly (scaffolding) protein,protein-coding,-,-,-,Phage prohead assembly (scaffolding) protein,20200910,-
1880822,40103357,FDG72_gp139,FDG72_gp139,-,-,-,-,Phage major capsid protein,protein-coding,-,-,-,Phage major capsid protein,20200910,-
1880822,40103358,FDG72_gp138,FDG72_gp138,-,-,-,-,Phage capsid vertex,protein-coding,-,-,-,Phage capsid vertex,20200910,-
1880822,40103359,FDG72_gp137,FDG72_gp137,-,-,-,-,"Single stranded DNA-binding protein, phage-associated",protein-coding,-,-,-,"Single stranded DNA-binding protein, phage-associated",20200910,-
1880822,40103360,FDG72_gp136,FDG72_gp136,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103361,FDG72_gp135,FDG72_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103362,FDG72_gp134,FDG72_gp134,-,-,-,-,"DNA helicase, phage-associated",protein-coding,-,-,-,"DNA helicase, phage-associated",20200910,-
1880822,40103363,FDG72_gp133,FDG72_gp133,-,-,-,-,"DNA helicase, phage-associated",protein-coding,-,-,-,"DNA helicase, phage-associated",20200910,-
1880822,40103364,FDG72_gp132,FDG72_gp132,-,-,-,-,Protein inh,protein-coding,-,-,-,Protein inh,20200910,-
1880822,40103365,FDG72_gp131,FDG72_gp131,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103366,FDG72_gp130,FDG72_gp130,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20210406,-
1880822,40103367,FDG72_gp129,FDG72_gp129,-,-,-,-,Phage tail fibers,protein-coding,-,-,-,Phage tail fibers,20200910,-
1880822,40103368,FDG72_gp128,FDG72_gp128,-,-,-,-,Phage capsid and scaffold,protein-coding,-,-,-,Phage capsid and scaffold,20200910,-
1880822,40103369,FDG72_gp127,FDG72_gp127,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103370,FDG72_gp126,FDG72_gp126,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20210123,-
1880822,40103371,FDG72_gp125,FDG72_gp125,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103372,FDG72_gp124,FDG72_gp124,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103373,FDG72_gp123,FDG72_gp123,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103374,FDG72_gp122,FDG72_gp122,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103375,FDG72_gp121,FDG72_gp121,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103376,FDG72_gp120,FDG72_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103377,FDG72_gp119,FDG72_gp119,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103378,FDG72_gp118,FDG72_gp118,-,-,-,-,Srd postulated decoy of host sigma70 or sigmaS,protein-coding,-,-,-,Srd postulated decoy of host sigma70 or sigmaS,20200910,-
1880822,40103379,FDG72_gp117,FDG72_gp117,-,-,-,-,"RNA ligase, phage-associated",protein-coding,-,-,-,"RNA ligase, phage-associated",20200910,-
1880822,40103380,FDG72_gp116,FDG72_gp116,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103381,FDG72_gp115,FDG72_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103382,FDG72_gp114,FDG72_gp114,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103383,FDG72_gp113,FDG72_gp113,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103384,FDG72_gp112,FDG72_gp112,-,-,-,-,Nicotinamide phosphoribosyltransferase,protein-coding,-,-,-,Nicotinamide phosphoribosyltransferase,20200910,-
1880822,40103385,FDG72_gp111,FDG72_gp111,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103386,FDG72_gp110,FDG72_gp110,-,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20200919,-
1880822,40103387,FDG72_gp109,FDG72_gp109,-,-,-,-,"Thioredoxin, phage-associated",protein-coding,-,-,-,"Thioredoxin, phage-associated",20200910,-
1880822,40103388,FDG72_gp108,FDG72_gp108,-,-,-,-,Phage endonuclease,protein-coding,-,-,-,Phage endonuclease,20200910,-
1880822,40103389,FDG72_gp107,FDG72_gp107,-,-,-,-,"Ribonucleotide reductase of class III (anaerobic), large subunit",protein-coding,-,-,-,"Ribonucleotide reductase of class III (anaerobic), large subunit",20200910,-
1880822,40103390,FDG72_gp106,FDG72_gp106,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103391,FDG72_gp105,FDG72_gp105,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103392,FDG72_gp104,FDG72_gp104,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103393,FDG72_gp103,FDG72_gp103,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103394,FDG72_gp102,FDG72_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103395,FDG72_gp101,FDG72_gp101,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103396,FDG72_gp100,FDG72_gp100,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103397,FDG72_gp099,FDG72_gp099,-,-,-,-,"Ribonucleotide reductase of class III (anaerobic), activating protein",protein-coding,-,-,-,"Ribonucleotide reductase of class III (anaerobic), activating protein",20200910,-
1880822,40103398,FDG72_gp098,FDG72_gp098,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103399,FDG72_gp097,FDG72_gp097,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103400,FDG72_gp096,FDG72_gp096,-,-,-,-,Glutaredoxin,protein-coding,-,-,-,Glutaredoxin,20200910,-
1880822,40103401,FDG72_gp095,FDG72_gp095,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103402,FDG72_gp094,FDG72_gp094,-,-,-,-,Phage long tail fiber proximal subunit,protein-coding,-,-,-,Phage long tail fiber proximal subunit,20200910,-
1880822,40103403,FDG72_gp093,FDG72_gp093,-,-,-,-,Phage tail connector protein,protein-coding,-,-,-,Phage tail connector protein,20200910,-
1880822,40103404,FDG72_gp092,FDG72_gp092,-,-,-,-,Phage tail connector protein,protein-coding,-,-,-,Phage tail connector protein,20210417,-
1880822,40103405,FDG72_gp091,FDG72_gp091,-,-,-,-,Phage tail fiber protein,protein-coding,-,-,-,Phage tail fiber protein,20200910,-
1880822,40103406,FDG72_gp090,FDG72_gp090,-,-,-,-,Phage tail fibers,protein-coding,-,-,-,Phage tail fibers,20200910,-
1880822,40103407,FDG72_gp089,FDG72_gp089,-,-,-,-,Phage holin,protein-coding,-,-,-,Phage holin,20200910,-
1880822,40103408,FDG72_gp088,FDG72_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103409,FDG72_gp087,FDG72_gp087,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103410,FDG72_gp086,FDG72_gp086,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20210417,-
1880822,40103411,FDG72_gp085,FDG72_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103412,FDG72_gp084,FDG72_gp084,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103413,FDG72_gp083,FDG72_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103414,FDG72_gp082,FDG72_gp082,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103415,FDG72_gp081,FDG72_gp081,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103416,FDG72_gp080,FDG72_gp080,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40120327,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
