#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
445686,10328571,SSSM7_002,SSSM7_002,-,-,-,-,DUF1825 domain-containing protein,protein-coding,-,-,-,DUF1825 domain-containing protein,20200909,-
445686,10328779,SSSM7_211,SSSM7_211,-,-,-,-,S-layer domain protein,protein-coding,-,-,-,S-layer domain protein,20200909,-
445686,10328780,SSSM7_212,SSSM7_212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328781,SSSM7_213,SSSM7_213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328782,SSSM7_214,SSSM7_214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328783,gp61,SSSM7_215,-,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20200909,-
445686,10328784,nrdA,SSSM7_216,-,-,-,-,ribonucleotide reductase class Ia alpha subunit,protein-coding,-,-,-,ribonucleotide reductase class Ia alpha subunit,20200909,-
445686,10328785,nrdB,SSSM7_217,-,-,-,-,ribonucleotide reductase class Ia beta subunit,protein-coding,-,-,-,ribonucleotide reductase class Ia beta subunit,20200909,-
445686,10328786,SSSM7_218,SSSM7_218,-,-,-,-,phage tail fiber-like protein,protein-coding,-,-,-,phage tail fiber-like protein,20200909,-
445686,10328787,SSSM7_219,SSSM7_219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328788,SSSM7_220,SSSM7_220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328789,SSSM7_221,SSSM7_221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328790,SSSM7_222,SSSM7_222,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328791,SSSM7_223,SSSM7_223,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328792,SSSM7_224,SSSM7_224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328793,SSSM7_225,SSSM7_225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328794,SSSM7_226,SSSM7_226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328795,SSSM7_227,SSSM7_227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328796,SSSM7_228,SSSM7_228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328797,SSSM7_229,SSSM7_229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328798,SSSM7_230,SSSM7_230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328799,gp9,SSSM7_231,-,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20200909,-
445686,10328800,SSSM7_232,SSSM7_232,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328801,SSSM7_233,SSSM7_233,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328802,gp114,SSSM7_234,-,-,-,-,gp114,protein-coding,-,-,-,gp114,20200909,-
445686,10328803,SSSM7_235,SSSM7_235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328804,SSSM7_236,SSSM7_236,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328805,SSSM7_237,SSSM7_237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328806,hn,SSSM7_238,-,-,-,-,hemagglutinin domain-containing protein,protein-coding,-,-,-,hemagglutinin domain-containing protein,20200909,-
445686,10328807,SSSM7_239,SSSM7_239,-,-,-,-,NAD synthetase,protein-coding,-,-,-,NAD synthetase,20200909,-
445686,10328808,SSSM7_240,SSSM7_240,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328809,SSSM7_241,SSSM7_241,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328810,SSSM7_242,SSSM7_242,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328811,SSSM7_243,SSSM7_243,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328812,SSSM7_244,SSSM7_244,-,-,-,-,antioxidant protein,protein-coding,-,-,-,antioxidant protein,20200909,-
445686,10328813,SSSM7_245,SSSM7_245,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328814,SSSM7_246,SSSM7_246,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328815,SSSM7_247,SSSM7_247,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328816,SSSM7_248,SSSM7_248,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328817,SSSM7_249,SSSM7_249,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200909,-
445686,10328818,SSSM7_250,SSSM7_250,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328819,SSSM7_251,SSSM7_251,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328820,SSSM7_252,SSSM7_252,-,-,-,-,nucleotide-sugar epimerase,protein-coding,-,-,-,nucleotide-sugar epimerase,20200909,-
445686,10328821,SSSM7_253,SSSM7_253,-,-,-,-,UDP-glucose 4-epimerase,protein-coding,-,-,-,UDP-glucose 4-epimerase,20200909,-
445686,10328822,SSSM7_254,SSSM7_254,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328823,SSSM7_255,SSSM7_255,-,-,-,-,nucleotide-sugar epimerase,protein-coding,-,-,-,nucleotide-sugar epimerase,20200909,-
445686,10328824,SSSM7_256,SSSM7_256,-,-,-,-,putative transferase,protein-coding,-,-,-,putative transferase,20200909,-
445686,10328825,SSSM7_257,SSSM7_257,-,-,-,-,putative methyltransferase,protein-coding,-,-,-,putative methyltransferase,20200909,-
445686,10328826,SSSM7_258,SSSM7_258,-,-,-,-,NAD+ synthetase,protein-coding,-,-,-,NAD+ synthetase,20200909,-
445686,10328827,SSSM7_259,SSSM7_259,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328828,SSSM7_260,SSSM7_260,-,-,-,-,glycosyltransferase family 11,protein-coding,-,-,-,glycosyltransferase family 11,20200909,-
445686,10328829,SSSM7_261,SSSM7_261,-,-,-,-,glycosyltransferase family 11,protein-coding,-,-,-,glycosyltransferase family 11,20200909,-
445686,10328830,SSSM7_262,SSSM7_262,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328831,SSSM7_263,SSSM7_263,-,-,-,-,glycosyltransferase family 11,protein-coding,-,-,-,glycosyltransferase family 11,20200909,-
445686,10328832,SSSM7_264,SSSM7_264,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328833,SSSM7_265,SSSM7_265,-,-,-,-,glycosyltransferase family 25,protein-coding,-,-,-,glycosyltransferase family 25,20200909,-
445686,10328834,SSSM7_266,SSSM7_266,-,-,-,-,DUF680 domain-containing protein,protein-coding,-,-,-,DUF680 domain-containing protein,20200909,-
445686,10328835,SSSM7_267,SSSM7_267,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328836,SSSM7_268,SSSM7_268,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328837,hli03,SSSM7_269,-,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20200909,-
445686,10328838,hli03,SSSM7_270,-,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20200909,-
445686,10328839,SSSM7_271,SSSM7_271,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328840,SSSM7_272,SSSM7_272,-,-,-,-,carboxylesterase,protein-coding,-,-,-,carboxylesterase,20200909,-
445686,10328841,SSSM7_273,SSSM7_273,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328842,SSSM7_274,SSSM7_274,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328843,psbA,SSSM7_275,-,-,-,-,photosystem II D1 protein,protein-coding,-,-,-,photosystem II D1 protein,20200909,-
445686,10328844,SSSM7_276,SSSM7_276,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
445686,10328845,SSSM7_278,SSSM7_278,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
445686,10328846,SSSM7_001,SSSM7_001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328847,SSSM7_282,SSSM7_282,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328848,SSSM7_283,SSSM7_283,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328849,nrdC,SSSM7_284,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20200909,-
445686,10328850,SSSM7_285,SSSM7_285,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328851,SSSM7_286,SSSM7_286,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328852,SSSM7_287,SSSM7_287,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328853,SSSM7_288,SSSM7_288,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328854,SSSM7_289,SSSM7_289,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328855,SSSM7_290,SSSM7_290,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328856,SSSM7_291,SSSM7_291,-,-,-,-,DUF680 domain-containing protein,protein-coding,-,-,-,DUF680 domain-containing protein,20200909,-
445686,10328857,pstS,SSSM7_292,-,-,-,-,phosphate transporter subunit,protein-coding,-,-,-,phosphate transporter subunit,20200909,-
445686,10328858,SSSM7_293,SSSM7_293,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328859,SSSM7_294,SSSM7_294,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328860,SSSM7_295,SSSM7_295,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328861,gp7,SSSM7_296,-,-,-,-,gp7,protein-coding,-,-,-,gp7,20200909,-
445686,10328862,SSSM7_297,SSSM7_297,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328863,SSSM7_298,SSSM7_298,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328864,SSSM7_299,SSSM7_299,-,-,-,-,RIIA-RIIB membrane-associated protein,protein-coding,-,-,-,RIIA-RIIB membrane-associated protein,20200909,-
445686,10328865,SSSM7_300,SSSM7_300,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328866,SSSM7_301,SSSM7_301,-,-,-,-,heme oxygenase,protein-coding,-,-,-,heme oxygenase,20200909,-
445686,10328867,SSSM7_302,SSSM7_302,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328868,SSSM7_303,SSSM7_303,-,-,-,-,heme oxygenase,protein-coding,-,-,-,heme oxygenase,20200909,-
445686,10328869,SSSM7_304,SSSM7_304,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328870,SSSM7_305,SSSM7_305,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328871,SSSM7_306,SSSM7_306,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328872,SSSM7_307,SSSM7_307,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328873,talC,SSSM7_308,-,-,-,-,transaldolase-like protein,protein-coding,-,-,-,transaldolase-like protein,20200909,-
445686,10328874,SSSM7_309,SSSM7_309,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328875,SSSM7_310,SSSM7_310,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328876,SSSM7_311,SSSM7_311,-,-,-,-,glutaredoxin-related protein,protein-coding,-,-,-,glutaredoxin-related protein,20200909,-
445686,10328877,SSSM7_312,SSSM7_312,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328878,SSSM7_313,SSSM7_313,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328879,SSSM7_314,SSSM7_314,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328880,SSSM7_315,SSSM7_315,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328881,SSSM7_316,SSSM7_316,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328882,SSSM7_317,SSSM7_317,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328883,denV,SSSM7_318,-,-,-,-,DNA endonuclease V,protein-coding,-,-,-,DNA endonuclease V,20200909,-
445686,10328884,SSSM7_319,SSSM7_319,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328885,td,SSSM7_320,-,-,-,-,Td thymidylate synthetase,protein-coding,-,-,-,Td thymidylate synthetase,20200909,-
445686,10328886,SSSM7_321,SSSM7_321,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328887,phoH,SSSM7_322,-,-,-,-,P-starvation inducible protein,protein-coding,-,-,-,P-starvation inducible protein,20200909,-
445686,10328888,SSSM7_323,SSSM7_323,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200909,-
445686,10328889,gp33,SSSM7_324,-,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20200909,-
445686,10328890,SSSM7_182,SSSM7_182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328891,SSSM7_277,SSSM7_277,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328892,SSSM7_279,SSSM7_279,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
445686,10328893,SSSM7_280,SSSM7_280,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
445686,10328894,SSSM7_281,SSSM7_281,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10359332,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Cyanophage 8109-3).,other,-,-,-,-,20200513,-
