#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1904413,64638734,DEU56DRAFT_10000,DEU56DRAFT_10000,-,-,Unknown,-,BET3 family protein,protein-coding,-,-,-,BET3 family protein,20210605,-
1904413,64642703,DEU56DRAFT_736650,DEU56DRAFT_736650,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642704,DEU56DRAFT_736658,DEU56DRAFT_736658,-,-,Unknown,-,glycosyltransferase family 69 protein,protein-coding,-,-,-,glycosyltransferase family 69 protein,20210605,-
1904413,64642705,DEU56DRAFT_736675,DEU56DRAFT_736675,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642706,DEU56DRAFT_736685,DEU56DRAFT_736685,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1904413,64642707,DEU56DRAFT_736698,DEU56DRAFT_736698,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642708,DEU56DRAFT_73672,DEU56DRAFT_73672,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642709,DEU56DRAFT_736737,DEU56DRAFT_736737,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642710,DEU56DRAFT_736745,DEU56DRAFT_736745,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642711,DEU56DRAFT_736748,DEU56DRAFT_736748,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642712,DEU56DRAFT_736802,DEU56DRAFT_736802,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642713,DEU56DRAFT_736810,DEU56DRAFT_736810,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642714,DEU56DRAFT_736816,DEU56DRAFT_736816,-,-,Unknown,-,S-adenosyl-L-methionine dependent methyltransferase,protein-coding,-,-,-,S-adenosyl-L-methionine dependent methyltransferase,20210605,-
1904413,64642715,DEU56DRAFT_736817,DEU56DRAFT_736817,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210605,-
1904413,64642716,DEU56DRAFT_736818,DEU56DRAFT_736818,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642717,DEU56DRAFT_736833,DEU56DRAFT_736833,-,-,Unknown,-,atromentin synthetase,protein-coding,-,-,-,atromentin synthetase,20210605,-
1904413,64642718,DEU56DRAFT_736834,DEU56DRAFT_736834,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642719,DEU56DRAFT_736841,DEU56DRAFT_736841,-,-,Unknown,-,BTB/POZ protein,protein-coding,-,-,-,BTB/POZ protein,20210605,-
1904413,64642720,DEU56DRAFT_736856,DEU56DRAFT_736856,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642721,DEU56DRAFT_736860,DEU56DRAFT_736860,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642722,DEU56DRAFT_736867,DEU56DRAFT_736867,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642723,DEU56DRAFT_736871,DEU56DRAFT_736871,-,-,Unknown,-,RabGAP TBC,protein-coding,-,-,-,RabGAP TBC,20210605,-
1904413,64642724,DEU56DRAFT_736901,DEU56DRAFT_736901,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642725,DEU56DRAFT_736903,DEU56DRAFT_736903,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642726,DEU56DRAFT_736904,DEU56DRAFT_736904,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642727,DEU56DRAFT_736909,DEU56DRAFT_736909,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642728,DEU56DRAFT_736918,DEU56DRAFT_736918,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642729,DEU56DRAFT_736929,DEU56DRAFT_736929,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642730,DEU56DRAFT_736932,DEU56DRAFT_736932,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642731,DEU56DRAFT_736974,DEU56DRAFT_736974,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642732,DEU56DRAFT_736982,DEU56DRAFT_736982,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642733,DEU56DRAFT_736994,DEU56DRAFT_736994,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642734,DEU56DRAFT_737002,DEU56DRAFT_737002,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642735,DEU56DRAFT_737009,DEU56DRAFT_737009,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642736,DEU56DRAFT_737011,DEU56DRAFT_737011,-,-,Unknown,-,atromentin synthetase,protein-coding,-,-,-,atromentin synthetase,20210605,-
1904413,64642737,DEU56DRAFT_737019,DEU56DRAFT_737019,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642738,DEU56DRAFT_737027,DEU56DRAFT_737027,-,-,Unknown,-,Aldo keto reductase,protein-coding,-,-,-,Aldo keto reductase,20210605,-
1904413,64642739,DEU56DRAFT_737033,DEU56DRAFT_737033,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1904413,64642740,DEU56DRAFT_737043,DEU56DRAFT_737043,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642741,DEU56DRAFT_737055,DEU56DRAFT_737055,-,-,Unknown,-,RNA-binding domain-containing protein,protein-coding,-,-,-,RNA-binding domain-containing protein,20210605,-
1904413,64642742,DEU56DRAFT_737062,DEU56DRAFT_737062,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1904413,64642743,DEU56DRAFT_737089,DEU56DRAFT_737089,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1904413,64642744,DEU56DRAFT_737103,DEU56DRAFT_737103,-,-,Unknown,-,Fungalysin metallopeptidase-domain-containing protein,protein-coding,-,-,-,Fungalysin metallopeptidase-domain-containing protein,20210605,-
1904413,64642745,DEU56DRAFT_737108,DEU56DRAFT_737108,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642746,DEU56DRAFT_73715,DEU56DRAFT_73715,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642747,DEU56DRAFT_737184,DEU56DRAFT_737184,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642748,DEU56DRAFT_737204,DEU56DRAFT_737204,-,-,Unknown,-,HECT-like ubiquitin-conjugating enzyme-binding-domain-containing protein,protein-coding,-,-,-,HECT-like ubiquitin-conjugating enzyme-binding-domain-containing protein,20210605,-
1904413,64642749,DEU56DRAFT_737209,DEU56DRAFT_737209,-,-,Unknown,-,peptidyl-prolyl cis-trans isomerase,protein-coding,-,-,-,peptidyl-prolyl cis-trans isomerase,20210605,-
1904413,64642750,DEU56DRAFT_737214,DEU56DRAFT_737214,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642751,DEU56DRAFT_737245,DEU56DRAFT_737245,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642752,DEU56DRAFT_737248,DEU56DRAFT_737248,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642753,DEU56DRAFT_737271,DEU56DRAFT_737271,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642754,DEU56DRAFT_737272,DEU56DRAFT_737272,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642755,DEU56DRAFT_737333,DEU56DRAFT_737333,-,-,Unknown,-,SNF5-domain-containing protein,protein-coding,-,-,-,SNF5-domain-containing protein,20210605,-
1904413,64642756,DEU56DRAFT_737355,DEU56DRAFT_737355,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642757,DEU56DRAFT_737359,DEU56DRAFT_737359,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642758,DEU56DRAFT_73736,DEU56DRAFT_73736,-,-,Unknown,-,proline-specific peptidase,protein-coding,-,-,-,proline-specific peptidase,20210605,-
1904413,64642759,DEU56DRAFT_737389,DEU56DRAFT_737389,-,-,Unknown,-,velvet factor-domain-containing protein,protein-coding,-,-,-,velvet factor-domain-containing protein,20210605,-
1904413,64642760,DEU56DRAFT_737404,DEU56DRAFT_737404,-,-,Unknown,-,chromatin remodelling complex Rsc7/Swp82 subunit-domain-containing protein,protein-coding,-,-,-,chromatin remodelling complex Rsc7/Swp82 subunit-domain-containing protein,20210605,-
1904413,64642761,DEU56DRAFT_737410,DEU56DRAFT_737410,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642762,DEU56DRAFT_737454,DEU56DRAFT_737454,-,-,Unknown,-,triose-phosphate transporter family-domain-containing protein,protein-coding,-,-,-,triose-phosphate transporter family-domain-containing protein,20210605,-
1904413,64642763,DEU56DRAFT_737456,DEU56DRAFT_737456,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642764,DEU56DRAFT_73747,DEU56DRAFT_73747,-,-,Unknown,-,Alpha/Beta hydrolase protein,protein-coding,-,-,-,Alpha/Beta hydrolase protein,20210605,-
1904413,64642765,DEU56DRAFT_737498,DEU56DRAFT_737498,-,-,Unknown,-,Endonuclease/exonuclease/phosphatase,protein-coding,-,-,-,Endonuclease/exonuclease/phosphatase,20210605,-
1904413,64642766,DEU56DRAFT_737503,DEU56DRAFT_737503,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642767,DEU56DRAFT_737506,DEU56DRAFT_737506,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642768,DEU56DRAFT_737515,DEU56DRAFT_737515,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642769,DEU56DRAFT_737537,DEU56DRAFT_737537,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20210605,-
1904413,64642770,DEU56DRAFT_737549,DEU56DRAFT_737549,-,-,Unknown,-,PLP-dependent transferase,protein-coding,-,-,-,PLP-dependent transferase,20210605,-
1904413,64642771,DEU56DRAFT_737574,DEU56DRAFT_737574,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642772,DEU56DRAFT_737615,DEU56DRAFT_737615,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642773,DEU56DRAFT_737618,DEU56DRAFT_737618,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642774,DEU56DRAFT_737620,DEU56DRAFT_737620,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642775,DEU56DRAFT_737629,DEU56DRAFT_737629,-,-,Unknown,-,"TB2/DP1, HVA22 family-domain-containing protein",protein-coding,-,-,-,"TB2/DP1, HVA22 family-domain-containing protein",20210605,-
1904413,64642776,DEU56DRAFT_737641,DEU56DRAFT_737641,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642777,DEU56DRAFT_737644,DEU56DRAFT_737644,-,-,Unknown,-,Fusaric acid resistance protein-like-domain-containing protein,protein-coding,-,-,-,Fusaric acid resistance protein-like-domain-containing protein,20210605,-
1904413,64642778,DEU56DRAFT_737646,DEU56DRAFT_737646,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642779,DEU56DRAFT_737662,DEU56DRAFT_737662,-,-,Unknown,-,thioredoxin-like protein,protein-coding,-,-,-,thioredoxin-like protein,20210605,-
1904413,64642780,DEU56DRAFT_737693,DEU56DRAFT_737693,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642781,DEU56DRAFT_737697,DEU56DRAFT_737697,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642782,DEU56DRAFT_737706,DEU56DRAFT_737706,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210605,-
1904413,64642783,DEU56DRAFT_737712,DEU56DRAFT_737712,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642784,DEU56DRAFT_737714,DEU56DRAFT_737714,-,-,Unknown,-,Vps53-like protein,protein-coding,-,-,-,Vps53-like protein,20210605,-
1904413,64642785,DEU56DRAFT_737719,DEU56DRAFT_737719,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642786,DEU56DRAFT_737749,DEU56DRAFT_737749,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642787,DEU56DRAFT_737751,DEU56DRAFT_737751,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642788,DEU56DRAFT_737755,DEU56DRAFT_737755,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642789,DEU56DRAFT_737775,DEU56DRAFT_737775,-,-,Unknown,-,Ctr copper transporter,protein-coding,-,-,-,Ctr copper transporter,20210605,-
1904413,64642790,DEU56DRAFT_737776,DEU56DRAFT_737776,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642791,DEU56DRAFT_737803,DEU56DRAFT_737803,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642792,DEU56DRAFT_737810,DEU56DRAFT_737810,-,-,Unknown,-,NADP-dependent oxidoreductase domain-containing protein,protein-coding,-,-,-,NADP-dependent oxidoreductase domain-containing protein,20210605,-
1904413,64642793,DEU56DRAFT_737816,DEU56DRAFT_737816,-,-,Unknown,-,mitochondrial distribution and morphology protein family 31/32,protein-coding,-,-,-,mitochondrial distribution and morphology protein family 31/32,20210605,-
1904413,64642794,DEU56DRAFT_737840,DEU56DRAFT_737840,-,-,Unknown,-,protein arginine N-methyltransferase,protein-coding,-,-,-,protein arginine N-methyltransferase,20210605,-
1904413,64642795,DEU56DRAFT_737875,DEU56DRAFT_737875,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642796,DEU56DRAFT_737896,DEU56DRAFT_737896,-,-,Unknown,-,NADH:flavin oxidoreductase/NADH oxidase,protein-coding,-,-,-,NADH:flavin oxidoreductase/NADH oxidase,20210605,-
1904413,64642797,DEU56DRAFT_737902,DEU56DRAFT_737902,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642798,DEU56DRAFT_737906,DEU56DRAFT_737906,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642799,DEU56DRAFT_737921,DEU56DRAFT_737921,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642800,DEU56DRAFT_737931,DEU56DRAFT_737931,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642801,DEU56DRAFT_737953,DEU56DRAFT_737953,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642802,DEU56DRAFT_737958,DEU56DRAFT_737958,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642803,DEU56DRAFT_737959,DEU56DRAFT_737959,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642804,DEU56DRAFT_737960,DEU56DRAFT_737960,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642805,DEU56DRAFT_737964,DEU56DRAFT_737964,-,-,Unknown,-,amino acid/polyamine transporter I,protein-coding,-,-,-,amino acid/polyamine transporter I,20210605,-
1904413,64642806,DEU56DRAFT_737978,DEU56DRAFT_737978,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642807,DEU56DRAFT_737983,DEU56DRAFT_737983,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642808,DEU56DRAFT_737991,DEU56DRAFT_737991,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642809,DEU56DRAFT_738020,DEU56DRAFT_738020,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642810,DEU56DRAFT_738039,DEU56DRAFT_738039,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642811,DEU56DRAFT_738043,DEU56DRAFT_738043,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642812,DEU56DRAFT_738053,DEU56DRAFT_738053,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642813,DEU56DRAFT_738090,DEU56DRAFT_738090,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642814,DEU56DRAFT_738099,DEU56DRAFT_738099,-,-,Unknown,-,CHAT domain-containing protein,protein-coding,-,-,-,CHAT domain-containing protein,20210605,-
1904413,64642815,DEU56DRAFT_738107,DEU56DRAFT_738107,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642816,DEU56DRAFT_738142,DEU56DRAFT_738142,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642817,DEU56DRAFT_738145,DEU56DRAFT_738145,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642818,DEU56DRAFT_738164,DEU56DRAFT_738164,-,-,Unknown,-,GTP-binding protein,protein-coding,-,-,-,GTP-binding protein,20210605,-
1904413,64642819,DEU56DRAFT_738167,DEU56DRAFT_738167,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642820,DEU56DRAFT_738168,DEU56DRAFT_738168,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642821,DEU56DRAFT_738195,DEU56DRAFT_738195,-,-,Unknown,-,"guanine nucleotide binding protein, alpha subunit",protein-coding,-,-,-,"guanine nucleotide binding protein, alpha subunit",20210605,-
1904413,64642822,DEU56DRAFT_738202,DEU56DRAFT_738202,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642823,DEU56DRAFT_738238,DEU56DRAFT_738238,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642824,DEU56DRAFT_738253,DEU56DRAFT_738253,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642825,DEU56DRAFT_738255,DEU56DRAFT_738255,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642826,DEU56DRAFT_738262,DEU56DRAFT_738262,-,-,Unknown,-,amino acid transporter,protein-coding,-,-,-,amino acid transporter,20210605,-
1904413,64642827,DEU56DRAFT_738272,DEU56DRAFT_738272,-,-,Unknown,-,nucleoporin complex subunit 54-domain-containing protein,protein-coding,-,-,-,nucleoporin complex subunit 54-domain-containing protein,20210605,-
1904413,64642828,DEU56DRAFT_738284,DEU56DRAFT_738284,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642829,DEU56DRAFT_738301,DEU56DRAFT_738301,-,-,Unknown,-,ABC-2 type transporter-domain-containing protein,protein-coding,-,-,-,ABC-2 type transporter-domain-containing protein,20210605,-
1904413,64642830,DEU56DRAFT_738370,DEU56DRAFT_738370,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642831,DEU56DRAFT_73838,DEU56DRAFT_73838,-,-,Unknown,-,CHAT domain-containing protein,protein-coding,-,-,-,CHAT domain-containing protein,20210605,-
1904413,64642832,DEU56DRAFT_738381,DEU56DRAFT_738381,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642833,DEU56DRAFT_738384,DEU56DRAFT_738384,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642834,DEU56DRAFT_738387,DEU56DRAFT_738387,-,-,Unknown,-,UbiA prenyltransferase family-domain-containing protein,protein-coding,-,-,-,UbiA prenyltransferase family-domain-containing protein,20210605,-
1904413,64642835,DEU56DRAFT_738397,DEU56DRAFT_738397,-,-,Unknown,-,interferon-inducible GTPase-domain-containing protein,protein-coding,-,-,-,interferon-inducible GTPase-domain-containing protein,20210605,-
1904413,64642836,DEU56DRAFT_738416,DEU56DRAFT_738416,-,-,Unknown,-,glycosyltransferase family 32 protein,protein-coding,-,-,-,glycosyltransferase family 32 protein,20210605,-
1904413,64642837,DEU56DRAFT_738435,DEU56DRAFT_738435,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642838,DEU56DRAFT_738472,DEU56DRAFT_738472,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642839,DEU56DRAFT_738481,DEU56DRAFT_738481,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642840,DEU56DRAFT_738483,DEU56DRAFT_738483,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210605,-
1904413,64642841,DEU56DRAFT_738488,DEU56DRAFT_738488,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642842,DEU56DRAFT_738506,DEU56DRAFT_738506,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642843,DEU56DRAFT_738519,DEU56DRAFT_738519,-,-,Unknown,-,glycoside hydrolase family 3 protein,protein-coding,-,-,-,glycoside hydrolase family 3 protein,20210605,-
1904413,64642844,DEU56DRAFT_738527,DEU56DRAFT_738527,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642845,DEU56DRAFT_738532,DEU56DRAFT_738532,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642846,DEU56DRAFT_738541,DEU56DRAFT_738541,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642847,DEU56DRAFT_738546,DEU56DRAFT_738546,-,-,Unknown,-,glycoside hydrolase family 3 protein,protein-coding,-,-,-,glycoside hydrolase family 3 protein,20210605,-
1904413,64642848,DEU56DRAFT_738558,DEU56DRAFT_738558,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64642849,DEU56DRAFT_738569,DEU56DRAFT_738569,-,-,Unknown,-,kinase-like protein,protein-coding,-,-,-,kinase-like protein,20210605,-
1904413,64642850,DEU56DRAFT_738575,DEU56DRAFT_738575,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642851,DEU56DRAFT_738587,DEU56DRAFT_738587,-,-,Unknown,-,glycoside hydrolase family 3 protein,protein-coding,-,-,-,glycoside hydrolase family 3 protein,20210605,-
1904413,64642852,DEU56DRAFT_738614,DEU56DRAFT_738614,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642853,DEU56DRAFT_738624,DEU56DRAFT_738624,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642854,DEU56DRAFT_738630,DEU56DRAFT_738630,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642855,DEU56DRAFT_738657,DEU56DRAFT_738657,-,-,Unknown,-,copper-fist transcription factor,protein-coding,-,-,-,copper-fist transcription factor,20210605,-
1904413,64642856,DEU56DRAFT_738664,DEU56DRAFT_738664,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642857,DEU56DRAFT_738688,DEU56DRAFT_738688,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642858,DEU56DRAFT_738711,DEU56DRAFT_738711,-,-,Unknown,-,fungal-specific transcription factor domain-containing protein,protein-coding,-,-,-,fungal-specific transcription factor domain-containing protein,20210605,-
1904413,64642859,DEU56DRAFT_738742,DEU56DRAFT_738742,-,-,Unknown,-,aldolase,protein-coding,-,-,-,aldolase,20210605,-
1904413,64642860,DEU56DRAFT_738776,DEU56DRAFT_738776,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642861,DEU56DRAFT_738781,DEU56DRAFT_738781,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642862,DEU56DRAFT_738821,DEU56DRAFT_738821,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64642863,DEU56DRAFT_738825,DEU56DRAFT_738825,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
