#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
498019,29139794,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Candida auris).,other,-,-,-,-,20210327,-
498019,40026555,CJI97_001408,CJI97_001408,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026556,CJI97_001409,CJI97_001409,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026557,CJI97_001410,CJI97_001410,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026558,CJI97_001411,CJI97_001411,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026559,CJI97_001412,CJI97_001412,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026560,CJI97_001413,CJI97_001413,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026561,CJI97_001414,CJI97_001414,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026562,CJI97_001415,CJI97_001415,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
498019,40026563,CJI97_001416,CJI97_001416,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026564,CJI97_001417,CJI97_001417,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026565,CJI97_001418,CJI97_001418,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026566,CJI97_001419,CJI97_001419,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026567,CJI97_001420,CJI97_001420,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
498019,40026568,CJI97_001421,CJI97_001421,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026569,CJI97_001422,CJI97_001422,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026570,CJI97_001423,CJI97_001423,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026571,CJI97_001424,CJI97_001424,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026572,CJI97_001425,CJI97_001425,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026573,CJI97_001426,CJI97_001426,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026574,CJI97_001427,CJI97_001427,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026575,CJI97_001428,CJI97_001428,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
498019,40026576,CJI97_001429,CJI97_001429,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026577,CJI97_001430,CJI97_001430,-,-,Unknown,-,phenylalanine-tRNA ligase beta subunit,protein-coding,-,-,-,phenylalanine-tRNA ligase beta subunit,20210309,-
498019,40026578,CJI97_001431,CJI97_001431,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026579,CJI97_001432,CJI97_001432,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026580,CJI97_001433,CJI97_001433,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026581,CJI97_001434,CJI97_001434,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026582,CJI97_001435,CJI97_001435,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026583,CJI97_001436,CJI97_001436,-,-,Unknown,-,protein URE2,protein-coding,-,-,-,protein URE2,20210309,-
498019,40026584,CJI97_001437,CJI97_001437,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026585,CJI97_001438,CJI97_001438,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026586,CJI97_001439,CJI97_001439,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026587,CJI97_001440,CJI97_001440,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026588,CJI97_001441,CJI97_001441,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026589,CJI97_001442,CJI97_001442,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026590,CJI97_001443,CJI97_001443,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026591,CJI97_001444,CJI97_001444,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026592,CJI97_001445,CJI97_001445,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026593,CJI97_001446,CJI97_001446,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026594,CJI97_001447,CJI97_001447,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026595,CJI97_001448,CJI97_001448,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026596,CJI97_001449,CJI97_001449,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026597,CJI97_001450,CJI97_001450,-,-,Unknown,-,glutamate-tRNA ligase,protein-coding,-,-,-,glutamate-tRNA ligase,20210309,-
498019,40026598,CJI97_001451,CJI97_001451,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026599,CJI97_001452,CJI97_001452,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20200919,-
498019,40026600,CJI97_001453,CJI97_001453,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
498019,40026601,CJI97_001454,CJI97_001454,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026602,CJI97_001455,CJI97_001455,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026603,CJI97_001456,CJI97_001456,-,-,Unknown,-,"V-type ATPase, G subunit",protein-coding,-,-,-,"V-type ATPase, G subunit",20210424,-
498019,40026604,CJI97_001457,CJI97_001457,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026605,CJI97_001458,CJI97_001458,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
498019,40026606,CJI97_001459,CJI97_001459,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026607,CJI97_001460,CJI97_001460,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026608,CJI97_001461,CJI97_001461,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026609,CJI97_001462,CJI97_001462,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026610,CJI97_001463,CJI97_001463,-,-,Unknown,-,ferrochelatase,protein-coding,-,-,-,ferrochelatase,20210424,-
498019,40026611,CJI97_001464,CJI97_001464,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026612,CJI97_001465,CJI97_001465,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026613,CJI97_001466,CJI97_001466,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026614,CJI97_001467,CJI97_001467,-,-,Unknown,-,18S rRNA biogenesis protein RCL1,protein-coding,-,-,-,18S rRNA biogenesis protein RCL1,20210309,-
498019,40026615,CJI97_001468,CJI97_001468,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026616,CJI97_001469,CJI97_001469,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026617,CJI97_001470,CJI97_001470,-,-,Unknown,-,T-complex protein 1 subunit epsilon,protein-coding,-,-,-,T-complex protein 1 subunit epsilon,20210309,-
498019,40026618,CJI97_001471,CJI97_001471,-,-,Unknown,-,deoxyhypusine hydroxylase,protein-coding,-,-,-,deoxyhypusine hydroxylase,20210309,-
498019,40026619,CJI97_001472,CJI97_001472,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026620,CJI97_001473,CJI97_001473,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026621,CJI97_001474,CJI97_001474,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026622,CJI97_001475,CJI97_001475,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026623,CJI97_001476,CJI97_001476,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026624,CJI97_001477,CJI97_001477,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026625,CJI97_001478,CJI97_001478,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026626,CJI97_001479,CJI97_001479,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026627,CJI97_001480,CJI97_001480,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026628,CJI97_001481,CJI97_001481,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026629,CJI97_001482,CJI97_001482,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026630,CJI97_001483,CJI97_001483,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026631,CJI97_001484,CJI97_001484,-,-,Unknown,-,alanine-tRNA ligase,protein-coding,-,-,-,alanine-tRNA ligase,20210309,-
498019,40026632,CJI97_001485,CJI97_001485,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026633,CJI97_001486,CJI97_001486,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026634,CJI97_001487,CJI97_001487,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026635,CJI97_001488,CJI97_001488,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026636,CJI97_001489,CJI97_001489,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026637,CJI97_001490,CJI97_001490,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026638,CJI97_001491,CJI97_001491,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026639,CJI97_001492,CJI97_001492,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026640,CJI97_001493,CJI97_001493,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026641,CJI97_001494,CJI97_001494,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026642,CJI97_001495,CJI97_001495,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
498019,40026643,CJI97_001496,CJI97_001496,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026644,CJI97_001497,CJI97_001497,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026645,CJI97_001498,CJI97_001498,-,-,Unknown,-,DNA repair protein rhp51,protein-coding,-,-,-,DNA repair protein rhp51,20210309,-
498019,40026646,CJI97_001499,CJI97_001499,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026647,CJI97_001500,CJI97_001500,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026648,CJI97_001501,CJI97_001501,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026649,CJI97_001502,CJI97_001502,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026650,CJI97_001503,CJI97_001503,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026651,CJI97_001504,CJI97_001504,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026652,CJI97_001505,CJI97_001505,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026653,CJI97_001506,CJI97_001506,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026654,CJI97_001507,CJI97_001507,-,-,Unknown,-,protein transporter SEC13,protein-coding,-,-,-,protein transporter SEC13,20210309,-
498019,40026655,CJI97_001508,CJI97_001508,-,-,Unknown,-,"purine nucleoside phosphorylase I, inosine and guanosine-specific",protein-coding,-,-,-,"purine nucleoside phosphorylase I, inosine and guanosine-specific",20210309,-
498019,40026656,CJI97_001509,CJI97_001509,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20200919,-
498019,40026657,CJI97_001510,CJI97_001510,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026658,CJI97_001511,CJI97_001511,-,-,Unknown,-,tryptophan-tRNA ligase,protein-coding,-,-,-,tryptophan-tRNA ligase,20210309,-
498019,40026659,CJI97_001512,CJI97_001512,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026660,CJI97_001513,CJI97_001513,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026661,CJI97_001514,CJI97_001514,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026662,CJI97_001515,CJI97_001515,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026663,CJI97_001516,CJI97_001516,-,-,Unknown,-,thioredoxin reductase,protein-coding,-,-,-,thioredoxin reductase,20210309,-
498019,40026664,CJI97_001517,CJI97_001517,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026665,CJI97_001518,CJI97_001518,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026666,CJI97_001519,CJI97_001519,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026667,CJI97_001520,CJI97_001520,-,-,Unknown,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210309,-
498019,40026668,CJI97_001521,CJI97_001521,-,-,Unknown,-,26S protease regulatory subunit 4,protein-coding,-,-,-,26S protease regulatory subunit 4,20210309,-
498019,40026669,CJI97_001522,CJI97_001522,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026670,CJI97_001523,CJI97_001523,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026671,CJI97_001524,CJI97_001524,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026672,CJI97_001525,CJI97_001525,-,-,Unknown,-,60S ribosomal protein L23-B,protein-coding,-,-,-,60S ribosomal protein L23-B,20210309,-
498019,40026673,CJI97_001526,CJI97_001526,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026674,CJI97_001527,CJI97_001527,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026675,CJI97_001528,CJI97_001528,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026676,CJI97_001529,CJI97_001529,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026677,CJI97_001530,CJI97_001530,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026678,CJI97_001531,CJI97_001531,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026679,CJI97_001532,CJI97_001532,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026680,CJI97_001533,CJI97_001533,-,-,Unknown,-,glycine cleavage system T protein,protein-coding,-,-,-,glycine cleavage system T protein,20210309,-
498019,40026681,CJI97_001534,CJI97_001534,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026682,CJI97_001535,CJI97_001535,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026683,CJI97_001536,CJI97_001536,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026684,CJI97_001537,CJI97_001537,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026685,CJI97_001538,CJI97_001538,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026686,CJI97_001539,CJI97_001539,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026687,CJI97_001540,CJI97_001540,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026688,CJI97_001541,CJI97_001541,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026689,CJI97_001542,CJI97_001542,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026690,CJI97_001543,CJI97_001543,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026691,CJI97_001544,CJI97_001544,-,-,Unknown,-,"ATP-dependent RNA helicase MRH4, mitochondrial",protein-coding,-,-,-,"ATP-dependent RNA helicase MRH4, mitochondrial",20210309,-
498019,40026692,CJI97_001545,CJI97_001545,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026693,CJI97_001546,CJI97_001546,-,-,Unknown,-,60S ribosome subunit biogenesis protein NIP7,protein-coding,-,-,-,60S ribosome subunit biogenesis protein NIP7,20210309,-
498019,40026694,CJI97_001547,CJI97_001547,-,-,Unknown,-,tRNA pseudouridine(38-40) synthase,protein-coding,-,-,-,tRNA pseudouridine(38-40) synthase,20210309,-
498019,40026695,CJI97_001548,CJI97_001548,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026696,CJI97_001549,CJI97_001549,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026697,CJI97_001550,CJI97_001550,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026698,CJI97_001551,CJI97_001551,-,-,Unknown,-,"iron-sulfur clusters transporter ATM1, mitochondrial",protein-coding,-,-,-,"iron-sulfur clusters transporter ATM1, mitochondrial",20210309,-
498019,40026699,CJI97_001552,CJI97_001552,-,-,Unknown,-,pyruvate decarboxylase,protein-coding,-,-,-,pyruvate decarboxylase,20210309,-
498019,40026700,CJI97_001553,CJI97_001553,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026701,CJI97_001554,CJI97_001554,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026702,CJI97_001555,CJI97_001555,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026703,CJI97_001556,CJI97_001556,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026704,CJI97_001557,CJI97_001557,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026705,CJI97_001558,CJI97_001558,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026706,CJI97_001559,CJI97_001559,-,-,Unknown,-,FACT complex subunit SPT16,protein-coding,-,-,-,FACT complex subunit SPT16,20210309,-
498019,40026707,CJI97_001560,CJI97_001560,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026708,CJI97_001561,CJI97_001561,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026709,CJI97_001562,CJI97_001562,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026710,CJI97_001563,CJI97_001563,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026711,CJI97_001564,CJI97_001564,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026712,CJI97_001565,CJI97_001565,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026713,CJI97_001566,CJI97_001566,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026714,CJI97_001567,CJI97_001567,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026715,CJI97_001568,CJI97_001568,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026716,CJI97_001569,CJI97_001569,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026717,CJI97_001570,CJI97_001570,-,-,Unknown,-,T-complex protein 1 subunit delta,protein-coding,-,-,-,T-complex protein 1 subunit delta,20210309,-
498019,40026718,CJI97_001571,CJI97_001571,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026719,CJI97_001572,CJI97_001572,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026720,CJI97_001573,CJI97_001573,-,-,Unknown,-,ATP-dependent RNA helicase DBP4,protein-coding,-,-,-,ATP-dependent RNA helicase DBP4,20210309,-
498019,40026721,CJI97_001574,CJI97_001574,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026722,CJI97_001575,CJI97_001575,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026723,CJI97_001576,CJI97_001576,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026724,CJI97_001577,CJI97_001577,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026725,CJI97_001578,CJI97_001578,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026726,CJI97_001579,CJI97_001579,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026727,CJI97_001580,CJI97_001580,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026728,CJI97_001581,CJI97_001581,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026729,CJI97_001582,CJI97_001582,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026730,CJI97_001583,CJI97_001583,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026731,CJI97_001584,CJI97_001584,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026732,CJI97_001585,CJI97_001585,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026733,CJI97_001586,CJI97_001586,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026734,CJI97_001587,CJI97_001587,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026735,CJI97_001588,CJI97_001588,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026736,CJI97_001589,CJI97_001589,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026737,CJI97_001590,CJI97_001590,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026738,CJI97_001591,CJI97_001591,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026739,CJI97_001592,CJI97_001592,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026740,CJI97_001593,CJI97_001593,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026741,CJI97_001594,CJI97_001594,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026742,CJI97_001595,CJI97_001595,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026743,CJI97_001596,CJI97_001596,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026744,CJI97_001597,CJI97_001597,-,-,Unknown,-,"phospho-2-dehydro-3-deoxyheptonate aldolase, phenylalanine-inhibited",protein-coding,-,-,-,"phospho-2-dehydro-3-deoxyheptonate aldolase, phenylalanine-inhibited",20210309,-
498019,40026745,CJI97_001598,CJI97_001598,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40026746,CJI97_001599,CJI97_001599,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
