#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2723896,55630129,HWD29_gp002,HWD29_gp002,kps8_002,-,-,-,rIIB lysis inhibitor,protein-coding,-,-,-,rIIB lysis inhibitor,20200620,-
2723896,55630317,HWD29_gp170,HWD29_gp170,kps8_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630318,HWD29_gp169,HWD29_gp169,kps8_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630319,HWD29_gp168,HWD29_gp168,kps8_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630320,HWD29_gp167,HWD29_gp167,kps8_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630321,HWD29_gp166,HWD29_gp166,kps8_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2723896,55630322,HWD29_gp165,HWD29_gp165,kps8_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630323,HWD29_gp164,HWD29_gp164,kps8_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630324,HWD29_gp163,HWD29_gp163,kps8_179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630325,HWD29_gp162,HWD29_gp162,kps8_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630326,HWD29_gp161,HWD29_gp161,kps8_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630327,HWD29_gp160,HWD29_gp160,kps8_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630328,HWD29_gp159,HWD29_gp159,kps8_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630329,HWD29_gp158,HWD29_gp158,kps8_184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630330,HWD29_gp157,HWD29_gp157,kps8_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630331,HWD29_gp156,HWD29_gp156,kps8_186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630332,HWD29_gp155,HWD29_gp155,kps8_187,-,-,-,Fe-S-cluster containining protein,protein-coding,-,-,-,Fe-S-cluster containining protein,20210327,-
2723896,55630333,HWD29_gp154,HWD29_gp154,kps8_188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630334,HWD29_gp153,HWD29_gp153,kps8_189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630335,HWD29_gp152,HWD29_gp152,kps8_190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630336,HWD29_gp151,HWD29_gp151,kps8_191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630337,HWD29_gp150,HWD29_gp150,kps8_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630338,HWD29_gp149,HWD29_gp149,kps8_193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630339,HWD29_gp148,HWD29_gp148,kps8_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630340,HWD29_gp147,HWD29_gp147,kps8_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630341,HWD29_gp146,HWD29_gp146,kps8_196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630342,HWD29_gp145,HWD29_gp145,kps8_197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630343,HWD29_gp144,HWD29_gp144,kps8_198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630344,HWD29_gp143,HWD29_gp143,kps8_199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630345,HWD29_gp142,HWD29_gp142,kps8_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2723896,55630346,HWD29_gp141,HWD29_gp141,kps8_201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630347,HWD29_gp140,HWD29_gp140,kps8_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630348,HWD29_gp139,HWD29_gp139,kps8_203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630349,HWD29_gp138,HWD29_gp138,kps8_204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630350,HWD29_gp137,HWD29_gp137,kps8_205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630351,HWD29_gp136,HWD29_gp136,kps8_206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630352,HWD29_gp135,HWD29_gp135,kps8_207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630353,HWD29_gp134,HWD29_gp134,kps8_208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630354,HWD29_gp133,HWD29_gp133,kps8_209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630355,HWD29_gp132,HWD29_gp132,kps8_210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630356,HWD29_gp131,HWD29_gp131,kps8_211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630357,HWD29_gp130,HWD29_gp130,kps8_212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630358,HWD29_gp129,HWD29_gp129,kps8_213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630359,HWD29_gp128,HWD29_gp128,kps8_214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630360,HWD29_gp127,HWD29_gp127,kps8_215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630361,HWD29_gp126,HWD29_gp126,kps8_216,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630362,HWD29_gp125,HWD29_gp125,kps8_217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630363,HWD29_gp124,HWD29_gp124,kps8_218,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630364,HWD29_gp123,HWD29_gp123,kps8_219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630365,HWD29_gp122,HWD29_gp122,kps8_220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630366,HWD29_gp121,HWD29_gp121,kps8_221,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630367,HWD29_gp120,HWD29_gp120,kps8_222,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630368,HWD29_gp119,HWD29_gp119,kps8_223,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630369,HWD29_gp118,HWD29_gp118,kps8_224,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630370,HWD29_gp117,HWD29_gp117,kps8_225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630371,HWD29_gp116,HWD29_gp116,kps8_226,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630372,HWD29_gp115,HWD29_gp115,kps8_227,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2723896,55630373,HWD29_gp114,HWD29_gp114,kps8_228,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630374,HWD29_gp113,HWD29_gp113,kps8_229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630375,HWD29_gp112,HWD29_gp112,kps8_230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630376,HWD29_gp111,HWD29_gp111,kps8_231,-,-,-,helix-turn-helix DNA-binding domain-containing protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain-containing protein,20210403,-
2723896,55630377,HWD29_gp110,HWD29_gp110,kps8_232,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630378,HWD29_gp109,HWD29_gp109,kps8_233,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210327,-
2723896,55630379,HWD29_gp108,HWD29_gp108,kps8_234,-,-,-,metallopeptidase domain-containing protein,protein-coding,-,-,-,metallopeptidase domain-containing protein,20210327,-
2723896,55630380,HWD29_gp107,HWD29_gp107,kps8_235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630381,HWD29_gp106,HWD29_gp106,kps8_236,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630382,HWD29_gp105,HWD29_gp105,kps8_237,-,-,-,anti-sigma factor,protein-coding,-,-,-,anti-sigma factor,20200620,-
2723896,55630383,HWD29_gp104,HWD29_gp104,kps8_238,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630384,HWD29_gp103,HWD29_gp103,kps8_239,-,-,-,metal dependent phosphohydrolase,protein-coding,-,-,-,metal dependent phosphohydrolase,20210212,-
2723896,55630385,HWD29_gp102,HWD29_gp102,kps8_240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630386,HWD29_gp101,HWD29_gp101,kps8_241,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630387,HWD29_gp100,HWD29_gp100,kps8_242,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630388,HWD29_gp099,HWD29_gp099,kps8_243,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630389,HWD29_gp098,HWD29_gp098,kps8_244,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630390,HWD29_gp097,HWD29_gp097,kps8_245,-,-,-,ATPase,protein-coding,-,-,-,ATPase,20210327,-
2723896,55630391,HWD29_gp096,HWD29_gp096,kps8_246,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630392,HWD29_gp095,HWD29_gp095,kps8_247,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630393,HWD29_gp094,HWD29_gp094,kps8_248,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630394,HWD29_gp093,HWD29_gp093,kps8_249,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630395,HWD29_gp092,HWD29_gp092,kps8_250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630396,HWD29_gp091,HWD29_gp091,kps8_251,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630397,HWD29_gp090,HWD29_gp090,kps8_252,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630398,HWD29_gp089,HWD29_gp089,kps8_253,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630399,HWD29_gp088,HWD29_gp088,kps8_254,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2723896,55630400,HWD29_gp087,HWD29_gp087,kps8_255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630401,HWD29_gp086,HWD29_gp086,kps8_256,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630402,HWD29_gp085,HWD29_gp085,kps8_257,-,-,-,RNA ligase 2,protein-coding,-,-,-,RNA ligase 2,20210327,-
2723896,55630403,HWD29_gp084,HWD29_gp084,kps8_258,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630404,HWD29_gp083,HWD29_gp083,kps8_259,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630405,HWD29_gp082,HWD29_gp082,kps8_260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2723896,55630406,HWD29_gp081,HWD29_gp081,kps8_261,-,-,-,cell wall hydrolase,protein-coding,-,-,-,cell wall hydrolase,20210212,-
2723896,55636175,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
