#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1978922,55603030,HWB15_gp002,HWB15_gp002,phiA829_001,-,-,-,putative ribonuclease HI,protein-coding,-,-,-,putative ribonuclease HI,20210424,-
1978922,55603210,HWB15_gp096,HWB15_gp096,phiA829_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603211,HWB15_gp095,HWB15_gp095,phiA829_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603212,HWB15_gp094,HWB15_gp094,phiA829_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603213,HWB15_gp093,HWB15_gp093,phiA829_184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603214,HWB15_gt002,HWB15_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1978922,55603215,HWB15_gt003,HWB15_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1978922,55603216,HWB15_gt004,HWB15_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1978922,55603217,HWB15_gt005,HWB15_gt005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1978922,55603218,HWB15_gt006,HWB15_gt006,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1978922,55603219,HWB15_gt007,HWB15_gt007,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1978922,55603220,HWB15_gp185,HWB15_gp185,phiA829_092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603221,HWB15_gt009,HWB15_gt009,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1978922,55603222,HWB15_gp184,HWB15_gp184,phiA829_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603223,HWB15_gp001,HWB15_gp001,phiA829_185,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210424,-
1978922,55635700,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210602,-
