#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2065203,65111136,KNT81_gp002,KNT81_gp002,phiP43_002,-,-,-,nucleoid disruption protein,protein-coding,-,-,-,nucleoid disruption protein,20210607,-
2065203,65111316,KNT81_gp239,KNT81_gp239,phiP43_174,-,-,-,valyl tRNA synthetase modifier,protein-coding,-,-,-,valyl tRNA synthetase modifier,20210607,-
2065203,65111317,KNT81_gp238,KNT81_gp238,phiP43_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111318,KNT81_gp237,KNT81_gp237,phiP43_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111319,KNT81_gp236,KNT81_gp236,phiP43_177,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20210607,-
2065203,65111320,KNT81_gp235,KNT81_gp235,phiP43_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111321,KNT81_gp234,KNT81_gp234,phiP43_179,-,-,-,lysis inhibition regulator,protein-coding,-,-,-,lysis inhibition regulator,20210607,-
2065203,65111322,KNT81_gp233,KNT81_gp233,phiP43_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111323,KNT81_gp232,KNT81_gp232,phiP43_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111324,KNT81_gp231,KNT81_gp231,phiP43_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111325,KNT81_gp230,KNT81_gp230,phiP43_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111326,KNT81_gp229,KNT81_gp229,phiP43_184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111327,KNT81_gp228,KNT81_gp228,phiP43_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111328,KNT81_gp227,KNT81_gp227,phiP43_186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111329,KNT81_gp226,KNT81_gp226,phiP43_187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111330,KNT81_gp225,KNT81_gp225,phiP43_188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111331,KNT81_gp224,KNT81_gp224,phiP43_189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111332,KNT81_gp223,KNT81_gp223,phiP43_190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111333,KNT81_gp222,KNT81_gp222,phiP43_191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111334,KNT81_gp221,KNT81_gp221,phiP43_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111335,KNT81_gp220,KNT81_gp220,phiP43_193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111336,KNT81_gp219,KNT81_gp219,phiP43_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111337,KNT81_gp218,KNT81_gp218,phiP43_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111338,KNT81_gp217,KNT81_gp217,phiP43_196,-,-,-,putative fiber protein,protein-coding,-,-,-,putative fiber protein,20210607,-
2065203,65111339,KNT81_gp216,KNT81_gp216,phiP43_197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111340,KNT81_gp215,KNT81_gp215,phiP43_198,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2065203,65111341,KNT81_gp214,KNT81_gp214,phiP43_199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111342,KNT81_gp213,KNT81_gp213,phiP43_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111343,KNT81_gp212,KNT81_gp212,phiP43_201,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2065203,65111344,KNT81_gp211,KNT81_gp211,phiP43_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111345,KNT81_gp210,KNT81_gp210,phiP43_203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111346,KNT81_gp209,KNT81_gp209,phiP43_204,-,-,-,recombinase endonuclease VII,protein-coding,-,-,-,recombinase endonuclease VII,20210607,-
2065203,65111347,KNT81_gp208,KNT81_gp208,phiP43_205,-,-,-,anaerobic NTP reductase large subunit,protein-coding,-,-,-,anaerobic NTP reductase large subunit,20210607,-
2065203,65111348,KNT81_gp207,KNT81_gp207,phiP43_206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111349,KNT81_gp206,KNT81_gp206,phiP43_207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111350,KNT81_gp205,KNT81_gp205,phiP43_208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111351,KNT81_gp204,KNT81_gp204,phiP43_209,-,-,-,anaerobic NTP reductase small subunit,protein-coding,-,-,-,anaerobic NTP reductase small subunit,20210607,-
2065203,65111352,KNT81_gp203,KNT81_gp203,phiP43_210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111353,KNT81_gp202,KNT81_gp202,phiP43_211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111354,KNT81_gp201,KNT81_gp201,phiP43_212,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210607,-
2065203,65111355,KNT81_gp200,KNT81_gp200,phiP43_213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111356,KNT81_gp199,KNT81_gp199,phiP43_214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111357,KNT81_gp198,KNT81_gp198,phiP43_215,-,-,-,sigma factor for late transcription,protein-coding,-,-,-,sigma factor for late transcription,20210607,-
2065203,65111358,KNT81_gp197,KNT81_gp197,phiP43_216,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111359,KNT81_gp196,KNT81_gp196,phiP43_217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111360,KNT81_gp195,KNT81_gp195,phiP43_218,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210607,-
2065203,65111361,KNT81_gp194,KNT81_gp194,phiP43_219,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210607,-
2065203,65111362,KNT81_gp193,KNT81_gp193,phiP43_220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111363,KNT81_gp192,KNT81_gp192,phiP43_221,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20210607,-
2065203,65111364,KNT81_gp191,KNT81_gp191,phiP43_222,-,-,-,sliding clamp,protein-coding,-,-,-,sliding clamp,20210607,-
2065203,65111365,KNT81_gp190,KNT81_gp190,phiP43_223,-,-,-,DNA polymerase accessory protein clamp loader subunit,protein-coding,-,-,-,DNA polymerase accessory protein clamp loader subunit,20210607,-
2065203,65111366,KNT81_gp189,KNT81_gp189,phiP43_224,-,-,-,DNA polymerase accessory protein clamp loader subunit,protein-coding,-,-,-,DNA polymerase accessory protein clamp loader subunit,20210607,-
2065203,65111367,KNT81_gp188,KNT81_gp188,phiP43_225,-,-,-,translational repressor protein,protein-coding,-,-,-,translational repressor protein,20210607,-
2065203,65111368,KNT81_gp187,KNT81_gp187,phiP43_226,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111369,KNT81_gp186,KNT81_gp186,phiP43_227,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210607,-
2065203,65111370,KNT81_gp185,KNT81_gp185,phiP43_228,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111371,KNT81_gp184,KNT81_gp184,phiP43_229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111372,KNT81_gp183,KNT81_gp183,phiP43_230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111373,KNT81_gp182,KNT81_gp182,phiP43_231,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111374,KNT81_gp181,KNT81_gp181,phiP43_232,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111375,KNT81_gp180,KNT81_gp180,phiP43_233,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111376,KNT81_gp179,KNT81_gp179,phiP43_234,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20210607,-
2065203,65111377,KNT81_gp178,KNT81_gp178,phiP43_235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111378,KNT81_gp177,KNT81_gp177,phiP43_236,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111379,KNT81_gp176,KNT81_gp176,phiP43_237,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111380,KNT81_gp175,KNT81_gp175,phiP43_238,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111381,KNT81_gp174,KNT81_gp174,phiP43_239,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111382,KNT81_gp173,KNT81_gp173,phiP43_240,-,-,-,RecA-like recombinase protein,protein-coding,-,-,-,RecA-like recombinase protein,20210607,-
2065203,65111383,KNT81_gp172,KNT81_gp172,phiP43_241,-,-,-,Hef-like homing endonuclease,protein-coding,-,-,-,Hef-like homing endonuclease,20210607,-
2065203,65111384,KNT81_gp171,KNT81_gp171,phiP43_242,-,-,-,head vertex assembly chaperone,protein-coding,-,-,-,head vertex assembly chaperone,20210607,-
2065203,65111385,KNT81_gp170,KNT81_gp170,phiP43_243,-,-,-,replication and recombination DNA helicase,protein-coding,-,-,-,replication and recombination DNA helicase,20210607,-
2065203,65111386,KNT81_gp169,KNT81_gp169,phiP43_244,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111387,KNT81_gp168,KNT81_gp168,phiP43_245,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20210607,-
2065203,65111388,KNT81_gp167,KNT81_gp167,phiP43_246,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111389,KNT81_gp166,KNT81_gp166,phiP43_247,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111390,KNT81_gp165,KNT81_gp165,phiP43_248,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111391,KNT81_gp164,KNT81_gp164,phiP43_249,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111392,KNT81_gp163,KNT81_gp163,phiP43_250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111393,KNT81_gp162,KNT81_gp162,phiP43_251,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111394,KNT81_gp161,KNT81_gp161,phiP43_252,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111395,KNT81_gp160,KNT81_gp160,phiP43_253,-,-,-,dCTP pyrophosphatase,protein-coding,-,-,-,dCTP pyrophosphatase,20210607,-
2065203,65111396,KNT81_gp159,KNT81_gp159,phiP43_254,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111397,KNT81_gp158,KNT81_gp158,phiP43_255,-,-,-,anti-sigma factor,protein-coding,-,-,-,anti-sigma factor,20210607,-
2065203,65111398,KNT81_gp157,KNT81_gp157,phiP43_256,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2065203,65111399,KNT81_gp156,KNT81_gp156,phiP43_257,-,-,-,exonuclease A,protein-coding,-,-,-,exonuclease A,20210607,-
2065203,65111400,KNT81_gp155,KNT81_gp155,phiP43_258,-,-,-,cef protein,protein-coding,-,-,-,cef protein,20210607,-
2065203,65111401,KNT81_gp154,KNT81_gp154,phiP43_259,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111402,KNT81_gp153,KNT81_gp153,phiP43_260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111403,KNT81_gp152,KNT81_gp152,phiP43_261,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111404,KNT81_gp151,KNT81_gp151,phiP43_262,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111405,KNT81_gp150,KNT81_gp150,phiP43_263,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111406,KNT81_gp149,KNT81_gp149,phiP43_264,-,-,-,topoisomerase II large subunit,protein-coding,-,-,-,topoisomerase II large subunit,20210607,-
2065203,65111407,KNT81_gp148,KNT81_gp148,phiP43_265,-,-,-,DNA topoisomerase II large subunit,protein-coding,-,-,-,DNA topoisomerase II large subunit,20210607,-
2065203,65111408,KNT81_gp147,KNT81_gp147,phiP43_266,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111409,KNT81_gp146,KNT81_gp146,phiP43_267,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111410,KNT81_gp145,KNT81_gp145,phiP43_268,-,-,-,RIIA protein,protein-coding,-,-,-,RIIA protein,20210607,-
2065203,65111411,KNT81_gp144,KNT81_gp144,phiP43_269,-,-,-,protector from prophage-induced early lysis,protein-coding,-,-,-,protector from prophage-induced early lysis,20210607,-
2065203,65111412,KNT81_gp143,KNT81_gp143,phiP43_270,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111413,KNT81_gp001,KNT81_gp001,phiP43_001,-,-,-,DNA endonuclease IV,protein-coding,-,-,-,DNA endonuclease IV,20210607,-
2065203,65242696,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
