#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1511,9867457,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Clostridium sticklandii.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210314,-
1511,35558409,CLOST_RS02635,CLOST_RS02635,CLOST_tRNA21,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35558417,CLOST_RS05015,CLOST_RS05015,CLOST_tRNA30,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35558418,CLOST_RS01355,CLOST_RS01355,CLOST_0238,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558427,CLOST_RS07890,CLOST_RS07890,CLOST_1552,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200912,-
1511,35558432,CLOST_RS12300,CLOST_RS12300,CLOST_2431,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558434,CLOST_RS13050,CLOST_RS13050,CLOST_2576,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558445,CLOST_RS01945,CLOST_RS01945,CLOST_0361,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558450,CLOST_RS12175,CLOST_RS12175,CLOST_2405,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558451,CLOST_RS02060,CLOST_RS02060,CLOST_0385,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558455,CLOST_RS13745,CLOST_RS13745,CLOST_0812,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35558457,CLOST_RS13740,CLOST_RS13740,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35558465,CLOST_RS06425,CLOST_RS06425,CLOST_1250,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558469,CLOST_RS02585,CLOST_RS02585,CLOST_tRNA11,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35558472,CLOST_RS03135,CLOST_RS03135,CLOST_0574,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35558474,CLOST_RS07770,CLOST_RS07770,CLOST_1524,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558478,CLOST_RS10120,CLOST_RS10120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35558481,CLOST_RS13065,CLOST_RS13065,CLOST_2579,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35558486,CLOST_RS00995,CLOST_RS00995,CLOST_0166,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558501,CLOST_RS12830,CLOST_RS12830,CLOST_2537,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558514,CLOST_RS08620,CLOST_RS08620,CLOST_1701,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558521,CLOST_RS12915,CLOST_RS12915,CLOST_2554,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558524,CLOST_RS13505,CLOST_RS13505,CLOST_0860,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558531,CLOST_RS03245,CLOST_RS03245,CLOST_0595,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558546,CLOST_RS01255,CLOST_RS01255,CLOST_0218,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558554,CLOST_RS11965,CLOST_RS11965,CLOST_tRNA53,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35558561,CLOST_RS00515,CLOST_RS00515,CLOST_0065,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558584,CLOST_RS09635,CLOST_RS09635,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35558586,CLOST_RS01055,CLOST_RS01055,CLOST_0178,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35558587,CLOST_RS04985,CLOST_RS04985,CLOST_0953,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558596,CLOST_RS12970,CLOST_RS12970,CLOST_tRNA33,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35558607,CLOST_RS11995,CLOST_RS11995,CLOST_tRNA47,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35558609,CLOST_RS12010,CLOST_RS12010,CLOST_tRNA44,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35558613,CLOST_RS10470,CLOST_RS10470,CLOST_2077,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558615,CLOST_RS10260,CLOST_RS10260,CLOST_2034,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200912,-
1511,35558620,CLOST_RS10415,CLOST_RS10415,CLOST_2066,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558624,CLOST_RS12450,CLOST_RS12450,CLOST_2461,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558629,CLOST_RS06430,CLOST_RS06430,CLOST_1251,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558637,CLOST_RS11670,CLOST_RS11670,CLOST_2324,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558638,CLOST_RS13665,CLOST_RS13665,CLOST_2333,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35558640,CLOST_RS11960,CLOST_RS11960,CLOST_tRNA54,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35558642,CLOST_RS07860,CLOST_RS07860,CLOST_1545,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558652,CLOST_RS04485,CLOST_RS04485,CLOST_0852,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35558653,CLOST_RS01900,CLOST_RS01900,CLOST_0352,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558660,CLOST_RS02360,CLOST_RS02360,CLOST_0446,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35558663,CLOST_RS02005,CLOST_RS02005,CLOST_0373,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200926,-
1511,35558666,CLOST_RS12040,CLOST_RS12040,CLOST_tRNA38,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35558673,CLOST_RS09210,CLOST_RS09210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35558679,CLOST_RS08735,CLOST_RS08735,CLOST_1724,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200912,-
1511,35558684,CLOST_RS10800,CLOST_RS10800,CLOST_2146,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35558696,CLOST_RS01865,CLOST_RS01865,CLOST_0344,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558706,CLOST_RS07470,CLOST_RS07470,CLOST_1461,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558708,CLOST_RS12135,CLOST_RS12135,CLOST_2397,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558724,CLOST_RS03520,CLOST_RS03520,CLOST_0653,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558734,CLOST_RS03975,CLOST_RS03975,CLOST_0742,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558740,CLOST_RS12375,CLOST_RS12375,CLOST_2445,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558746,CLOST_RS11880,CLOST_RS11880,CLOST_2367,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200912,-
1511,35558748,CLOST_RS02595,CLOST_RS02595,CLOST_tRNA13,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35558761,CLOST_RS02615,CLOST_RS02615,CLOST_tRNA17,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35558764,CLOST_RS13620,CLOST_RS13620,CLOST_2037,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200912,-
1511,35558765,CLOST_RS06075,CLOST_RS06075,CLOST_1177,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558773,CLOST_RS13610,CLOST_RS13610,CLOST_1985,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35558783,CLOST_RS12025,CLOST_RS12025,CLOST_tRNA41,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35558787,CLOST_RS10250,CLOST_RS10250,CLOST_2032,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558788,CLOST_RS07790,CLOST_RS07790,CLOST_1528,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558812,CLOST_RS02625,CLOST_RS02625,CLOST_tRNA19,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35558815,CLOST_RS08645,CLOST_RS08645,CLOST_1706,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558822,CLOST_RS11475,CLOST_RS11475,CLOST_2283,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558827,CLOST_RS02510,CLOST_RS02510,CLOST_0476,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35558829,CLOST_RS11985,CLOST_RS11985,CLOST_tRNA49,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35558835,CLOST_RS06845,CLOST_RS06845,CLOST_1338,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558841,CLOST_RS03055,CLOST_RS03055,CLOST_0558,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558843,CLOST_RS06435,CLOST_RS06435,CLOST_1252,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558844,CLOST_RS05580,CLOST_RS05580,CLOST_1076,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558855,CLOST_RS02000,CLOST_RS02000,CLOST_0372,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558858,CLOST_RS02620,CLOST_RS02620,CLOST_tRNA18,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35558859,CLOST_RS06730,CLOST_RS06730,CLOST_1314,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35558861,CLOST_RS00675,CLOST_RS00675,CLOST_0099,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200912,-
1511,35558863,CLOST_RS08665,CLOST_RS08665,CLOST_1710,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558872,CLOST_RS03060,CLOST_RS03060,CLOST_0559,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558883,CLOST_RS02835,CLOST_RS02835,CLOST_0514,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558884,CLOST_RS06470,CLOST_RS06470,CLOST_1259,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558888,CLOST_RS03550,CLOST_RS03550,CLOST_0659,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200912,-
1511,35558893,CLOST_RS01910,CLOST_RS01910,CLOST_0354,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558898,CLOST_RS13625,CLOST_RS13625,CLOST_2055,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558899,CLOST_RS13575,CLOST_RS13575,CLOST_1504,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35558908,CLOST_RS13595,CLOST_RS13595,CLOST_1901,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558911,CLOST_RS13720,CLOST_RS13720,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35558916,CLOST_RS05140,CLOST_RS05140,CLOST_0984,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558917,CLOST_RS06515,CLOST_RS06515,CLOST_1269,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558920,CLOST_RS09285,CLOST_RS09285,CLOST_1836,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558921,CLOST_RS06520,CLOST_RS06520,CLOST_1270,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558931,CLOST_RS02655,CLOST_RS02655,CLOST_tRNA23,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35558932,CLOST_RS13695,CLOST_RS13695,CLOST_2544,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558956,CLOST_RS10115,CLOST_RS10115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558962,CLOST_RS11990,CLOST_RS11990,CLOST_tRNA48,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35558965,CLOST_RS10380,CLOST_RS10380,CLOST_2059,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558966,CLOST_RS08170,CLOST_RS08170,CLOST_1609,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558969,CLOST_RS00565,CLOST_RS00565,CLOST_0076,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35558970,CLOST_RS03165,CLOST_RS03165,CLOST_0580,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200912,-
1511,35558972,CLOST_RS10645,CLOST_RS10645,CLOST_2114,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558974,CLOST_RS03745,CLOST_RS03745,CLOST_0696,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558982,CLOST_RS07905,CLOST_RS07905,CLOST_1555,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558986,CLOST_RS01995,CLOST_RS01995,CLOST_0371,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558988,CLOST_RS12895,CLOST_RS12895,CLOST_2550,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558989,CLOST_RS09865,CLOST_RS09865,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35558994,CLOST_RS06475,CLOST_RS06475,CLOST_1260,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559001,CLOST_RS06095,CLOST_RS06095,CLOST_1181,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559008,CLOST_RS01605,CLOST_RS01605,CLOST_0289,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559011,CLOST_RS12955,CLOST_RS12955,CLOST_tRNA36,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35559014,CLOST_RS01915,CLOST_RS01915,CLOST_0355,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559021,CLOST_RS05940,CLOST_RS05940,CLOST_1150,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559027,CLOST_RS07780,CLOST_RS07780,CLOST_1526,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559031,CLOST_RS02660,CLOST_RS02660,CLOST_tRNA24,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35559036,CLOST_RS06380,CLOST_RS06380,CLOST_1240,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559048,CLOST_RS06930,CLOST_RS06930,CLOST_tRNA59,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35559049,CLOST_RS06440,CLOST_RS06440,CLOST_1253,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559063,CLOST_RS07855,CLOST_RS07855,CLOST_1544,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559071,CLOST_RS06820,CLOST_RS06820,CLOST_1333,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200912,-
1511,35559082,CLOST_RS13600,CLOST_RS13600,CLOST_1959,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559097,CLOST_RS10625,CLOST_RS10625,CLOST_2110,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35559098,CLOST_RS08870,CLOST_RS08870,CLOST_1752,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559106,CLOST_RS11680,CLOST_RS11680,CLOST_2326,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35559140,CLOST_RS07265,CLOST_RS07265,CLOST_1420,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559153,CLOST_RS06565,CLOST_RS06565,CLOST_1279,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559157,CLOST_RS07185,CLOST_RS07185,CLOST_1405,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200905,-
1511,35559173,CLOST_RS11300,CLOST_RS11300,CLOST_2248,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559174,CLOST_RS02630,CLOST_RS02630,CLOST_tRNA20,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35559203,CLOST_RS10320,CLOST_RS10320,CLOST_2046,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559214,CLOST_RS04240,CLOST_RS04240,CLOST_0796,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559221,CLOST_RS06465,CLOST_RS06465,CLOST_1258,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559228,CLOST_RS13685,CLOST_RS13685,CLOST_2486,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559235,CLOST_RS11745,CLOST_RS11745,CLOST_2339,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559238,CLOST_RS09200,CLOST_RS09200,CLOST_1819,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559239,CLOST_RS12100,CLOST_RS12100,CLOST_2389,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559252,CLOST_RS01770,CLOST_RS01770,CLOST_0325,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559267,CLOST_RS00545,CLOST_RS00545,CLOST_0072,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200912,-
1511,35559292,CLOST_RS03970,CLOST_RS03970,CLOST_0741,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35559301,CLOST_RS09880,CLOST_RS09880,CLOST_1958,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35559306,CLOST_RS10375,CLOST_RS10375,CLOST_2058,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559314,CLOST_RS05265,CLOST_RS05265,CLOST_1009,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559322,CLOST_RS12790,CLOST_RS12790,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559323,CLOST_RS01765,CLOST_RS01765,CLOST_0324,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559325,CLOST_RS12370,CLOST_RS12370,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35559327,CLOST_RS07960,CLOST_RS07960,CLOST_1567,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559331,CLOST_RS07715,CLOST_RS07715,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559338,CLOST_RS10020,CLOST_RS10020,CLOST_1986,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559342,CLOST_RS02355,CLOST_RS02355,CLOST_0445,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559354,CLOST_RS00890,CLOST_RS00890,CLOST_0145,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559372,CLOST_RS05520,CLOST_RS05520,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35559373,CLOST_RS10695,CLOST_RS10695,CLOST_2124,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35559375,CLOST_RS07950,CLOST_RS07950,CLOST_1565,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559380,CLOST_RS10105,CLOST_RS10105,CLOST_2004,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35559381,CLOST_RS07430,CLOST_RS07430,CLOST_1453,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35559382,CLOST_RS12430,CLOST_RS12430,CLOST_2457,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559387,CLOST_RS13580,CLOST_RS13580,CLOST_1529,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559399,CLOST_RS11675,CLOST_RS11675,CLOST_2325,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35559401,CLOST_RS02910,CLOST_RS02910,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559413,CLOST_RS01130,CLOST_RS01130,CLOST_0193,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35559414,CLOST_RS09905,CLOST_RS09905,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35559416,CLOST_RS09685,CLOST_RS09685,CLOST_1917,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200912,-
1511,35559417,CLOST_RS01105,CLOST_RS01105,CLOST_0188,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559421,CLOST_RS02570,CLOST_RS02570,CLOST_tRNA8,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35559424,CLOST_RS01880,CLOST_RS01880,CLOST_0348,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35559427,CLOST_RS11845,CLOST_RS11845,CLOST_2360,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559433,CLOST_RS07910,CLOST_RS07910,CLOST_1556,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559445,CLOST_RS12960,CLOST_RS12960,CLOST_tRNA35,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35559451,CLOST_RS09510,CLOST_RS09510,CLOST_1882,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559459,CLOST_RS09805,CLOST_RS09805,CLOST_1943,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559460,CLOST_RS10530,CLOST_RS10530,CLOST_2091,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35559463,CLOST_RS03805,CLOST_RS03805,CLOST_0708,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200912,-
1511,35559464,CLOST_RS12760,CLOST_RS12760,CLOST_2522,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559482,CLOST_RS06090,CLOST_RS06090,CLOST_1180,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559485,CLOST_RS04300,CLOST_RS04300,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35559488,CLOST_RS07690,CLOST_RS07690,CLOST_1507,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559493,CLOST_RS07750,CLOST_RS07750,CLOST_1520,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35559499,CLOST_RS07680,CLOST_RS07680,CLOST_1505,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35559501,CLOST_RS13550,CLOST_RS13550,CLOST_1178,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200912,-
1511,35559504,CLOST_RS07760,CLOST_RS07760,CLOST_1522,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559506,CLOST_RS13430,CLOST_RS13430,CLOST_0454,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35559507,CLOST_RS11955,CLOST_RS11955,CLOST_tRNA55,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35559526,CLOST_RS12405,CLOST_RS12405,CLOST_2452,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559527,CLOST_RS12755,CLOST_RS12755,CLOST_2521,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559528,CLOST_RS03050,CLOST_RS03050,CLOST_0557,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559544,CLOST_RS06540,CLOST_RS06540,CLOST_1274,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559552,CLOST_RS11640,CLOST_RS11640,CLOST_2317,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559567,CLOST_RS02560,CLOST_RS02560,CLOST_tRNA6,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35559574,CLOST_RS07755,CLOST_RS07755,CLOST_1521,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559577,CLOST_RS02340,CLOST_RS02340,CLOST_0442,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559579,CLOST_RS13495,CLOST_RS13495,CLOST_0815,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35559585,CLOST_RS01440,CLOST_RS01440,CLOST_0255,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559596,CLOST_RS12055,CLOST_RS12055,CLOST_tRNA37,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35559601,CLOST_RS10595,CLOST_RS10595,CLOST_2104,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35559603,CLOST_RS07815,CLOST_RS07815,CLOST_1533,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559605,CLOST_RS11975,CLOST_RS11975,CLOST_tRNA51,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35559608,CLOST_RS00460,CLOST_RS00460,CLOST_0054,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559611,CLOST_RS02540,CLOST_RS02540,CLOST_tRNA3,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35559613,CLOST_RS07720,CLOST_RS07720,CLOST_1514,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559632,CLOST_RS07775,CLOST_RS07775,CLOST_1525,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559636,CLOST_RS10295,CLOST_RS10295,CLOST_2041,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35559637,CLOST_RS08805,CLOST_RS08805,CLOST_1739,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35559643,CLOST_RS02565,CLOST_RS02565,CLOST_tRNA7,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
