#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2420240,65055986,KMC00_gp241,KMC00_gp241,DalCa_241,-,-,-,hinge connector of long tail fiber proximal protein,protein-coding,-,-,-,hinge connector of long tail fiber proximal protein,20210609,-
2420240,65056164,KMC00_gp059,KMC00_gp059,DalCa_059,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210607,-
2420240,65056165,KMC00_gp075,KMC00_gp075,DalCa_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056166,KMC00_gp086,KMC00_gp086,DalCa_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056167,KMC00_gp097,KMC00_gp097,DalCa_097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056168,KMC00_gp133,KMC00_gp133,DalCa_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056169,KMC00_gp228,KMC00_gp228,DalCa_228,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210607,-
2420240,65056170,KMC00_gp266,KMC00_gp266,DalCa_266,-,-,-,DNA endonuclease IV,protein-coding,-,-,-,DNA endonuclease IV,20210607,-
2420240,65056171,KMC00_gp005,KMC00_gp005,DalCa_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056172,KMC00_gp016,KMC00_gp016,DalCa_016,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2420240,65056173,KMC00_gp038,KMC00_gp038,DalCa_038,-,-,-,discriminator of mRNA deg,protein-coding,-,-,-,discriminator of mRNA deg,20210609,-
2420240,65056174,KMC00_gp141,KMC00_gp141,DalCa_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2420240,65056175,KMC00_gp046,KMC00_gp046,DalCa_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056176,KMC00_gp207,KMC00_gp207,DalCa_207,-,-,-,head assembly chaperone protein,protein-coding,-,-,-,head assembly chaperone protein,20210612,-
2420240,65056177,KMC00_gp015,KMC00_gp015,DalCa_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056178,KMC00_gp232,KMC00_gp232,DalCa_232,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056179,KMC00_gp014,KMC00_gp014,DalCa_014,-,-,-,dextranase,protein-coding,-,-,-,dextranase,20210607,-
2420240,65056180,KMC00_gp087,KMC00_gp087,DalCa_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056181,KMC00_gp233,KMC00_gp233,DalCa_233,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2420240,65056182,KMC00_gp168,KMC00_gp168,DalCa_168,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210607,-
2420240,65056183,KMC00_gp029,KMC00_gp029,DalCa_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056184,KMC00_gp048,KMC00_gp048,DalCa_048,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210607,-
2420240,65056185,KMC00_gp210,KMC00_gp210,DalCa_210,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210609,-
2420240,65056186,KMC00_gp213,KMC00_gp213,DalCa_213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056187,KMC00_gp140,KMC00_gp140,DalCa_140,-,-,-,internal head protein,protein-coding,-,-,-,internal head protein,20210607,-
2420240,65056188,KMC00_gp143,KMC00_gp143,DalCa_143,-,-,-,deoxynucleoside monophosphate kinase,protein-coding,-,-,-,deoxynucleoside monophosphate kinase,20210607,-
2420240,65056189,KMC00_gp181,KMC00_gp181,DalCa_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056190,KMC00_gp220,KMC00_gp220,DalCa_220,-,-,-,outer membrane lipoprotein Rz1,protein-coding,-,-,-,outer membrane lipoprotein Rz1,20210607,-
2420240,65056191,KMC00_gp235,KMC00_gp235,DalCa_235,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20210609,-
2420240,65056192,KMC00_gp257,KMC00_gp257,DalCa_257,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056193,KMC00_gp183,KMC00_gp183,DalCa_183,-,-,-,"recombination, repair and ssDNA binding protein",protein-coding,-,-,-,"recombination, repair and ssDNA binding protein",20210609,-
2420240,65056194,KMC00_gp050,KMC00_gp050,DalCa_050,-,-,-,translation repressor protein,protein-coding,-,-,-,translation repressor protein,20210612,-
2420240,65056195,KMC00_gp121,KMC00_gp121,DalCa_121,-,-,-,autonomous glycyl radical cofactor,protein-coding,-,-,-,autonomous glycyl radical cofactor,20210607,-
2420240,65056196,KMC00_gp206,KMC00_gp206,DalCa_206,-,-,-,rIII lysis inhibition accessory protein,protein-coding,-,-,-,rIII lysis inhibition accessory protein,20210607,-
2420240,65056197,KMC00_gp009,KMC00_gp009,DalCa_009,-,-,-,modifier of transcription,protein-coding,-,-,-,modifier of transcription,20210607,-
2420240,65056198,KMC00_gp068,KMC00_gp068,DalCa_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056199,KMC00_gp076,KMC00_gp076,DalCa_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056200,KMC00_gp085,KMC00_gp085,DalCa_085,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2420240,65056201,KMC00_gp262,KMC00_gp262,DalCa_262,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056202,KMC00_gp114,KMC00_gp114,DalCa_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2420240,65056203,KMC00_gp028,KMC00_gp028,DalCa_028,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210607,-
2420240,65056204,KMC00_gp058,KMC00_gp058,DalCa_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056205,KMC00_gp113,KMC00_gp113,DalCa_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056206,KMC00_gp201,KMC00_gp201,DalCa_201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056207,KMC00_gp003,KMC00_gp003,DalCa_003,-,-,-,DNA topoisomerase subunit,protein-coding,-,-,-,DNA topoisomerase subunit,20210607,-
2420240,65056208,KMC00_gp025,KMC00_gp025,DalCa_025,-,-,-,transcription modulator under heat shock,protein-coding,-,-,-,transcription modulator under heat shock,20210607,-
2420240,65056209,KMC00_gp063,KMC00_gp063,DalCa_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2420240,65056210,KMC00_gp105,KMC00_gp105,DalCa_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056211,KMC00_gp177,KMC00_gp177,DalCa_177,-,-,-,head outer capsid protein,protein-coding,-,-,-,head outer capsid protein,20210607,-
2420240,65056212,KMC00_gp031,KMC00_gp031,DalCa_031,-,-,-,dCTP pyrophosphatase,protein-coding,-,-,-,dCTP pyrophosphatase,20210607,-
2420240,65056213,KMC00_gp033,KMC00_gp033,DalCa_033,-,-,-,"DNA primase/helicase, primase subunit",protein-coding,-,-,-,"DNA primase/helicase, primase subunit",20210607,-
2420240,65056214,KMC00_gp070,KMC00_gp070,DalCa_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2420240,65056215,KMC00_gp216,KMC00_gp216,DalCa_216,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056216,KMC00_gp202,KMC00_gp202,DalCa_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056217,KMC00_gp217,KMC00_gp217,DalCa_217,-,-,-,"3'-phosphatase, 5'-polynucleotide kinase",protein-coding,-,-,-,"3'-phosphatase, 5'-polynucleotide kinase",20210607,-
2420240,65056218,KMC00_gp264,KMC00_gp264,DalCa_264,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056219,KMC00_gp084,KMC00_gp084,DalCa_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056220,KMC00_gp104,KMC00_gp104,DalCa_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056221,KMC00_gp269,KMC00_gp269,DalCa_269,-,-,-,rIIB protector from prophage-induced early lysis,protein-coding,-,-,-,rIIB protector from prophage-induced early lysis,20210607,-
2420240,65056222,KMC00_gp056,KMC00_gp056,DalCa_056,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210607,-
2420240,65056223,KMC00_gp065,KMC00_gp065,DalCa_065,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210609,-
2420240,65056224,KMC00_gp106,KMC00_gp106,DalCa_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056225,KMC00_gp196,KMC00_gp196,DalCa_196,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210607,-
2420240,65056226,KMC00_gp111,KMC00_gp111,DalCa_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056227,KMC00_gp139,KMC00_gp139,DalCa_139,-,-,-,internal head protein,protein-coding,-,-,-,internal head protein,20210607,-
2420240,65056228,KMC00_gp268,KMC00_gp268,DalCa_268,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056229,KMC00_gp022,KMC00_gp022,DalCa_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056230,KMC00_gp039,KMC00_gp039,DalCa_039,-,-,-,DNA primase/helicase subunit,protein-coding,-,-,-,DNA primase/helicase subunit,20210609,-
2420240,65056231,KMC00_gp073,KMC00_gp073,DalCa_073,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210607,-
2420240,65056232,KMC00_gp007,KMC00_gp007,DalCa_007,-,-,-,goF mRNA metabolism modulator,protein-coding,-,-,-,goF mRNA metabolism modulator,20210607,-
2420240,65056233,KMC00_gp030,KMC00_gp030,DalCa_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056234,KMC00_gp062,KMC00_gp062,DalCa_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056235,KMC00_gp103,KMC00_gp103,DalCa_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056236,KMC00_gp112,KMC00_gp112,DalCa_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056237,KMC00_gp182,KMC00_gp182,DalCa_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056238,KMC00_gp024,KMC00_gp024,DalCa_024,-,-,-,transcription modulator,protein-coding,-,-,-,transcription modulator,20210607,-
2420240,65056239,KMC00_gp035,KMC00_gp035,DalCa_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056240,KMC00_gp109,KMC00_gp109,DalCa_109,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20210607,-
2420240,65056241,KMC00_gp260,KMC00_gp260,DalCa_260,-,-,-,nuclear disruption protein,protein-coding,-,-,-,nuclear disruption protein,20210607,-
2420240,65056242,KMC00_gp082,KMC00_gp082,DalCa_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056243,KMC00_gp254,KMC00_gp254,DalCa_254,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056244,KMC00_gp248,KMC00_gp248,DalCa_248,-,-,-,inhibitor of MrcBC restriction endonuclease,protein-coding,-,-,-,inhibitor of MrcBC restriction endonuclease,20210607,-
2420240,65056245,KMC00_gp098,KMC00_gp098,DalCa_098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056246,KMC00_gp174,KMC00_gp174,DalCa_174,-,-,-,RNA ligase 3,protein-coding,-,-,-,RNA ligase 3,20210607,-
2420240,65056247,KMC00_gp258,KMC00_gp258,DalCa_258,-,-,-,DNA topoisomerase,protein-coding,-,-,-,DNA topoisomerase,20210607,-
2420240,65056248,KMC00_gp071,KMC00_gp071,DalCa_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2420240,65056249,KMC00_gp251,KMC00_gp251,DalCa_251,-,-,-,anti-restriction nuclease,protein-coding,-,-,-,anti-restriction nuclease,20210607,-
2420240,65056250,KMC00_gp265,KMC00_gp265,DalCa_265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056251,KMC00_gp263,KMC00_gp263,DalCa_263,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056252,KMC00_gp250,KMC00_gp250,DalCa_250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056253,KMC00_gp077,KMC00_gp077,DalCa_077,-,-,-,anaerobic nucleotide reductase subunit,protein-coding,-,-,-,anaerobic nucleotide reductase subunit,20210607,-
2420240,65056254,KMC00_gp001,KMC00_gp001,DalCa_001,-,-,-,protector from prophage-induced early lysis,protein-coding,-,-,-,protector from prophage-induced early lysis,20210607,-
2420240,65242940,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
