#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2696426,62613001,JR322_gp001,JR322_gp001,muut_1,-,-,-,putative head stabilization/decoration protein,protein-coding,-,-,-,putative head stabilization/decoration protein,20210208,-
2696426,62613194,JR322_gp054,JR322_gp054,muut_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2696426,62613195,JR322_gp053,JR322_gp053,muut_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613196,JR322_gp052,JR322_gp052,muut_196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613197,JR322_gp051,JR322_gp051,muut_197,-,-,-,putative cell wall hydrolase,protein-coding,-,-,-,putative cell wall hydrolase,20210313,-
2696426,62613198,JR322_gp050,JR322_gp050,muut_198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613199,JR322_gp049,JR322_gp049,muut_199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613200,JR322_gp048,JR322_gp048,muut_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613201,JR322_gp047,JR322_gp047,muut_201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613202,JR322_gp046,JR322_gp046,muut_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613203,JR322_gp045,JR322_gp045,muut_203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2696426,62613204,JR322_gp044,JR322_gp044,muut_204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613205,JR322_gp043,JR322_gp043,muut_205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613206,JR322_gp042,JR322_gp042,muut_206,-,-,-,putative primase/helicase,protein-coding,-,-,-,putative primase/helicase,20210313,-
2696426,62613207,JR322_gp041,JR322_gp041,muut_207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613208,JR322_gp040,JR322_gp040,muut_208,-,-,-,"putative DNA polymerase, part I",protein-coding,-,-,-,"putative DNA polymerase, part I",20210313,-
2696426,62613209,JR322_gp039,JR322_gp039,muut_209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613210,JR322_gp038,JR322_gp038,muut_210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613211,JR322_gp037,JR322_gp037,muut_211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613212,JR322_gp036,JR322_gp036,muut_212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2696426,62613213,JR322_gp035,JR322_gp035,muut_213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613214,JR322_gp034,JR322_gp034,muut_214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613215,JR322_gp033,JR322_gp033,muut_215,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210313,-
2696426,62613216,JR322_gp032,JR322_gp032,muut_216,-,-,-,colanic acid-degrading protein,protein-coding,-,-,-,colanic acid-degrading protein,20210313,-
2696426,62613217,JR322_gp031,JR322_gp031,muut_217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613218,JR322_gp030,JR322_gp030,muut_218,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613219,JR322_gp029,JR322_gp029,muut_219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613220,JR322_gp028,JR322_gp028,muut_220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613221,JR322_gp027,JR322_gp027,muut_221,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613222,JR322_gp026,JR322_gp026,muut_222,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613223,JR322_gp025,JR322_gp025,muut_223,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613224,JR322_gp024,JR322_gp024,muut_224,-,-,-,tail fiber,protein-coding,-,-,-,tail fiber,20210313,-
2696426,62613225,JR322_gp023,JR322_gp023,muut_225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613226,JR322_gp022,JR322_gp022,muut_226,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613227,JR322_gp021,JR322_gp021,muut_227,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2696426,62613228,JR322_gp020,JR322_gp020,muut_228,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613229,JR322_gp019,JR322_gp019,muut_229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613230,JR322_gp018,JR322_gp018,muut_230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613231,JR322_gp017,JR322_gp017,muut_231,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613232,JR322_gp016,JR322_gp016,muut_232,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613233,JR322_gp015,JR322_gp015,muut_233,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210313,-
2696426,62613234,JR322_gp014,JR322_gp014,muut_234,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210313,-
2696426,62613235,JR322_gp013,JR322_gp013,muut_235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613236,JR322_gp012,JR322_gp012,muut_236,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613237,JR322_gp011,JR322_gp011,muut_237,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613238,JR322_gp010,JR322_gp010,muut_238,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613239,JR322_gp009,JR322_gp009,muut_239,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613240,JR322_gt002,JR322_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20210208,-
2696426,62613241,JR322_gt003,JR322_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20210208,-
2696426,62613242,JR322_gt004,JR322_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20210208,-
2696426,62613243,JR322_gt005,JR322_gt005,-,-,-,-,tRNA,tRNA,-,-,-,-,20210208,-
2696426,62613244,JR322_gt006,JR322_gt006,-,-,-,-,tRNA,tRNA,-,-,-,-,20210208,-
2696426,62613245,JR322_gt007,JR322_gt007,-,-,-,-,tRNA,tRNA,-,-,-,-,20210208,-
2696426,62613246,JR322_gp239,JR322_gp239,muut_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613247,JR322_gt009,JR322_gt009,-,-,-,-,tRNA,tRNA,-,-,-,-,20210208,-
2696426,62613248,JR322_gt010,JR322_gt010,-,-,-,-,tRNA,tRNA,-,-,-,-,20210208,-
2696426,62613249,JR322_gt011,JR322_gt011,-,-,-,-,tRNA,tRNA,-,-,-,-,20210208,-
2696426,62613250,JR322_gt012,JR322_gt012,-,-,-,-,tRNA,tRNA,-,-,-,-,20210208,-
2696426,62613251,JR322_gp238,JR322_gp238,muut_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613252,JR322_gt014,JR322_gt014,-,-,-,-,tRNA,tRNA,-,-,-,-,20210208,-
2696426,62613253,JR322_gt015,JR322_gt015,-,-,-,-,tRNA,tRNA,-,-,-,-,20210208,-
2696426,62613254,JR322_gp237,JR322_gp237,muut_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62648238,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210210,-
