#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
578459,28972427,RHOBADRAFT_10053,RHOBADRAFT_10053,-,-,Unknown,-,60S ribosomal protein L12,protein-coding,-,-,-,60S ribosomal protein L12,20200205,-
578459,28973999,RHOBADRAFT_38691,RHOBADRAFT_38691,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974000,RHOBADRAFT_38700,RHOBADRAFT_38700,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974001,RHOBADRAFT_38705,RHOBADRAFT_38705,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974002,RHOBADRAFT_38712,RHOBADRAFT_38712,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974003,RHOBADRAFT_38714,RHOBADRAFT_38714,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974004,RHOBADRAFT_38717,RHOBADRAFT_38717,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974005,RHOBADRAFT_38756,RHOBADRAFT_38756,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974006,RHOBADRAFT_38760,RHOBADRAFT_38760,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974007,RHOBADRAFT_38763,RHOBADRAFT_38763,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974008,RHOBADRAFT_38776,RHOBADRAFT_38776,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974009,RHOBADRAFT_38784,RHOBADRAFT_38784,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974010,RHOBADRAFT_38795,RHOBADRAFT_38795,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974011,RHOBADRAFT_38804,RHOBADRAFT_38804,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974012,RHOBADRAFT_38805,RHOBADRAFT_38805,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974013,RHOBADRAFT_38809,RHOBADRAFT_38809,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974014,RHOBADRAFT_38815,RHOBADRAFT_38815,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974015,RHOBADRAFT_38825,RHOBADRAFT_38825,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974016,RHOBADRAFT_38826,RHOBADRAFT_38826,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974017,RHOBADRAFT_38829,RHOBADRAFT_38829,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974018,RHOBADRAFT_38833,RHOBADRAFT_38833,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974019,RHOBADRAFT_38834,RHOBADRAFT_38834,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974020,RHOBADRAFT_38856,RHOBADRAFT_38856,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974021,RHOBADRAFT_38864,RHOBADRAFT_38864,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974022,RHOBADRAFT_38875,RHOBADRAFT_38875,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974023,RHOBADRAFT_38883,RHOBADRAFT_38883,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974024,RHOBADRAFT_38890,RHOBADRAFT_38890,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974025,RHOBADRAFT_38894,RHOBADRAFT_38894,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974026,RHOBADRAFT_38898,RHOBADRAFT_38898,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974027,RHOBADRAFT_38918,RHOBADRAFT_38918,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974028,RHOBADRAFT_38922,RHOBADRAFT_38922,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974029,RHOBADRAFT_38935,RHOBADRAFT_38935,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974030,RHOBADRAFT_38957,RHOBADRAFT_38957,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974031,RHOBADRAFT_38974,RHOBADRAFT_38974,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974032,RHOBADRAFT_38979,RHOBADRAFT_38979,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974033,RHOBADRAFT_38992,RHOBADRAFT_38992,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974034,RHOBADRAFT_39036,RHOBADRAFT_39036,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974035,RHOBADRAFT_39044,RHOBADRAFT_39044,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974036,RHOBADRAFT_39051,RHOBADRAFT_39051,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974037,RHOBADRAFT_39057,RHOBADRAFT_39057,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974038,RHOBADRAFT_39067,RHOBADRAFT_39067,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974039,RHOBADRAFT_39072,RHOBADRAFT_39072,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974040,RHOBADRAFT_39086,RHOBADRAFT_39086,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974041,RHOBADRAFT_39090,RHOBADRAFT_39090,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974042,RHOBADRAFT_39109,RHOBADRAFT_39109,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974043,RHOBADRAFT_39117,RHOBADRAFT_39117,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974044,RHOBADRAFT_39140,RHOBADRAFT_39140,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974045,RHOBADRAFT_39164,RHOBADRAFT_39164,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974046,RHOBADRAFT_39171,RHOBADRAFT_39171,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974047,RHOBADRAFT_39174,RHOBADRAFT_39174,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974048,RHOBADRAFT_39181,RHOBADRAFT_39181,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974049,RHOBADRAFT_39198,RHOBADRAFT_39198,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974050,RHOBADRAFT_39201,RHOBADRAFT_39201,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974051,RHOBADRAFT_39214,RHOBADRAFT_39214,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974052,RHOBADRAFT_39220,RHOBADRAFT_39220,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974053,RHOBADRAFT_39236,RHOBADRAFT_39236,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974054,RHOBADRAFT_39247,RHOBADRAFT_39247,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974055,RHOBADRAFT_39248,RHOBADRAFT_39248,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974056,RHOBADRAFT_39254,RHOBADRAFT_39254,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974057,RHOBADRAFT_39255,RHOBADRAFT_39255,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974058,RHOBADRAFT_39282,RHOBADRAFT_39282,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974059,RHOBADRAFT_39298,RHOBADRAFT_39298,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974060,RHOBADRAFT_39308,RHOBADRAFT_39308,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974061,RHOBADRAFT_39309,RHOBADRAFT_39309,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974062,RHOBADRAFT_39312,RHOBADRAFT_39312,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974063,RHOBADRAFT_39313,RHOBADRAFT_39313,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974064,RHOBADRAFT_39341,RHOBADRAFT_39341,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974065,RHOBADRAFT_39345,RHOBADRAFT_39345,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974066,RHOBADRAFT_39357,RHOBADRAFT_39357,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974067,RHOBADRAFT_39362,RHOBADRAFT_39362,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974068,RHOBADRAFT_39434,RHOBADRAFT_39434,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974069,RHOBADRAFT_39442,RHOBADRAFT_39442,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974070,RHOBADRAFT_39448,RHOBADRAFT_39448,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974071,RHOBADRAFT_39451,RHOBADRAFT_39451,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974072,RHOBADRAFT_39484,RHOBADRAFT_39484,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974073,RHOBADRAFT_39490,RHOBADRAFT_39490,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974074,RHOBADRAFT_39509,RHOBADRAFT_39509,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974075,RHOBADRAFT_39528,RHOBADRAFT_39528,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974076,RHOBADRAFT_39533,RHOBADRAFT_39533,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974077,RHOBADRAFT_39536,RHOBADRAFT_39536,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974078,RHOBADRAFT_39539,RHOBADRAFT_39539,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974079,RHOBADRAFT_39546,RHOBADRAFT_39546,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974080,RHOBADRAFT_39550,RHOBADRAFT_39550,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974081,RHOBADRAFT_39560,RHOBADRAFT_39560,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974082,RHOBADRAFT_39581,RHOBADRAFT_39581,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974083,RHOBADRAFT_39591,RHOBADRAFT_39591,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974084,RHOBADRAFT_39598,RHOBADRAFT_39598,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974085,RHOBADRAFT_39605,RHOBADRAFT_39605,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974086,RHOBADRAFT_39615,RHOBADRAFT_39615,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974087,RHOBADRAFT_39622,RHOBADRAFT_39622,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974088,RHOBADRAFT_39637,RHOBADRAFT_39637,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974089,RHOBADRAFT_39651,RHOBADRAFT_39651,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974090,RHOBADRAFT_39660,RHOBADRAFT_39660,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974091,RHOBADRAFT_39675,RHOBADRAFT_39675,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974092,RHOBADRAFT_39685,RHOBADRAFT_39685,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974093,RHOBADRAFT_39688,RHOBADRAFT_39688,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974094,RHOBADRAFT_39698,RHOBADRAFT_39698,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974095,RHOBADRAFT_39718,RHOBADRAFT_39718,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974096,RHOBADRAFT_39732,RHOBADRAFT_39732,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974097,RHOBADRAFT_39733,RHOBADRAFT_39733,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974098,RHOBADRAFT_39736,RHOBADRAFT_39736,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974099,RHOBADRAFT_39745,RHOBADRAFT_39745,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974100,RHOBADRAFT_3975,RHOBADRAFT_3975,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974101,RHOBADRAFT_39753,RHOBADRAFT_39753,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974102,RHOBADRAFT_39760,RHOBADRAFT_39760,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974103,RHOBADRAFT_39770,RHOBADRAFT_39770,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974104,RHOBADRAFT_39784,RHOBADRAFT_39784,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974105,RHOBADRAFT_39790,RHOBADRAFT_39790,-,-,Unknown,-,glycoside hydrolase family 32 protein,protein-coding,-,-,-,glycoside hydrolase family 32 protein,20200205,-
578459,28974106,RHOBADRAFT_39795,RHOBADRAFT_39795,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974107,RHOBADRAFT_39800,RHOBADRAFT_39800,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974108,RHOBADRAFT_39804,RHOBADRAFT_39804,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974109,RHOBADRAFT_39809,RHOBADRAFT_39809,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974110,RHOBADRAFT_39823,RHOBADRAFT_39823,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974111,RHOBADRAFT_39847,RHOBADRAFT_39847,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974112,RHOBADRAFT_39857,RHOBADRAFT_39857,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974113,RHOBADRAFT_39869,RHOBADRAFT_39869,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974114,RHOBADRAFT_3987,RHOBADRAFT_3987,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974115,RHOBADRAFT_39881,RHOBADRAFT_39881,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974116,RHOBADRAFT_39923,RHOBADRAFT_39923,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974117,RHOBADRAFT_39932,RHOBADRAFT_39932,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974118,RHOBADRAFT_39933,RHOBADRAFT_39933,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974119,RHOBADRAFT_39937,RHOBADRAFT_39937,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974120,RHOBADRAFT_39941,RHOBADRAFT_39941,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974121,RHOBADRAFT_39956,RHOBADRAFT_39956,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974122,RHOBADRAFT_39960,RHOBADRAFT_39960,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974123,RHOBADRAFT_39989,RHOBADRAFT_39989,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974124,RHOBADRAFT_39995,RHOBADRAFT_39995,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974125,RHOBADRAFT_39997,RHOBADRAFT_39997,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974126,RHOBADRAFT_40002,RHOBADRAFT_40002,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974127,RHOBADRAFT_40024,RHOBADRAFT_40024,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974128,RHOBADRAFT_40027,RHOBADRAFT_40027,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974129,RHOBADRAFT_40037,RHOBADRAFT_40037,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974130,RHOBADRAFT_40054,RHOBADRAFT_40054,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974131,RHOBADRAFT_40065,RHOBADRAFT_40065,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974132,RHOBADRAFT_40085,RHOBADRAFT_40085,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974133,RHOBADRAFT_40096,RHOBADRAFT_40096,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974134,RHOBADRAFT_40100,RHOBADRAFT_40100,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974135,RHOBADRAFT_4013,RHOBADRAFT_4013,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974136,RHOBADRAFT_40139,RHOBADRAFT_40139,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974137,RHOBADRAFT_40149,RHOBADRAFT_40149,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974138,RHOBADRAFT_40156,RHOBADRAFT_40156,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974139,RHOBADRAFT_40158,RHOBADRAFT_40158,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974140,RHOBADRAFT_40167,RHOBADRAFT_40167,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28974141,RHOBADRAFT_40178,RHOBADRAFT_40178,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974142,RHOBADRAFT_40191,RHOBADRAFT_40191,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974143,RHOBADRAFT_40220,RHOBADRAFT_40220,-,-,Unknown,-,glycosyltransferase family 50 protein,protein-coding,-,-,-,glycosyltransferase family 50 protein,20200205,-
578459,28974144,RHOBADRAFT_40232,RHOBADRAFT_40232,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974145,RHOBADRAFT_40247,RHOBADRAFT_40247,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974146,RHOBADRAFT_40262,RHOBADRAFT_40262,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974147,RHOBADRAFT_40270,RHOBADRAFT_40270,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974148,RHOBADRAFT_40287,RHOBADRAFT_40287,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974149,RHOBADRAFT_40294,RHOBADRAFT_40294,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974150,RHOBADRAFT_40298,RHOBADRAFT_40298,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974151,RHOBADRAFT_40308,RHOBADRAFT_40308,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974152,RHOBADRAFT_40316,RHOBADRAFT_40316,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974153,RHOBADRAFT_40356,RHOBADRAFT_40356,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974154,RHOBADRAFT_40363,RHOBADRAFT_40363,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974155,RHOBADRAFT_40375,RHOBADRAFT_40375,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974156,RHOBADRAFT_40419,RHOBADRAFT_40419,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974157,RHOBADRAFT_40426,RHOBADRAFT_40426,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974158,RHOBADRAFT_40432,RHOBADRAFT_40432,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974159,RHOBADRAFT_40441,RHOBADRAFT_40441,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974160,RHOBADRAFT_40444,RHOBADRAFT_40444,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974161,RHOBADRAFT_40452,RHOBADRAFT_40452,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974162,RHOBADRAFT_40454,RHOBADRAFT_40454,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974163,RHOBADRAFT_40455,RHOBADRAFT_40455,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974164,RHOBADRAFT_40456,RHOBADRAFT_40456,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974165,RHOBADRAFT_40458,RHOBADRAFT_40458,-,-,Unknown,-,elongation factor 1-alpha,protein-coding,-,-,-,elongation factor 1-alpha,20200205,-
578459,28974166,RHOBADRAFT_40466,RHOBADRAFT_40466,-,-,Unknown,-,glycoside hydrolase family 16 protein,protein-coding,-,-,-,glycoside hydrolase family 16 protein,20200205,-
578459,28974167,RHOBADRAFT_40474,RHOBADRAFT_40474,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974168,RHOBADRAFT_40477,RHOBADRAFT_40477,-,-,Unknown,-,glycoside hydrolase family 16 protein,protein-coding,-,-,-,glycoside hydrolase family 16 protein,20200205,-
578459,28974169,RHOBADRAFT_40480,RHOBADRAFT_40480,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974170,RHOBADRAFT_40485,RHOBADRAFT_40485,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974171,RHOBADRAFT_40489,RHOBADRAFT_40489,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974172,RHOBADRAFT_40491,RHOBADRAFT_40491,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28974173,RHOBADRAFT_40494,RHOBADRAFT_40494,-,-,Unknown,-,glycoside hydrolase family 16 protein,protein-coding,-,-,-,glycoside hydrolase family 16 protein,20200205,-
