#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2027899,64763415,KHO57_gp002,KHO57_gp002,SEA_PHABBA_2,-,-,-,RF-1 peptide chain release factor,protein-coding,-,-,-,RF-1 peptide chain release factor,20210508,-
2027899,64763593,KHO57_gs001,KHO57_gs001,SEA_PHABBA_180,-,-,-,miscRNA,miscRNA,-,-,-,-,20210508,-
2027899,64763594,KHO57_gp183,KHO57_gp183,SEA_PHABBA_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763595,KHO57_gt035,KHO57_gt035,SEA_PHABBA_182,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763596,KHO57_gp182,KHO57_gp182,SEA_PHABBA_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763597,KHO57_gp181,KHO57_gp181,SEA_PHABBA_184,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210508,-
2027899,64763598,KHO57_gp180,KHO57_gp180,SEA_PHABBA_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763599,KHO57_gp179,KHO57_gp179,SEA_PHABBA_186,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210508,-
2027899,64763600,KHO57_gp178,KHO57_gp178,SEA_PHABBA_187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763601,KHO57_gp177,KHO57_gp177,SEA_PHABBA_188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763602,KHO57_gp176,KHO57_gp176,SEA_PHABBA_189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763603,KHO57_gp175,KHO57_gp175,SEA_PHABBA_190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763604,KHO57_gp174,KHO57_gp174,SEA_PHABBA_191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763605,KHO57_gp173,KHO57_gp173,SEA_PHABBA_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763606,KHO57_gp172,KHO57_gp172,SEA_PHABBA_193,-,-,-,aminotransferase,protein-coding,-,-,-,aminotransferase,20210508,-
2027899,64763607,KHO57_gp171,KHO57_gp171,SEA_PHABBA_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763608,KHO57_gp170,KHO57_gp170,SEA_PHABBA_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763609,KHO57_gp169,KHO57_gp169,SEA_PHABBA_196,-,-,-,helicase loader,protein-coding,-,-,-,helicase loader,20210508,-
2027899,64763610,KHO57_gp168,KHO57_gp168,SEA_PHABBA_197,-,-,-,dsDNA helicase,protein-coding,-,-,-,dsDNA helicase,20210508,-
2027899,64763611,KHO57_gp167,KHO57_gp167,SEA_PHABBA_198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763612,KHO57_gp166,KHO57_gp166,SEA_PHABBA_199,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210508,-
2027899,64763613,KHO57_gp165,KHO57_gp165,SEA_PHABBA_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763614,KHO57_gp164,KHO57_gp164,SEA_PHABBA_201,-,-,-,DnaJ-like chaperonin,protein-coding,-,-,-,DnaJ-like chaperonin,20210508,-
2027899,64763615,KHO57_gp163,KHO57_gp163,SEA_PHABBA_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763616,KHO57_gp162,KHO57_gp162,SEA_PHABBA_203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763617,KHO57_gp161,KHO57_gp161,SEA_PHABBA_204,-,-,-,DNA recombinase,protein-coding,-,-,-,DNA recombinase,20210508,-
2027899,64763618,KHO57_gp160,KHO57_gp160,SEA_PHABBA_205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763619,KHO57_gp159,KHO57_gp159,SEA_PHABBA_206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763620,KHO57_gp158,KHO57_gp158,SEA_PHABBA_207,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210508,-
2027899,64763621,KHO57_gp157,KHO57_gp157,SEA_PHABBA_208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763622,KHO57_gp156,KHO57_gp156,SEA_PHABBA_209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763623,KHO57_gp155,KHO57_gp155,SEA_PHABBA_210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763624,KHO57_gp154,KHO57_gp154,SEA_PHABBA_211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763625,KHO57_gp153,KHO57_gp153,SEA_PHABBA_212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763626,KHO57_gp152,KHO57_gp152,SEA_PHABBA_213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763627,KHO57_gp151,KHO57_gp151,SEA_PHABBA_214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763628,KHO57_gp150,KHO57_gp150,SEA_PHABBA_215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763629,KHO57_gp149,KHO57_gp149,SEA_PHABBA_216,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763630,KHO57_gp148,KHO57_gp148,SEA_PHABBA_217,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210508,-
2027899,64763631,KHO57_gp147,KHO57_gp147,SEA_PHABBA_218,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763632,KHO57_gt036,KHO57_gt036,SEA_PHABBA_219,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763633,KHO57_gt037,KHO57_gt037,SEA_PHABBA_220,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763634,KHO57_gp146,KHO57_gp146,SEA_PHABBA_221,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763635,KHO57_gp145,KHO57_gp145,SEA_PHABBA_222,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763636,KHO57_gp144,KHO57_gp144,SEA_PHABBA_223,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763637,KHO57_gp143,KHO57_gp143,SEA_PHABBA_224,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763638,KHO57_gp142,KHO57_gp142,SEA_PHABBA_225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763639,KHO57_gp141,KHO57_gp141,SEA_PHABBA_226,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210508,-
2027899,64763640,KHO57_gp140,KHO57_gp140,SEA_PHABBA_227,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763641,KHO57_gp139,KHO57_gp139,SEA_PHABBA_228,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763642,KHO57_gp138,KHO57_gp138,SEA_PHABBA_229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763643,KHO57_gp137,KHO57_gp137,SEA_PHABBA_230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763644,KHO57_gp136,KHO57_gp136,SEA_PHABBA_231,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763645,KHO57_gp135,KHO57_gp135,SEA_PHABBA_232,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210508,-
2027899,64763646,KHO57_gp134,KHO57_gp134,SEA_PHABBA_233,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763647,KHO57_gp133,KHO57_gp133,SEA_PHABBA_234,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210508,-
2027899,64763648,KHO57_gp132,KHO57_gp132,SEA_PHABBA_235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763649,KHO57_gp131,KHO57_gp131,SEA_PHABBA_236,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763650,KHO57_gp130,KHO57_gp130,SEA_PHABBA_237,-,-,-,RNA binding protein,protein-coding,-,-,-,RNA binding protein,20210508,-
2027899,64763651,KHO57_gp129,KHO57_gp129,SEA_PHABBA_238,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763652,KHO57_gp128,KHO57_gp128,SEA_PHABBA_239,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763653,KHO57_gp127,KHO57_gp127,SEA_PHABBA_240,-,-,-,protease,protein-coding,-,-,-,protease,20210508,-
2027899,64763654,KHO57_gp126,KHO57_gp126,SEA_PHABBA_241,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763655,KHO57_gp125,KHO57_gp125,SEA_PHABBA_242,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763656,KHO57_gp124,KHO57_gp124,SEA_PHABBA_243,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763657,KHO57_gp123,KHO57_gp123,SEA_PHABBA_244,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210508,-
2027899,64763658,KHO57_gp122,KHO57_gp122,SEA_PHABBA_245,-,-,-,galactosyltransferase,protein-coding,-,-,-,galactosyltransferase,20210508,-
2027899,64763659,KHO57_gp121,KHO57_gp121,SEA_PHABBA_246,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763660,KHO57_gp120,KHO57_gp120,SEA_PHABBA_247,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763661,KHO57_gp119,KHO57_gp119,SEA_PHABBA_248,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210508,-
2027899,64763662,KHO57_gp118,KHO57_gp118,SEA_PHABBA_249,-,-,-,capsid decoration protein,protein-coding,-,-,-,capsid decoration protein,20210508,-
2027899,64763663,KHO57_gp117,KHO57_gp117,SEA_PHABBA_250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763664,KHO57_gp116,KHO57_gp116,SEA_PHABBA_251,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763665,KHO57_gp115,KHO57_gp115,SEA_PHABBA_252,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763666,KHO57_gp114,KHO57_gp114,SEA_PHABBA_253,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210508,-
2027899,64763667,KHO57_gp113,KHO57_gp113,SEA_PHABBA_254,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210508,-
2027899,64763668,KHO57_gp112,KHO57_gp112,SEA_PHABBA_255,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210508,-
2027899,64763669,KHO57_gp111,KHO57_gp111,SEA_PHABBA_256,-,-,-,terminase,protein-coding,-,-,-,terminase,20210508,-
2027899,64763670,KHO57_gp110,KHO57_gp110,SEA_PHABBA_257,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763671,KHO57_gp109,KHO57_gp109,SEA_PHABBA_258,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210508,-
2027899,64763672,KHO57_gp108,KHO57_gp108,SEA_PHABBA_259,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763673,KHO57_gp107,KHO57_gp107,SEA_PHABBA_260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763674,KHO57_gp106,KHO57_gp106,SEA_PHABBA_261,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763675,KHO57_gp105,KHO57_gp105,SEA_PHABBA_262,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763676,KHO57_gp104,KHO57_gp104,SEA_PHABBA_263,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763677,KHO57_gp103,KHO57_gp103,SEA_PHABBA_264,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210508,-
2027899,64763678,KHO57_gp102,KHO57_gp102,SEA_PHABBA_265,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20210508,-
2027899,64763679,KHO57_gp101,KHO57_gp101,SEA_PHABBA_266,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763680,KHO57_gp100,KHO57_gp100,SEA_PHABBA_267,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210508,-
2027899,64763681,KHO57_gp099,KHO57_gp099,SEA_PHABBA_268,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763682,KHO57_gp098,KHO57_gp098,SEA_PHABBA_269,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763683,KHO57_gp097,KHO57_gp097,SEA_PHABBA_270,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210508,-
2027899,64763684,KHO57_gp096,KHO57_gp096,SEA_PHABBA_271,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763685,KHO57_gp095,KHO57_gp095,SEA_PHABBA_272,-,-,-,AAA ATPase,protein-coding,-,-,-,AAA ATPase,20210508,-
2027899,64763686,KHO57_gp094,KHO57_gp094,SEA_PHABBA_273,-,-,-,nicotinate ribosyltransferase,protein-coding,-,-,-,nicotinate ribosyltransferase,20210508,-
2027899,64763687,KHO57_gp093,KHO57_gp093,SEA_PHABBA_274,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210508,-
2027899,64763688,KHO57_gp092,KHO57_gp092,SEA_PHABBA_275,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210508,-
2027899,64763689,KHO57_gp091,KHO57_gp091,SEA_PHABBA_276,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763690,KHO57_gp090,KHO57_gp090,SEA_PHABBA_277,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763691,KHO57_gp089,KHO57_gp089,SEA_PHABBA_278,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763692,KHO57_gp088,KHO57_gp088,SEA_PHABBA_279,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763693,KHO57_gp087,KHO57_gp087,SEA_PHABBA_280,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763694,KHO57_gp086,KHO57_gp086,SEA_PHABBA_281,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763695,KHO57_gp085,KHO57_gp085,SEA_PHABBA_282,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763696,KHO57_gp001,KHO57_gp001,SEA_PHABBA_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64792200,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210510,-
