#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1392243,54414118,P152DRAFT_100491,P152DRAFT_100491,-,-,Unknown,-,eukaryotic translation initiation factor 4E,protein-coding,-,-,-,eukaryotic translation initiation factor 4E,20210313,-
1392243,54415378,P152DRAFT_262977,P152DRAFT_262977,-,-,Unknown,-,WD40 repeat-like protein,protein-coding,-,-,-,WD40 repeat-like protein,20210313,-
1392243,54415379,P152DRAFT_263422,P152DRAFT_263422,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415380,P152DRAFT_263568,P152DRAFT_263568,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415381,P152DRAFT_263608,P152DRAFT_263608,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415382,P152DRAFT_263784,P152DRAFT_263784,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415383,P152DRAFT_263822,P152DRAFT_263822,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415384,P152DRAFT_263879,P152DRAFT_263879,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415385,P152DRAFT_264159,P152DRAFT_264159,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415386,P152DRAFT_264177,P152DRAFT_264177,-,-,Unknown,-,Phosphomevalonate kinase,protein-coding,-,-,-,Phosphomevalonate kinase,20210313,-
1392243,54415387,P152DRAFT_264740,P152DRAFT_264740,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415388,P152DRAFT_264780,P152DRAFT_264780,-,-,Unknown,-,Metallo-dependent phosphatase,protein-coding,-,-,-,Metallo-dependent phosphatase,20210313,-
1392243,54415389,P152DRAFT_264800,P152DRAFT_264800,-,-,Unknown,-,LCM-domain-containing protein,protein-coding,-,-,-,LCM-domain-containing protein,20210313,-
1392243,54415390,P152DRAFT_265292,P152DRAFT_265292,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415391,P152DRAFT_265305,P152DRAFT_265305,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415392,P152DRAFT_265336,P152DRAFT_265336,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415393,P152DRAFT_265434,P152DRAFT_265434,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415394,P152DRAFT_265518,P152DRAFT_265518,-,-,Unknown,-,Aldo/keto reductase,protein-coding,-,-,-,Aldo/keto reductase,20210313,-
1392243,54415395,P152DRAFT_265523,P152DRAFT_265523,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415396,P152DRAFT_26553,P152DRAFT_26553,-,-,Unknown,-,2-hydroxyacid dehydrogenase,protein-coding,-,-,-,2-hydroxyacid dehydrogenase,20210313,-
1392243,54415397,P152DRAFT_265537,P152DRAFT_265537,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415398,P152DRAFT_265647,P152DRAFT_265647,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415399,P152DRAFT_265708,P152DRAFT_265708,-,-,Unknown,-,Clavaminate synthase-like protein,protein-coding,-,-,-,Clavaminate synthase-like protein,20210313,-
1392243,54415400,P152DRAFT_2659,P152DRAFT_2659,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415401,P152DRAFT_265912,P152DRAFT_265912,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415402,P152DRAFT_266291,P152DRAFT_266291,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415403,P152DRAFT_266843,P152DRAFT_266843,-,-,Unknown,-,cell cycle control protein cwf19,protein-coding,-,-,-,cell cycle control protein cwf19,20210313,-
1392243,54415404,P152DRAFT_266875,P152DRAFT_266875,-,-,Unknown,-,Pkinase-domain-containing protein,protein-coding,-,-,-,Pkinase-domain-containing protein,20210313,-
1392243,54415405,P152DRAFT_266876,P152DRAFT_266876,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415406,P152DRAFT_266935,P152DRAFT_266935,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415407,P152DRAFT_266990,P152DRAFT_266990,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415408,P152DRAFT_267623,P152DRAFT_267623,-,-,Unknown,-,TIM44 subunit of mitochondria import inner membrane translocase,protein-coding,-,-,-,TIM44 subunit of mitochondria import inner membrane translocase,20210313,-
1392243,54415409,P152DRAFT_267759,P152DRAFT_267759,-,-,Unknown,-,COPII component protein,protein-coding,-,-,-,COPII component protein,20210313,-
1392243,54415410,P152DRAFT_267811,P152DRAFT_267811,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415411,P152DRAFT_26783,P152DRAFT_26783,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415412,P152DRAFT_267871,P152DRAFT_267871,-,-,Unknown,-,soluble quino protein glucose dehydrogenase,protein-coding,-,-,-,soluble quino protein glucose dehydrogenase,20210313,-
1392243,54415413,P152DRAFT_267938,P152DRAFT_267938,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415414,P152DRAFT_267987,P152DRAFT_267987,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415415,P152DRAFT_268042,P152DRAFT_268042,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415416,P152DRAFT_268144,P152DRAFT_268144,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415417,P152DRAFT_268255,P152DRAFT_268255,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415418,P152DRAFT_268300,P152DRAFT_268300,-,-,Unknown,-,alternative sulfate transporter,protein-coding,-,-,-,alternative sulfate transporter,20210313,-
1392243,54415419,P152DRAFT_268487,P152DRAFT_268487,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415420,P152DRAFT_268853,P152DRAFT_268853,-,-,Unknown,-,translation machinery-associated protein-like protein,protein-coding,-,-,-,translation machinery-associated protein-like protein,20210313,-
1392243,54415421,P152DRAFT_268983,P152DRAFT_268983,-,-,Unknown,-,putative nitrilase,protein-coding,-,-,-,putative nitrilase,20210313,-
1392243,54415422,P152DRAFT_269043,P152DRAFT_269043,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415423,P152DRAFT_269128,P152DRAFT_269128,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415424,P152DRAFT_269472,P152DRAFT_269472,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415425,P152DRAFT_26970,P152DRAFT_26970,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415426,P152DRAFT_27021,P152DRAFT_27021,-,-,Unknown,-,mitochondrial succinate dehydrogenase subunit C,protein-coding,-,-,-,mitochondrial succinate dehydrogenase subunit C,20210313,-
1392243,54415427,P152DRAFT_270404,P152DRAFT_270404,-,-,Unknown,-,dihydrofolate synthetase Fol3,protein-coding,-,-,-,dihydrofolate synthetase Fol3,20210313,-
1392243,54415428,P152DRAFT_270462,P152DRAFT_270462,-,-,Unknown,-,aromatic compound dioxygenase,protein-coding,-,-,-,aromatic compound dioxygenase,20210313,-
1392243,54415429,P152DRAFT_270485,P152DRAFT_270485,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415430,P152DRAFT_270491,P152DRAFT_270491,-,-,Unknown,-,NAD(P)-binding protein,protein-coding,-,-,-,NAD(P)-binding protein,20210313,-
1392243,54415431,P152DRAFT_270721,P152DRAFT_270721,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415432,P152DRAFT_271082,P152DRAFT_271082,-,-,Unknown,-,PP2C-domain-containing protein,protein-coding,-,-,-,PP2C-domain-containing protein,20210313,-
1392243,54415433,P152DRAFT_271136,P152DRAFT_271136,-,-,Unknown,-,WD40 repeat-like protein,protein-coding,-,-,-,WD40 repeat-like protein,20210313,-
1392243,54415434,P152DRAFT_271146,P152DRAFT_271146,-,-,Unknown,-,Thioesterase/thiol ester dehydrase-isomerase,protein-coding,-,-,-,Thioesterase/thiol ester dehydrase-isomerase,20210313,-
1392243,54415435,P152DRAFT_271234,P152DRAFT_271234,-,-,Unknown,-,WD40 repeat-like protein,protein-coding,-,-,-,WD40 repeat-like protein,20210313,-
1392243,54415436,P152DRAFT_271249,P152DRAFT_271249,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415437,P152DRAFT_271262,P152DRAFT_271262,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415438,P152DRAFT_271285,P152DRAFT_271285,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415439,P152DRAFT_271354,P152DRAFT_271354,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415440,P152DRAFT_271410,P152DRAFT_271410,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415441,P152DRAFT_272240,P152DRAFT_272240,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415442,P152DRAFT_272578,P152DRAFT_272578,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415443,P152DRAFT_272600,P152DRAFT_272600,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415444,P152DRAFT_272609,P152DRAFT_272609,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415445,P152DRAFT_272648,P152DRAFT_272648,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415446,P152DRAFT_272752,P152DRAFT_272752,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415447,P152DRAFT_272839,P152DRAFT_272839,-,-,Unknown,-,ATP-sulfurylase,protein-coding,-,-,-,ATP-sulfurylase,20210313,-
1392243,54415448,P152DRAFT_272972,P152DRAFT_272972,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415449,P152DRAFT_273123,P152DRAFT_273123,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415450,P152DRAFT_273140,P152DRAFT_273140,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415451,P152DRAFT_27330,P152DRAFT_27330,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415452,P152DRAFT_273948,P152DRAFT_273948,-,-,Unknown,-,lipoic acid synthetase precursor,protein-coding,-,-,-,lipoic acid synthetase precursor,20210313,-
1392243,54415453,P152DRAFT_274775,P152DRAFT_274775,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415454,P152DRAFT_27484,P152DRAFT_27484,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415455,P152DRAFT_275107,P152DRAFT_275107,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415456,P152DRAFT_275129,P152DRAFT_275129,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415457,P152DRAFT_275418,P152DRAFT_275418,-,-,Unknown,-,nucleolus protein required for cell viability,protein-coding,-,-,-,nucleolus protein required for cell viability,20210313,-
1392243,54415458,P152DRAFT_27548,P152DRAFT_27548,-,-,Unknown,-,GNS1/SUR4 membrane protein,protein-coding,-,-,-,GNS1/SUR4 membrane protein,20210313,-
1392243,54415459,P152DRAFT_275871,P152DRAFT_275871,-,-,Unknown,-,serine/threonine protein kinase,protein-coding,-,-,-,serine/threonine protein kinase,20210313,-
1392243,54415460,P152DRAFT_275908,P152DRAFT_275908,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415461,P152DRAFT_276138,P152DRAFT_276138,-,-,Unknown,-,acid protease,protein-coding,-,-,-,acid protease,20210313,-
1392243,54415462,P152DRAFT_276454,P152DRAFT_276454,-,-,Unknown,-,SET domain-containing protein,protein-coding,-,-,-,SET domain-containing protein,20210313,-
1392243,54415463,P152DRAFT_276464,P152DRAFT_276464,-,-,Unknown,-,NIPSNAP-domain-containing protein,protein-coding,-,-,-,NIPSNAP-domain-containing protein,20210313,-
1392243,54415464,P152DRAFT_276512,P152DRAFT_276512,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415465,P152DRAFT_277192,P152DRAFT_277192,-,-,Unknown,-,protein mannosyltransferase 1,protein-coding,-,-,-,protein mannosyltransferase 1,20210313,-
1392243,54415466,P152DRAFT_277278,P152DRAFT_277278,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210313,-
1392243,54415467,P152DRAFT_277338,P152DRAFT_277338,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415468,P152DRAFT_277418,P152DRAFT_277418,-,-,Unknown,-,Alg14-domain-containing protein,protein-coding,-,-,-,Alg14-domain-containing protein,20210313,-
1392243,54415469,P152DRAFT_277606,P152DRAFT_277606,-,-,Unknown,-,branched-chain amino acid aminotransferase II,protein-coding,-,-,-,branched-chain amino acid aminotransferase II,20210313,-
1392243,54415470,P152DRAFT_2777,P152DRAFT_2777,-,-,Unknown,-,thioredoxin-like protein,protein-coding,-,-,-,thioredoxin-like protein,20210313,-
1392243,54415471,P152DRAFT_277717,P152DRAFT_277717,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415472,P152DRAFT_278,P152DRAFT_278,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415473,P152DRAFT_27841,P152DRAFT_27841,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415474,P152DRAFT_278803,P152DRAFT_278803,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415475,P152DRAFT_27897,P152DRAFT_27897,-,-,Unknown,-,S-adenosyl-L-methionine-dependent methyltransferase,protein-coding,-,-,-,S-adenosyl-L-methionine-dependent methyltransferase,20210313,-
1392243,54415476,P152DRAFT_279092,P152DRAFT_279092,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415477,P152DRAFT_279142,P152DRAFT_279142,-,-,Unknown,-,alpha/beta-hydrolase,protein-coding,-,-,-,alpha/beta-hydrolase,20210313,-
1392243,54415478,P152DRAFT_279711,P152DRAFT_279711,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415479,P152DRAFT_279732,P152DRAFT_279732,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415480,P152DRAFT_279818,P152DRAFT_279818,-,-,Unknown,-,fad NAD binding oxidoreductase,protein-coding,-,-,-,fad NAD binding oxidoreductase,20210313,-
1392243,54415481,P152DRAFT_279835,P152DRAFT_279835,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415482,P152DRAFT_279933,P152DRAFT_279933,-,-,Unknown,-,SET domain-containing protein,protein-coding,-,-,-,SET domain-containing protein,20210313,-
1392243,54415483,P152DRAFT_27998,P152DRAFT_27998,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415484,P152DRAFT_27999,P152DRAFT_27999,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415485,P152DRAFT_280018,P152DRAFT_280018,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415486,P152DRAFT_280306,P152DRAFT_280306,-,-,Unknown,-,ribosomal protein 60S,protein-coding,-,-,-,ribosomal protein 60S,20210313,-
1392243,54415487,P152DRAFT_280380,P152DRAFT_280380,-,-,Unknown,-,mitochondrial carrier,protein-coding,-,-,-,mitochondrial carrier,20210313,-
1392243,54415488,P152DRAFT_280895,P152DRAFT_280895,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415489,P152DRAFT_280903,P152DRAFT_280903,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415490,P152DRAFT_28093,P152DRAFT_28093,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415491,P152DRAFT_281335,P152DRAFT_281335,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415492,P152DRAFT_28143,P152DRAFT_28143,-,-,Unknown,-,nitrogen permease regulator 2,protein-coding,-,-,-,nitrogen permease regulator 2,20210313,-
1392243,54415493,P152DRAFT_281475,P152DRAFT_281475,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415494,P152DRAFT_281494,P152DRAFT_281494,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210313,-
1392243,54415495,P152DRAFT_281640,P152DRAFT_281640,-,-,Unknown,-,O-acetylhomoserine ami,protein-coding,-,-,-,O-acetylhomoserine ami,20210313,-
1392243,54415496,P152DRAFT_281734,P152DRAFT_281734,-,-,Unknown,-,DUF947-domain-containing protein,protein-coding,-,-,-,DUF947-domain-containing protein,20210313,-
1392243,54415497,P152DRAFT_281762,P152DRAFT_281762,-,-,Unknown,-,light chain 3,protein-coding,-,-,-,light chain 3,20200919,-
1392243,54415498,P152DRAFT_28189,P152DRAFT_28189,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415499,P152DRAFT_282262,P152DRAFT_282262,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415500,P152DRAFT_28236,P152DRAFT_28236,-,-,Unknown,-,NAD(P)-binding protein,protein-coding,-,-,-,NAD(P)-binding protein,20210313,-
1392243,54415501,P152DRAFT_282386,P152DRAFT_282386,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415502,P152DRAFT_282473,P152DRAFT_282473,-,-,Unknown,-,ribonuclease H-like protein,protein-coding,-,-,-,ribonuclease H-like protein,20210313,-
1392243,54415503,P152DRAFT_282522,P152DRAFT_282522,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415504,P152DRAFT_282647,P152DRAFT_282647,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210313,-
1392243,54415505,P152DRAFT_282650,P152DRAFT_282650,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415506,P152DRAFT_282748,P152DRAFT_282748,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415507,P152DRAFT_282758,P152DRAFT_282758,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415508,P152DRAFT_282873,P152DRAFT_282873,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415509,P152DRAFT_282954,P152DRAFT_282954,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415510,P152DRAFT_282957,P152DRAFT_282957,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415511,P152DRAFT_282958,P152DRAFT_282958,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415512,P152DRAFT_282959,P152DRAFT_282959,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415513,P152DRAFT_282983,P152DRAFT_282983,-,-,Unknown,-,ankyrin,protein-coding,-,-,-,ankyrin,20210313,-
1392243,54415514,P152DRAFT_283023,P152DRAFT_283023,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415515,P152DRAFT_283292,P152DRAFT_283292,-,-,Unknown,-,PQ-loop-domain-containing protein,protein-coding,-,-,-,PQ-loop-domain-containing protein,20210313,-
1392243,54415516,P152DRAFT_283324,P152DRAFT_283324,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415517,P152DRAFT_283849,P152DRAFT_283849,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415518,P152DRAFT_284084,P152DRAFT_284084,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415519,P152DRAFT_284168,P152DRAFT_284168,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415520,P152DRAFT_284213,P152DRAFT_284213,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415521,P152DRAFT_284325,P152DRAFT_284325,-,-,Unknown,-,carbohydrate esterase family 5 protein,protein-coding,-,-,-,carbohydrate esterase family 5 protein,20210313,-
1392243,54415522,P152DRAFT_284453,P152DRAFT_284453,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415523,P152DRAFT_284509,P152DRAFT_284509,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415524,P152DRAFT_284852,P152DRAFT_284852,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415525,P152DRAFT_284977,P152DRAFT_284977,-,-,Unknown,-,phosphoribosyl transferase domain protein,protein-coding,-,-,-,phosphoribosyl transferase domain protein,20210313,-
1392243,54415526,P152DRAFT_285174,P152DRAFT_285174,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415527,P152DRAFT_285175,P152DRAFT_285175,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415528,P152DRAFT_285215,P152DRAFT_285215,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54415529,P152DRAFT_285412,P152DRAFT_285412,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210313,-
1392243,54415530,P152DRAFT_285418,P152DRAFT_285418,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392243,54415531,P152DRAFT_285463,P152DRAFT_285463,-,-,Unknown,-,stress responsive A/B barrel domain protein,protein-coding,-,-,-,stress responsive A/B barrel domain protein,20210313,-
1392243,54415532,P152DRAFT_285799,P152DRAFT_285799,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210313,-
1392243,54415533,P152DRAFT_285824,P152DRAFT_285824,-,-,Unknown,-,SGNH hydrolase,protein-coding,-,-,-,SGNH hydrolase,20210313,-
1392243,54415534,P152DRAFT_28584,P152DRAFT_28584,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415535,P152DRAFT_286038,P152DRAFT_286038,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210313,-
1392243,54415536,P152DRAFT_286055,P152DRAFT_286055,-,-,Unknown,-,NAD(P)-binding protein,protein-coding,-,-,-,NAD(P)-binding protein,20210313,-
1392243,54415537,P152DRAFT_286328,P152DRAFT_286328,-,-,Unknown,-,Rrp15p-domain-containing protein,protein-coding,-,-,-,Rrp15p-domain-containing protein,20210313,-
1392243,54415538,P152DRAFT_286407,P152DRAFT_286407,-,-,Unknown,-,putative flavin dependent monooxygenase,protein-coding,-,-,-,putative flavin dependent monooxygenase,20210313,-
1392243,54415539,P152DRAFT_286417,P152DRAFT_286417,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392243,54415540,P152DRAFT_286523,P152DRAFT_286523,-,-,Unknown,-,FAD-binding domain-containing protein,protein-coding,-,-,-,FAD-binding domain-containing protein,20210313,-
1392243,54415541,P152DRAFT_28669,P152DRAFT_28669,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54415542,P152DRAFT_28679,P152DRAFT_28679,-,-,Unknown,-,bacterial bifunctional deaminase-reductase,protein-coding,-,-,-,bacterial bifunctional deaminase-reductase,20210313,-
1392243,54415543,P152DRAFT_286916,P152DRAFT_286916,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392243,54415544,P152DRAFT_286955,P152DRAFT_286955,-,-,Unknown,-,RNA binding domain-containing protein,protein-coding,-,-,-,RNA binding domain-containing protein,20210313,-
1392243,54415545,P152DRAFT_286995,P152DRAFT_286995,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210313,-
1392243,54415546,P152DRAFT_287105,P152DRAFT_287105,-,-,Unknown,-,Pkinase-domain-containing protein,protein-coding,-,-,-,Pkinase-domain-containing protein,20210313,-
1392243,54415547,P152DRAFT_287298,P152DRAFT_287298,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392243,54415548,P152DRAFT_287300,P152DRAFT_287300,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392243,54415549,P152DRAFT_287310,P152DRAFT_287310,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392243,54415550,P152DRAFT_287314,P152DRAFT_287314,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392243,54415551,P152DRAFT_287351,P152DRAFT_287351,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
