#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1074305,18560471,2,DANDELION_2,-,-,-,-,nucleotidyltransferase,protein-coding,-,-,-,nucleotidyltransferase,20200909,-
1074305,18560704,242,DANDELION_242,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560705,243,DANDELION_243,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560706,244,DANDELION_244,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560707,245,DANDELION_245,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560708,246,DANDELION_246,-,-,-,-,glycosyl transferase,protein-coding,-,-,-,glycosyl transferase,20200909,-
1074305,18560709,247,DANDELION_247,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560710,248,DANDELION_248,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560711,249,DANDELION_249,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201003,-
1074305,18560712,250,DANDELION_250,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560713,251,DANDELION_251,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560714,252,DANDELION_252,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560715,253,DANDELION_253,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560716,254,DANDELION_254,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560717,255,DANDELION_255,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560718,256,DANDELION_256,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
1074305,18560719,257,DANDELION_257,-,-,-,-,holin,protein-coding,-,-,-,holin,20200909,-
1074305,18560720,258,DANDELION_258,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200909,-
1074305,18560721,259,DANDELION_259,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20200909,-
1074305,18560722,260,DANDELION_260,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560723,261,DANDELION_261,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560724,262,DANDELION_262,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560725,263,DANDELION_263,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560726,264,DANDELION_264,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1074305,18560727,265,DANDELION_265,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560728,266,DANDELION_266,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560729,267,DANDELION_267,-,-,-,-,serine-threonine protein kinase,protein-coding,-,-,-,serine-threonine protein kinase,20200909,-
1074305,18560730,268,DANDELION_268,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560731,269,DANDELION_269,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560732,270,DANDELION_270,-,-,-,-,PurA,protein-coding,-,-,-,PurA,20201003,-
1074305,18560733,271,DANDELION_271,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560734,272,DANDELION_272,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560735,273,DANDELION_273,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560737,91,DANDELION_91,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560738,92,DANDELION_92,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560739,175,DANDELION_175,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560740,180,DANDELION_180,-,-,-,-,beta-lactamase,protein-coding,-,-,-,beta-lactamase,20200912,-
1074305,18560741,186,DANDELION_186,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560742,189,DANDELION_189,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560743,194,DANDELION_194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560744,1,DANDELION_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560745,275,DANDELION_275,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1074305,18669553,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Dandelion).,other,-,-,-,-,20200513,-
