#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
555387,8303255,g33,SRSM4_002,-,-,-,-,putative late promoter transcription factor,protein-coding,-,-,-,putative late promoter transcription factor,20200909,-
555387,8303452,g13,SRSM4_129,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200909,-
555387,8303453,g14,SRSM4_128,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200909,-
555387,8303454,g15,SRSM4_127,-,-,-,-,tail sheath stabiliser,protein-coding,-,-,-,tail sheath stabiliser,20200909,-
555387,8303455,SRSM4_114,SRSM4_114,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303456,SRSM4_112,SRSM4_112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303457,g18,SRSM4_111,-,-,-,-,contractile tail sheath protein,protein-coding,-,-,-,contractile tail sheath protein,20200909,-
555387,8303458,g48,SRSM4_234,-,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20200909,-
555387,8303459,g19,SRSM4_110,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200909,-
555387,8303460,SRSM4_108,SRSM4_108,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303461,g21,SRSM4_107,-,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20200909,-
555387,8303462,g22,SRSM4_106,-,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20200909,-
555387,8303463,SRSM4_154,SRSM4_154,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303464,SRSM4_231,SRSM4_231,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303465,SRSM4_100,SRSM4_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303466,SRSM4_003,SRSM4_003,-,-,-,-,putatitive exonulcease,protein-coding,-,-,-,putatitive exonulcease,20200909,-
555387,8303467,g2,SRSM4_233,-,-,-,-,DNA end protector proteins,protein-coding,-,-,-,DNA end protector proteins,20200909,-
555387,8303468,uvsX,SRSM4_070,-,-,-,-,recA-like recombination protein,protein-coding,-,-,-,recA-like recombination protein,20200909,-
555387,8303469,SRSM4_073,SRSM4_073,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303470,SRSM4_083,SRSM4_083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303471,SRSM4_087,SRSM4_087,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303472,SRSM4_092,SRSM4_092,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20210417,-
555387,8303473,SRSM4_094,SRSM4_094,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303474,g53,SRSM4_235,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200909,-
555387,8303475,SRSM4_226,SRSM4_226,-,-,-,-,conserved hypothetical cyanobacterial protein,protein-coding,-,-,-,conserved hypothetical cyanobacterial protein,20200909,-
555387,8303476,g26,SRSM4_230,-,-,-,-,base plate hub subunit,protein-coding,-,-,-,base plate hub subunit,20200909,-
555387,8303477,SRSM4_236,SRSM4_236,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303478,SRSM4_096,SRSM4_096,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303479,g25,SRSM4_153,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200909,-
555387,8303480,SRSM4_055,SRSM4_055,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303481,SRSM4_151,SRSM4_151,-,-,-,-,strucutural protein,protein-coding,-,-,-,strucutural protein,20200909,-
555387,8303482,psbD,SRSM4_020,-,-,-,-,D2,protein-coding,-,-,-,D2,20200909,-
555387,8303483,SRSM4_025,SRSM4_025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303484,SRSM4_029,SRSM4_029,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303485,regA,SRSM4_077,-,-,-,-,RegA,protein-coding,-,-,-,RegA,20200909,-
555387,8303486,g41,SRSM4_069,-,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20200909,-
555387,8303487,g61,SRSM4_054,-,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20210417,-
555387,8303488,nrdA,SRSM4_053,-,-,-,-,ribonucleotide reductase A subunit,protein-coding,-,-,-,ribonucleotide reductase A subunit,20200909,-
555387,8303489,SRSM4_221,SRSM4_221,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303490,SRSM4_121,SRSM4_121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303491,hli_02,SRSM4_028,-,-,-,-,HLIP,protein-coding,-,-,-,HLIP,20200909,-
555387,8303492,SRSM4_005,SRSM4_005,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303493,SRSM4_022,SRSM4_022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303494,psbA,SRSM4_021,-,-,-,-,D1,protein-coding,-,-,-,D1,20200909,-
555387,8303495,petE,SRSM4_120,-,-,-,-,plastocyanin,protein-coding,-,-,-,plastocyanin,20200909,-
555387,8303496,SRSM4_078,SRSM4_078,-,-,-,-,T4-like clamp loader subunit,protein-coding,-,-,-,T4-like clamp loader subunit,20200909,-
555387,8303497,g45,SRSM4_086,-,-,-,-,T4-like sliding clamp protein,protein-coding,-,-,-,T4-like sliding clamp protein,20200909,-
555387,8303498,SRSM4_249,SRSM4_249,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
555387,8303499,SRSM4_007,SRSM4_007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303500,uvsY,SRSM4_098,-,-,-,-,putative repair and recombination protein,protein-coding,-,-,-,putative repair and recombination protein,20200909,-
555387,8303501,SRSM4_071,SRSM4_071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303502,g3,SRSM4_099,-,-,-,-,tail completrion and sheath stabiliser,protein-coding,-,-,-,tail completrion and sheath stabiliser,20200909,-
555387,8303503,SRSM4_001,SRSM4_001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8319047,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Cyanophage S-RSM4).,other,-,-,-,-,20200715,-
