#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
687803,29124006,BJD43_gp002,BJD43_gp002,R290704_002,-,-,-,cAMP phosphodiesterase,protein-coding,-,-,-,cAMP phosphodiesterase,20200909,-
687803,29124195,BJD43_gp057,BJD43_gp057,R290704_191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124196,BJD43_gp056,BJD43_gp056,R290704_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124197,BJD43_gp055,BJD43_gp055,R290704_193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124198,BJD43_gp054,BJD43_gp054,R290704_194,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200909,-
687803,29124199,BJD43_gp053,BJD43_gp053,R290704_195,-,-,-,ribonucleotide reductase (aerobic) alpha subunit,protein-coding,-,-,-,ribonucleotide reductase (aerobic) alpha subunit,20200909,-
687803,29124200,BJD43_gp052,BJD43_gp052,R290704_196,-,-,-,ribonucleotide reductase (aerobic) beta subunit,protein-coding,-,-,-,ribonucleotide reductase (aerobic) beta subunit,20200909,-
687803,29124201,BJD43_gp051,BJD43_gp051,R290704_197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124202,BJD43_gp050,BJD43_gp050,R290704_198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124203,BJD43_gp049,BJD43_gp049,R290704_199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124204,BJD43_gp048,BJD43_gp048,R290704_200,-,-,-,transaldolase,protein-coding,-,-,-,transaldolase,20200909,-
687803,29124205,BJD43_gp047,BJD43_gp047,R290704_201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124206,BJD43_gp046,BJD43_gp046,R290704_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124207,BJD43_gp045,BJD43_gp045,R290704_203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124208,BJD43_gp044,BJD43_gp044,R290704_204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124209,BJD43_gt007,BJD43_gt007,R290704_205,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
687803,29124210,BJD43_gp043,BJD43_gp043,R290704_206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124211,BJD43_gp042,BJD43_gp042,R290704_207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124212,BJD43_gp041,BJD43_gp041,R290704_208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124213,BJD43_gt008,BJD43_gt008,R290704_209,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
687803,29124214,BJD43_gp040,BJD43_gp040,R290704_210,-,-,-,high-light inducible protein,protein-coding,-,-,-,high-light inducible protein,20210123,-
687803,29124215,BJD43_gp039,BJD43_gp039,R290704_211,-,-,-,high-light inducible protein,protein-coding,-,-,-,high-light inducible protein,20200909,-
687803,29124216,BJD43_gp038,BJD43_gp038,R290704_212,-,-,-,ferredoxin,protein-coding,-,-,-,ferredoxin,20200909,-
687803,29124217,BJD43_gp037,BJD43_gp037,R290704_213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124218,BJD43_gp036,BJD43_gp036,R290704_214,-,-,-,putative thioredoxin,protein-coding,-,-,-,putative thioredoxin,20210123,-
687803,29124219,BJD43_gp035,BJD43_gp035,R290704_215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124220,BJD43_gp034,BJD43_gp034,R290704_216,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124221,BJD43_gp033,BJD43_gp033,R290704_217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124222,BJD43_gp032,BJD43_gp032,R290704_218,-,-,-,photosystem II protein D1,protein-coding,-,-,-,photosystem II protein D1,20200909,-
687803,29124223,BJD43_gp031,BJD43_gp031,R290704_219,-,-,-,photosystem II protein D2,protein-coding,-,-,-,photosystem II protein D2,20200909,-
687803,29124224,BJD43_gp030,BJD43_gp030,R290704_220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124225,BJD43_gp029,BJD43_gp029,R290704_221,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124226,BJD43_gp028,BJD43_gp028,R290704_222,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124227,BJD43_gp027,BJD43_gp027,R290704_223,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20200909,-
687803,29124228,BJD43_gp026,BJD43_gp026,R290704_224,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124229,BJD43_gp025,BJD43_gp025,R290704_225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124230,BJD43_gp024,BJD43_gp024,R290704_226,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124231,BJD43_gp023,BJD43_gp023,R290704_227,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124232,BJD43_gp022,BJD43_gp022,R290704_228,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200909,-
687803,29124233,BJD43_gp021,BJD43_gp021,R290704_229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124234,BJD43_gp020,BJD43_gp020,R290704_230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124235,BJD43_gp019,BJD43_gp019,R290704_231,-,-,-,phosphate-induced stress protein,protein-coding,-,-,-,phosphate-induced stress protein,20200909,-
687803,29124236,BJD43_gp018,BJD43_gp018,R290704_232,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124237,BJD43_gp017,BJD43_gp017,R290704_233,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20200909,-
687803,29124238,BJD43_gp016,BJD43_gp016,R290704_234,-,-,-,loader of DNA helicase,protein-coding,-,-,-,loader of DNA helicase,20200909,-
687803,29124239,BJD43_gp015,BJD43_gp015,R290704_235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124240,BJD43_gp001,BJD43_gp001,R290704_001,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20200909,-
687803,29140713,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
