#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1805948,29058426,BI007_gp261,BI007_gp261,DIGNKC_113,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20200910,-
1805948,29058613,BI007_gp132,BI007_gp132,DIGNKC_242,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058614,BI007_gp131,BI007_gp131,DIGNKC_243,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058615,BI007_gp159,BI007_gp159,DIGNKC_215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058616,BI007_gp158,BI007_gp158,DIGNKC_216,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058617,BI007_gp164,BI007_gp164,DIGNKC_210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058618,BI007_gp163,BI007_gp163,DIGNKC_211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058619,BI007_gp162,BI007_gp162,DIGNKC_212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058620,BI007_gp167,BI007_gp167,DIGNKC_207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058621,BI007_gp166,BI007_gp166,DIGNKC_208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058622,BI007_gp165,BI007_gp165,DIGNKC_209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058623,BI007_gp170,BI007_gp170,DIGNKC_204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058624,BI007_gp169,BI007_gp169,DIGNKC_205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058625,BI007_gp168,BI007_gp168,DIGNKC_206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058626,BI007_gp173,BI007_gp173,DIGNKC_201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058627,BI007_gp172,BI007_gp172,DIGNKC_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058628,BI007_gp171,BI007_gp171,DIGNKC_203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058629,BI007_gp176,BI007_gp176,DIGNKC_198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058630,BI007_gp175,BI007_gp175,DIGNKC_199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058631,BI007_gp174,BI007_gp174,DIGNKC_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058632,BI007_gp178,BI007_gp178,DIGNKC_196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058633,BI007_gp177,BI007_gp177,DIGNKC_197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058634,BI007_gp180,BI007_gp180,DIGNKC_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058635,BI007_gp179,BI007_gp179,DIGNKC_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058636,BI007_gp207,BI007_gp207,DIGNKC_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058637,BI007_gp206,BI007_gp206,DIGNKC_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058638,BI007_gp205,BI007_gp205,DIGNKC_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058639,BI007_gp204,BI007_gp204,DIGNKC_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058640,BI007_gp203,BI007_gp203,DIGNKC_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058641,BI007_gp202,BI007_gp202,DIGNKC_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058642,BI007_gp201,BI007_gp201,DIGNKC_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058643,BI007_gp200,BI007_gp200,DIGNKC_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058644,BI007_gp199,BI007_gp199,DIGNKC_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058645,BI007_gp198,BI007_gp198,DIGNKC_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058646,BI007_gp197,BI007_gp197,DIGNKC_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058647,BI007_gp196,BI007_gp196,DIGNKC_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058648,BI007_gp195,BI007_gp195,DIGNKC_179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058649,BI007_gp194,BI007_gp194,DIGNKC_180,-,-,-,RecA,protein-coding,-,-,-,RecA,20200910,-
1805948,29058650,BI007_gp193,BI007_gp193,DIGNKC_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058651,BI007_gp192,BI007_gp192,DIGNKC_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058652,BI007_gp191,BI007_gp191,DIGNKC_183,-,-,-,sigma factor,protein-coding,-,-,-,sigma factor,20200910,-
1805948,29058653,BI007_gp190,BI007_gp190,DIGNKC_184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058654,BI007_gp189,BI007_gp189,DIGNKC_185,-,-,-,holin,protein-coding,-,-,-,holin,20210424,-
1805948,29058655,BI007_gp188,BI007_gp188,DIGNKC_186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1805948,29058656,BI007_gp187,BI007_gp187,DIGNKC_187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058657,BI007_gp186,BI007_gp186,DIGNKC_188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058658,BI007_gp185,BI007_gp185,DIGNKC_189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058659,BI007_gp184,BI007_gp184,DIGNKC_190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058660,BI007_gp183,BI007_gp183,DIGNKC_191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058661,BI007_gp182,BI007_gp182,DIGNKC_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058662,BI007_gp181,BI007_gp181,DIGNKC_193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058663,BI007_gp234,BI007_gp234,DIGNKC_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058664,BI007_gp233,BI007_gp233,DIGNKC_141,-,-,-,ribonucleotide-diphosphate reductase beta subunit,protein-coding,-,-,-,ribonucleotide-diphosphate reductase beta subunit,20200910,-
1805948,29058665,BI007_gp232,BI007_gp232,DIGNKC_142,-,-,-,flavodoxin,protein-coding,-,-,-,flavodoxin,20200910,-
1805948,29058666,BI007_gp231,BI007_gp231,DIGNKC_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058667,BI007_gp230,BI007_gp230,DIGNKC_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058668,BI007_gp229,BI007_gp229,DIGNKC_145,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20200910,-
1805948,29058669,BI007_gp228,BI007_gp228,DIGNKC_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058670,BI007_gp227,BI007_gp227,DIGNKC_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058671,BI007_gp226,BI007_gp226,DIGNKC_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058672,BI007_gp225,BI007_gp225,DIGNKC_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058673,BI007_gp224,BI007_gp224,DIGNKC_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058674,BI007_gp223,BI007_gp223,DIGNKC_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058675,BI007_gp222,BI007_gp222,DIGNKC_152,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20210424,-
1805948,29058676,BI007_gp221,BI007_gp221,DIGNKC_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058677,BI007_gp220,BI007_gp220,DIGNKC_154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058678,BI007_gp219,BI007_gp219,DIGNKC_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058679,BI007_gp218,BI007_gp218,DIGNKC_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058680,BI007_gp217,BI007_gp217,DIGNKC_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058681,BI007_gp216,BI007_gp216,DIGNKC_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058682,BI007_gp215,BI007_gp215,DIGNKC_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058683,BI007_gp214,BI007_gp214,DIGNKC_160,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200910,-
1805948,29058684,BI007_gp213,BI007_gp213,DIGNKC_161,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20200910,-
1805948,29058685,BI007_gp212,BI007_gp212,DIGNKC_162,-,-,-,DNA polymerase II,protein-coding,-,-,-,DNA polymerase II,20200910,-
1805948,29058686,BI007_gp211,BI007_gp211,DIGNKC_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058687,BI007_gp210,BI007_gp210,DIGNKC_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058688,BI007_gp209,BI007_gp209,DIGNKC_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058689,BI007_gp208,BI007_gp208,DIGNKC_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058690,BI007_gp002,BI007_gp002,DIGNKC_2,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058691,BI007_gp003,BI007_gp003,DIGNKC_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058692,BI007_gp004,BI007_gp004,DIGNKC_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058693,BI007_gp005,BI007_gp005,DIGNKC_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058694,BI007_gp006,BI007_gp006,DIGNKC_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058695,BI007_gp007,BI007_gp007,DIGNKC_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058696,BI007_gp008,BI007_gp008,DIGNKC_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058697,BI007_gp009,BI007_gp009,DIGNKC_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058698,BI007_gp010,BI007_gp010,DIGNKC_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058699,BI007_gp011,BI007_gp011,DIGNKC_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058700,BI007_gp012,BI007_gp012,DIGNKC_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058701,BI007_gp013,BI007_gp013,DIGNKC_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058702,BI007_gp014,BI007_gp014,DIGNKC_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058703,BI007_gp015,BI007_gp015,DIGNKC_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058704,BI007_gp016,BI007_gp016,DIGNKC_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058705,BI007_gp017,BI007_gp017,DIGNKC_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058706,BI007_gp018,BI007_gp018,DIGNKC_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058707,BI007_gp019,BI007_gp019,DIGNKC_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058708,BI007_gp020,BI007_gp020,DIGNKC_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058709,BI007_gp021,BI007_gp021,DIGNKC_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058710,BI007_gp022,BI007_gp022,DIGNKC_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058711,BI007_gp023,BI007_gp023,DIGNKC_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058712,BI007_gp024,BI007_gp024,DIGNKC_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058713,BI007_gp025,BI007_gp025,DIGNKC_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058714,BI007_gp026,BI007_gp026,DIGNKC_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058715,BI007_gp027,BI007_gp027,DIGNKC_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058716,BI007_gp028,BI007_gp028,DIGNKC_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058717,BI007_gp160,BI007_gp160,DIGNKC_214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058718,BI007_gp161,BI007_gp161,DIGNKC_213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058719,BI007_gp001,BI007_gp001,DIGNKC_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29139876,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
