#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1089119,18559274,2,CM09_gp002,COURTHOUSE_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1089119,18559472,199,CM09_gp225,COURTHOUSE_199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559473,200,CM09_gp224,COURTHOUSE_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559474,201,CM09_gp223,COURTHOUSE_201,-,-,-,FtsK-like DNA translocase,protein-coding,-,-,-,FtsK-like DNA translocase,20200927,-
1089119,18559475,202,CM09_gp222,COURTHOUSE_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559476,203,CM09_gp221,COURTHOUSE_203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559477,204,CM09_gp220,COURTHOUSE_204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559478,205,CM09_gp219,COURTHOUSE_205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559479,206,CM09_gp218,COURTHOUSE_206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559480,207,CM09_gp217,COURTHOUSE_207,-,-,-,Ku-like dsDNA break-binding protein,protein-coding,-,-,-,Ku-like dsDNA break-binding protein,20200927,-
1089119,18559481,208,CM09_gp216,COURTHOUSE_208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559482,209,CM09_gp215,COURTHOUSE_209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559483,210,CM09_gp214,COURTHOUSE_210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559484,211,CM09_gp213,COURTHOUSE_211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559485,212,CM09_gp212,COURTHOUSE_212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559486,213,CM09_gp211,COURTHOUSE_213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559487,214,CM09_gp210,COURTHOUSE_214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559488,215,CM09_gp209,COURTHOUSE_215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559489,216,CM09_gp208,COURTHOUSE_216,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559490,217,CM09_gp207,COURTHOUSE_217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559491,218,CM09_gp206,COURTHOUSE_218,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559492,219,CM09_gp205,COURTHOUSE_219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559493,220,CM09_gp204,COURTHOUSE_220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559494,221,CM09_gp203,COURTHOUSE_221,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559495,222,CM09_gp202,COURTHOUSE_222,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559496,223,CM09_gp201,COURTHOUSE_223,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559497,224,CM09_gp200,COURTHOUSE_224,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559498,225,CM09_gp199,COURTHOUSE_225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559499,226,CM09_gp198,COURTHOUSE_226,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559500,227,CM09_gp197,COURTHOUSE_227,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559501,228,CM09_gp196,COURTHOUSE_228,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559502,229,CM09_gp195,COURTHOUSE_229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559503,230,CM09_gp194,COURTHOUSE_230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559504,231,CM09_gp193,COURTHOUSE_231,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559505,232,CM09_gp192,COURTHOUSE_232,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559506,233,CM09_gp191,COURTHOUSE_233,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559507,234,CM09_gp190,COURTHOUSE_234,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559508,235,CM09_gp189,COURTHOUSE_235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559509,236,CM09_gp188,COURTHOUSE_236,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559510,237,CM09_gp187,COURTHOUSE_237,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559511,238,CM09_gp186,COURTHOUSE_238,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559512,239,CM09_gp185,COURTHOUSE_239,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559513,240,CM09_gp184,COURTHOUSE_240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559514,241,CM09_gp183,COURTHOUSE_241,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559515,242,CM09_gp182,COURTHOUSE_242,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559516,243,CM09_gp181,COURTHOUSE_243,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18669595,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Courthouse; Mycobacterium phage Courthouse).,other,-,-,-,-,20200513,-
