#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2218499,65060161,KMC15_gp001,KMC15_gp001,KIT03_01,-,-,-,Protector from prophage-induced early lysis,protein-coding,-,-,-,Protector from prophage-induced early lysis,20210607,-
2218499,65060339,KMC15_gp149,KMC15_gp149,KIT03_253,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060340,KMC15_gp148,KMC15_gp148,KIT03_254,-,-,-,MotA activator of middle period transcription,protein-coding,-,-,-,MotA activator of middle period transcription,20210607,-
2218499,65060341,KMC15_gp147,KMC15_gp147,KIT03_255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060342,KMC15_gp146,KMC15_gp146,KIT03_256,-,-,-,DNA topoisomerase subunit,protein-coding,-,-,-,DNA topoisomerase subunit,20210607,-
2218499,65060343,KMC15_gp145,KMC15_gp145,KIT03_257,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060344,KMC15_gp144,KMC15_gp144,KIT03_258,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060345,KMC15_gp143,KMC15_gp143,KIT03_259,-,-,-,nucleoid disruption protein,protein-coding,-,-,-,nucleoid disruption protein,20210607,-
2218499,65060346,KMC15_gp142,KMC15_gp142,KIT03_260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060347,KMC15_gp027,KMC15_gp027,KIT03_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060348,KMC15_gp141,KMC15_gp141,KIT03_261,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060349,KMC15_gp140,KMC15_gp140,KIT03_262,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060350,KMC15_gp139,KMC15_gp139,KIT03_263,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060351,KMC15_gp138,KMC15_gp138,KIT03_264,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060352,KMC15_gp137,KMC15_gp137,KIT03_265,-,-,-,endonuclease IV,protein-coding,-,-,-,endonuclease IV,20210607,-
2218499,65060353,KMC15_gp136,KMC15_gp136,KIT03_266,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060354,KMC15_gp135,KMC15_gp135,KIT03_267,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060355,KMC15_gp134,KMC15_gp134,KIT03_268,-,-,-,rIIB protector from prophage-induced early lysis,protein-coding,-,-,-,rIIB protector from prophage-induced early lysis,20210607,-
2218499,65060356,KMC15_gp028,KMC15_gp028,KIT03_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060357,KMC15_gp029,KMC15_gp029,KIT03_29,-,-,-,small outer capsid protein,protein-coding,-,-,-,small outer capsid protein,20210607,-
2218499,65060358,KMC15_gp030,KMC15_gp030,KIT03_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060359,KMC15_gp031,KMC15_gp031,KIT03_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060360,KMC15_gp032,KMC15_gp032,KIT03_32,-,-,-,dCTP pyrophosphatase,protein-coding,-,-,-,dCTP pyrophosphatase,20210607,-
2218499,65060361,KMC15_gp033,KMC15_gp033,KIT03_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060362,KMC15_gp034,KMC15_gp034,KIT03_34,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210609,-
2218499,65060363,KMC15_gp035,KMC15_gp035,KIT03_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060364,KMC15_gp036,KMC15_gp036,KIT03_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060365,KMC15_gp037,KMC15_gp037,KIT03_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060366,KMC15_gp038,KMC15_gp038,KIT03_38,-,-,-,spackle periplasmic protein,protein-coding,-,-,-,spackle periplasmic protein,20210607,-
2218499,65060367,KMC15_gp039,KMC15_gp039,KIT03_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060368,KMC15_gp040,KMC15_gp040,KIT03_40,-,-,-,discriminator of mRNA degradation,protein-coding,-,-,-,discriminator of mRNA degradation,20210607,-
2218499,65060369,KMC15_gp041,KMC15_gp041,KIT03_41,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210607,-
2218499,65060370,KMC15_gp042,KMC15_gp042,KIT03_42,-,-,-,head vertex assembly chaperone,protein-coding,-,-,-,head vertex assembly chaperone,20210607,-
2218499,65060371,KMC15_gp043,KMC15_gp043,KIT03_43,-,-,-,RecA-like recombinase,protein-coding,-,-,-,RecA-like recombinase,20210609,-
2218499,65060372,KMC15_gp044,KMC15_gp044,KIT03_44,-,-,-,beta-glucosyl-HMC-alpha-glucosyl-transferase,protein-coding,-,-,-,beta-glucosyl-HMC-alpha-glucosyl-transferase,20210607,-
2218499,65060373,KMC15_gp045,KMC15_gp045,KIT03_45,-,-,-,dCMP hydroxymethylase,protein-coding,-,-,-,dCMP hydroxymethylase,20210609,-
2218499,65060374,KMC15_gp046,KMC15_gp046,KIT03_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060375,KMC15_gp047,KMC15_gp047,KIT03_47,-,-,-,immunity protein to superinfection membrane protein,protein-coding,-,-,-,immunity protein to superinfection membrane protein,20210609,-
2218499,65060376,KMC15_gp048,KMC15_gp048,KIT03_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060377,KMC15_gp049,KMC15_gp049,KIT03_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060378,KMC15_gp050,KMC15_gp050,KIT03_50,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210607,-
2218499,65060379,KMC15_gp051,KMC15_gp051,KIT03_51,-,-,-,translational repressor,protein-coding,-,-,-,translational repressor,20210612,-
2218499,65060380,KMC15_gp052,KMC15_gp052,KIT03_52,-,-,-,clamp loader subunit DNA polymerase accessory protein,protein-coding,-,-,-,clamp loader subunit DNA polymerase accessory protein,20210607,-
2218499,65060381,KMC15_gp053,KMC15_gp053,KIT03_53,-,-,-,clamp loader subunit DNA polymerase accessory protein,protein-coding,-,-,-,clamp loader subunit DNA polymerase accessory protein,20210607,-
2218499,65060382,KMC15_gp054,KMC15_gp054,KIT03_54,-,-,-,"sliding clamp, DNA polymerase accessory protein",protein-coding,-,-,-,"sliding clamp, DNA polymerase accessory protein",20210609,-
2218499,65060383,KMC15_gp055,KMC15_gp055,KIT03_55,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20210607,-
2218499,65060384,KMC15_gp056,KMC15_gp056,KIT03_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2218499,65060385,KMC15_gp057,KMC15_gp057,KIT03_57,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210607,-
2218499,65060386,KMC15_gp058,KMC15_gp058,KIT03_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060387,KMC15_gp059,KMC15_gp059,KIT03_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060388,KMC15_gp060,KMC15_gp060,KIT03_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060389,KMC15_gp061,KMC15_gp061,KIT03_61,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210607,-
2218499,65060390,KMC15_gp062,KMC15_gp062,KIT03_62,-,-,-,glucosyltransferase,protein-coding,-,-,-,glucosyltransferase,20210607,-
2218499,65060391,KMC15_gp063,KMC15_gp063,KIT03_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060392,KMC15_gp064,KMC15_gp064,KIT03_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060393,KMC15_gp065,KMC15_gp065,KIT03_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2218499,65060394,KMC15_gp066,KMC15_gp066,KIT03_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060395,KMC15_gp067,KMC15_gp067,KIT03_67,-,-,-,sigma factor for late transcription,protein-coding,-,-,-,sigma factor for late transcription,20210609,-
2218499,65060396,KMC15_gp068,KMC15_gp068,KIT03_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060397,KMC15_gp069,KMC15_gp069,KIT03_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060398,KMC15_gp070,KMC15_gp070,KIT03_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060399,KMC15_gp071,KMC15_gp071,KIT03_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060400,KMC15_gp072,KMC15_gp072,KIT03_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060401,KMC15_gp073,KMC15_gp073,KIT03_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2218499,65060402,KMC15_gp074,KMC15_gp074,KIT03_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060403,KMC15_gp075,KMC15_gp075,KIT03_75,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210612,-
2218499,65060404,KMC15_gp076,KMC15_gp076,KIT03_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060405,KMC15_gp077,KMC15_gp077,KIT03_77,-,-,-,ribonucleotide reductase of class III activating protein,protein-coding,-,-,-,ribonucleotide reductase of class III activating protein,20210607,-
2218499,65060406,KMC15_gp078,KMC15_gp078,KIT03_78,-,-,-,ribonucleotide reductase of class III large subunit,protein-coding,-,-,-,ribonucleotide reductase of class III large subunit,20210607,-
2218499,65060407,KMC15_gp079,KMC15_gp079,KIT03_79,-,-,-,packaging and recombination endonuclease VII,protein-coding,-,-,-,packaging and recombination endonuclease VII,20210612,-
2218499,65060408,KMC15_gp080,KMC15_gp080,KIT03_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060409,KMC15_gp081,KMC15_gp081,KIT03_81,-,-,-,protease inhibitor,protein-coding,-,-,-,protease inhibitor,20210607,-
2218499,65060410,KMC15_gp082,KMC15_gp082,KIT03_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060411,KMC15_gp083,KMC15_gp083,KIT03_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060412,KMC15_gp084,KMC15_gp084,KIT03_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060413,KMC15_gp085,KMC15_gp085,KIT03_85,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2218499,65060414,KMC15_gp086,KMC15_gp086,KIT03_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060415,KMC15_gp087,KMC15_gp087,KIT03_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060416,KMC15_gp088,KMC15_gp088,KIT03_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060417,KMC15_gp089,KMC15_gp089,KIT03_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060418,KMC15_gp090,KMC15_gp090,KIT03_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060419,KMC15_gp091,KMC15_gp091,KIT03_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060420,KMC15_gp092,KMC15_gp092,KIT03_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060421,KMC15_gp093,KMC15_gp093,KIT03_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060422,KMC15_gp094,KMC15_gp094,KIT03_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060423,KMC15_gp095,KMC15_gp095,KIT03_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060424,KMC15_gp096,KMC15_gp096,KIT03_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060425,KMC15_gp097,KMC15_gp097,KIT03_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060426,KMC15_gp098,KMC15_gp098,KIT03_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060427,KMC15_gp099,KMC15_gp099,KIT03_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060428,KMC15_gp100,KMC15_gp100,KIT03_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060429,KMC15_gt002,KMC15_gt002,KIT03_t002,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2218499,65060430,KMC15_gt003,KMC15_gt003,KIT03_t003,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2218499,65060431,KMC15_gt004,KMC15_gt004,KIT03_t004,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2218499,65060432,KMC15_gt005,KMC15_gt005,KIT03_t005,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2218499,65060433,KMC15_gt006,KMC15_gt006,KIT03_t006,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2218499,65060434,KMC15_gt007,KMC15_gt007,KIT03_t007,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2218499,65060435,KMC15_gp268,KMC15_gp268,KIT03_134,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210607,-
2218499,65060436,KMC15_gt009,KMC15_gt009,KIT03_t009,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2218499,65060437,KMC15_gt010,KMC15_gt010,KIT03_t010,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2218499,65060438,KMC15_gp267,KMC15_gp267,KIT03_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65242828,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
