#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1785753,5845560,OtV5_116c,OtV5_116c,OsV5_128r|OsV5_129r|OsV5_130r,-,-,-,putative NTPase/helicase,protein-coding,-,-,-,putative NTPase/helicase,20201221,-
1785753,5845769,OtV5_108,OtV5_108,OsV5_118f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845770,OtV5_029c,OtV5_029c,OsV5_029r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845771,OtV5_030,OtV5_030,OsV5_030f,-,-,-,putative PhoH phosphate starvation-inducible protein,protein-coding,-,-,-,putative PhoH phosphate starvation-inducible protein,20201221,-
1785753,5845772,OtV5_031,OtV5_031,OsV5_031f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845775,OtV5_066c,OtV5_066c,OsV5_073r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845776,OtV5_037c,OtV5_037c,OsV5_038r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845777,OtV5_038,OtV5_038,OsV5_039f,-,-,-,putative 3-dehydroquinate synthase,protein-coding,-,-,-,putative 3-dehydroquinate synthase,20201221,-
1785753,5845778,OtV5_039,OtV5_039,OsV5_040f,-,-,-,putative oxo-acyl acyl carrier protein dehydrogenase,protein-coding,-,-,-,putative oxo-acyl acyl carrier protein dehydrogenase,20201221,-
1785753,5845780,OtV5_165,OtV5_165,OsV5_184f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845781,OtV5_166c,OtV5_166c,OsV5_185r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845782,OtV5_074,OtV5_074,OsV5_083f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845783,OtV5_075,OtV5_075,OsV5_084f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845784,OtV5_076,OtV5_076,OsV5_085f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845785,OtV5_154c,OtV5_154c,OsV9_171r,-,-,-,putative 33 kDa in vitro translation peptide,protein-coding,-,-,-,putative 33 kDa in vitro translation peptide,20201221,-
1785753,5845786,OtV5_155,OtV5_155,OsV5_175f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845787,OtV5_156c,OtV5_156c,OsV5_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845788,OtV5_014,OtV5_014,OsV5_014r,-,-,-,putative methyltransferase FkbM,protein-coding,-,-,-,putative methyltransferase FkbM,20201221,-
1785753,5845789,OtV5_015c,OtV5_015c,OsV5_015r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845790,OtV5_016c,OtV5_016c,OsV5_016r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845791,OtV5_181c,OtV5_181c,OsV5_201r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845792,OtV5_182,OtV5_182,OsV5_202f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845793,OtV5_183,OtV5_183,OsV5_203f,-,-,-,putative aspartyl/asparaginyl beta-hydroxylase,protein-coding,-,-,-,putative aspartyl/asparaginyl beta-hydroxylase,20201221,-
1785753,5845794,OtV5_092,OtV5_092,OsV5_101f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845795,OtV5_093,OtV5_093,OsV5_102f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845796,OtV5_094,OtV5_094,OsV5_103f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845797,OtV5_222c,OtV5_222c,OsV5_243r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845798,OtV5_223c,OtV5_223c,OsV5_244r,-,-,-,putative DNA topoisomerase II,protein-coding,-,-,-,putative DNA topoisomerase II,20201221,-
1785753,5845799,OtV5_224c,OtV5_224c,OsV5_245r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845800,OtV5_157c,OtV5_157c,OsV5_174r,-,-,-,putative ribonucleoside-diphosphate reductase small chain,protein-coding,-,-,-,putative ribonucleoside-diphosphate reductase small chain,20201221,-
1785753,5845801,OtV5_158,OtV5_158,OsV5_176f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845802,OtV5_159,OtV5_159,OsV5_177f,-,-,-,putative transcription initiation factor IIB,protein-coding,-,-,-,putative transcription initiation factor IIB,20201221,-
1785753,5845805,OtV5_121c,OtV5_121c,OsV5_136r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845806,OtV5_240,OtV5_240,OsV5_261f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845807,OtV5_241,OtV5_241,OsV5_262f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845808,OtV5_242c,OtV5_242c,OsV5_263r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845809,OtV5_097c,OtV5_097c,OsV5_107r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845810,OtV5_098c,OtV5_098c,OsV5_108r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845811,OtV5_099c,OtV5_099c,OsV5_109r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845812,OtV5_040c,OtV5_040c,OsV5_41r,-,-,-,putative NAD-dependent epimerase/dehydratase,protein-coding,-,-,-,putative NAD-dependent epimerase/dehydratase,20201221,-
1785753,5845813,OtV5_041,OtV5_041,OsV5_042f,-,-,-,putative DegT/DnrJ/EryC1/StrS aminotransferase family protein,protein-coding,-,-,-,putative DegT/DnrJ/EryC1/StrS aminotransferase family protein,20201221,-
1785753,5845814,OtV5_042,OtV5_042,OsV5_043f,-,-,-,"putative dTDP-D-glucose 4,6-dehydratase",protein-coding,-,-,-,"putative dTDP-D-glucose 4,6-dehydratase",20201221,-
1785753,5845815,OtV5_210,OtV5_210,OsV5_231f,-,-,-,putative dUTPase,protein-coding,-,-,-,putative dUTPase,20201221,-
1785753,5845816,OtV5_211,OtV5_211,OsV5_232f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845817,OtV5_212c,OtV5_212c,OsV5_233r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845818,OtV5_213c,OtV5_213c,OsV5_234r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845819,OtV5_214,OtV5_214,OsV5_235f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845820,OtV5_215,OtV5_215,OsV5_236f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845821,OtV5_172,OtV5_172,OsV5_192f,-,-,-,putative ribonuclease H,protein-coding,-,-,-,putative ribonuclease H,20201221,-
1785753,26799358,OtV5_198c,OtV5_198c,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,26799359,OtV5_035,OtV5_035,OsV5_035f|OsV5_036f,-,-,-,putative glycosyl transferase group 2,protein-coding,-,-,-,putative glycosyl transferase group 2,20201221,-
1785753,26799360,OtV5_065,OtV5_065,OsV5_0071f|OsV5_069f|OsV5_070f|OsV5_072f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,26799361,OtV5_188c,OtV5_188c,OsV5_208r|OsV5_209r|OsV5_210r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,26799362,OtV5_237,OtV5_237,OsV5_259f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,26799363,OtV5_002c,OtV5_002c,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,26799364,OtV5_003c,OtV5_003c,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,26799365,OtV5_238,OtV5_238,OsV5_259f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,26799366,OtV5_001c,OtV5_001c,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,26799367,OtV5_177,OtV5_177,OsV5_197f,-,-,-,putative 6-phosphofructokinase,protein-coding,-,-,-,putative 6-phosphofructokinase,20201221,-
1785753,26799368,OtV5_044c,OtV5_044c,OsV5_045r|OsV5_046r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,26799369,OtV5_070,OtV5_070,OsV5_77f|OsV5_78f|OsV5_79f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,26799370,OtV5_244c,OtV5_244c,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,26799371,OtV5_229c,OtV5_229c,OsV5_250f|OsV5_251r,-,-,-,putative glycosyl transferase,protein-coding,-,-,-,putative glycosyl transferase,20201221,-
1785753,26799372,OtV5_119c,OtV5_119c,OsV5_133r|OsV5_134r|OsV5_135r,-,-,-,putative viral A-type inclusion protein,protein-coding,-,-,-,putative viral A-type inclusion protein,20201221,-
1785753,26799373,OtV5_126c,OtV5_126c,OsV5_141r|OsV5_142f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,26799374,OtV5_120c,OtV5_120c,OsV5_136r,-,-,-,putative patatin,protein-coding,-,-,-,putative patatin,20201221,-
1785753,26823959,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
