#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713274,55817176,HYQ31_gp002,HYQ31_gp002,allotria_2,-,-,-,tailspike,protein-coding,-,-,-,tailspike,20210306,-
2713274,55817353,HYQ31_gp179,HYQ31_gp179,allotria_179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2713274,55817354,HYQ31_gp180,HYQ31_gp180,allotria_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817355,HYQ31_gp181,HYQ31_gp181,allotria_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817356,HYQ31_gp182,HYQ31_gp182,allotria_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817357,HYQ31_gp183,HYQ31_gp183,allotria_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
2713274,55817358,HYQ31_gp184,HYQ31_gp184,allotria_184,-,-,-,SegD-like protein,protein-coding,-,-,-,SegD-like protein,20210129,-
2713274,55817359,HYQ31_gp185,HYQ31_gp185,allotria_185,-,-,-,putative thioredoxin,protein-coding,-,-,-,putative thioredoxin,20210129,-
2713274,55817360,HYQ31_gp186,HYQ31_gp186,allotria_186,-,-,-,putative 5'(3') deoxyribonucleotidase,protein-coding,-,-,-,putative 5'(3') deoxyribonucleotidase,20210129,-
2713274,55817361,HYQ31_gp187,HYQ31_gp187,allotria_187,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20200910,-
2713274,55817362,HYQ31_gp188,HYQ31_gp188,allotria_188,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210306,-
2713274,55817363,HYQ31_gp189,HYQ31_gp189,allotria_189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817364,HYQ31_gp190,HYQ31_gp190,allotria_190,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210306,-
2713274,55817365,HYQ31_gp191,HYQ31_gp191,allotria_191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817366,HYQ31_gp192,HYQ31_gp192,allotria_192,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210306,-
2713274,55817367,HYQ31_gp193,HYQ31_gp193,allotria_193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817368,HYQ31_gp194,HYQ31_gp194,allotria_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817369,HYQ31_gp195,HYQ31_gp195,allotria_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817370,HYQ31_gp196,HYQ31_gp196,allotria_196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817371,HYQ31_gp197,HYQ31_gp197,allotria_197,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713274,55817372,HYQ31_gp198,HYQ31_gp198,allotria_198,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210123,-
2713274,55817373,HYQ31_gp199,HYQ31_gp199,allotria_199,-,-,-,putative threonine ammonia lyase,protein-coding,-,-,-,putative threonine ammonia lyase,20210129,-
2713274,55817374,HYQ31_gp200,HYQ31_gp200,allotria_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817375,HYQ31_gp201,HYQ31_gp201,allotria_201,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713274,55817376,HYQ31_gp202,HYQ31_gp202,allotria_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817377,HYQ31_gt001,HYQ31_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2713274,55817378,HYQ31_gt002,HYQ31_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2713274,55817379,HYQ31_gt003,HYQ31_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2713274,55817380,HYQ31_gt004,HYQ31_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2713274,55817381,HYQ31_gp001,HYQ31_gp001,allotria_1,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20210129,-
2713274,55863682,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200909,-
