#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
301207,54440093,BU25DRAFT_100067,BU25DRAFT_100067,-,-,Unknown,-,Xanthine/uracil permease,protein-coding,-,-,-,Xanthine/uracil permease,20210320,-
301207,54443234,BU25DRAFT_348088,BU25DRAFT_348088,-,-,Unknown,-,NAD(P)-binding protein,protein-coding,-,-,-,NAD(P)-binding protein,20210320,-
301207,54443235,BU25DRAFT_348094,BU25DRAFT_348094,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443236,BU25DRAFT_348138,BU25DRAFT_348138,-,-,Unknown,-,peptidyl-prolyl cis-trans isomerase B,protein-coding,-,-,-,peptidyl-prolyl cis-trans isomerase B,20210320,-
301207,54443237,BU25DRAFT_348152,BU25DRAFT_348152,-,-,Unknown,-,alpha/beta-hydrolase,protein-coding,-,-,-,alpha/beta-hydrolase,20210320,-
301207,54443238,BU25DRAFT_348163,BU25DRAFT_348163,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443239,BU25DRAFT_348165,BU25DRAFT_348165,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443240,BU25DRAFT_348183,BU25DRAFT_348183,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443241,BU25DRAFT_348190,BU25DRAFT_348190,-,-,Unknown,-,FAD binding domain-containing protein,protein-coding,-,-,-,FAD binding domain-containing protein,20210320,-
301207,54443242,BU25DRAFT_348240,BU25DRAFT_348240,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443243,BU25DRAFT_348270,BU25DRAFT_348270,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443244,BU25DRAFT_348311,BU25DRAFT_348311,-,-,Unknown,-,zinc finger protein,protein-coding,-,-,-,zinc finger protein,20210320,-
301207,54443245,BU25DRAFT_348313,BU25DRAFT_348313,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443246,BU25DRAFT_348318,BU25DRAFT_348318,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443247,BU25DRAFT_348352,BU25DRAFT_348352,-,-,Unknown,-,zinc metalloprotease-like protein,protein-coding,-,-,-,zinc metalloprotease-like protein,20210320,-
301207,54443248,BU25DRAFT_348381,BU25DRAFT_348381,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443249,BU25DRAFT_348382,BU25DRAFT_348382,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443250,BU25DRAFT_348385,BU25DRAFT_348385,-,-,Unknown,-,acyl-CoA N-acyltransferase,protein-coding,-,-,-,acyl-CoA N-acyltransferase,20210320,-
301207,54443251,BU25DRAFT_348426,BU25DRAFT_348426,-,-,Unknown,-,Pkinase-domain-containing protein,protein-coding,-,-,-,Pkinase-domain-containing protein,20210320,-
301207,54443252,BU25DRAFT_348479,BU25DRAFT_348479,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443253,BU25DRAFT_348491,BU25DRAFT_348491,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443254,BU25DRAFT_348494,BU25DRAFT_348494,-,-,Unknown,-,carbohydrate esterase family 5 protein,protein-coding,-,-,-,carbohydrate esterase family 5 protein,20210320,-
301207,54443255,BU25DRAFT_348524,BU25DRAFT_348524,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443256,BU25DRAFT_348536,BU25DRAFT_348536,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443257,BU25DRAFT_348543,BU25DRAFT_348543,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443258,BU25DRAFT_348595,BU25DRAFT_348595,-,-,Unknown,-,glycoside hydrolase family 76 protein,protein-coding,-,-,-,glycoside hydrolase family 76 protein,20210320,-
301207,54443259,BU25DRAFT_348601,BU25DRAFT_348601,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443260,BU25DRAFT_348612,BU25DRAFT_348612,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443261,BU25DRAFT_348619,BU25DRAFT_348619,-,-,Unknown,-,DUF1751-domain-containing protein,protein-coding,-,-,-,DUF1751-domain-containing protein,20210320,-
301207,54443262,BU25DRAFT_348630,BU25DRAFT_348630,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443263,BU25DRAFT_348652,BU25DRAFT_348652,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443264,BU25DRAFT_348657,BU25DRAFT_348657,-,-,Unknown,-,insert subdomain of RNA polymerase alpha subunit,protein-coding,-,-,-,insert subdomain of RNA polymerase alpha subunit,20210320,-
301207,54443265,BU25DRAFT_348666,BU25DRAFT_348666,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443266,BU25DRAFT_348684,BU25DRAFT_348684,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443267,BU25DRAFT_348701,BU25DRAFT_348701,-,-,Unknown,-,cora-domain-containing protein,protein-coding,-,-,-,cora-domain-containing protein,20210320,-
301207,54443268,BU25DRAFT_348749,BU25DRAFT_348749,-,-,Unknown,-,RNA-binding domain-containing protein,protein-coding,-,-,-,RNA-binding domain-containing protein,20210320,-
301207,54443269,BU25DRAFT_348802,BU25DRAFT_348802,-,-,Unknown,-,DUF89-domain-containing protein,protein-coding,-,-,-,DUF89-domain-containing protein,20210320,-
301207,54443270,BU25DRAFT_348803,BU25DRAFT_348803,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443271,BU25DRAFT_348813,BU25DRAFT_348813,-,-,Unknown,-,DnaJ-domain-containing protein,protein-coding,-,-,-,DnaJ-domain-containing protein,20210320,-
301207,54443272,BU25DRAFT_348820,BU25DRAFT_348820,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443273,BU25DRAFT_348845,BU25DRAFT_348845,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443274,BU25DRAFT_348858,BU25DRAFT_348858,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443275,BU25DRAFT_348891,BU25DRAFT_348891,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443276,BU25DRAFT_348893,BU25DRAFT_348893,-,-,Unknown,-,short chain dehydrogenase/reductase family protein-like protein,protein-coding,-,-,-,short chain dehydrogenase/reductase family protein-like protein,20210320,-
301207,54443277,BU25DRAFT_348896,BU25DRAFT_348896,-,-,Unknown,-,glycosyltransferase family 4 protein,protein-coding,-,-,-,glycosyltransferase family 4 protein,20210320,-
301207,54443278,BU25DRAFT_348957,BU25DRAFT_348957,-,-,Unknown,-,putative aspartate aminotransferase,protein-coding,-,-,-,putative aspartate aminotransferase,20210320,-
301207,54443279,BU25DRAFT_348966,BU25DRAFT_348966,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443280,BU25DRAFT_349046,BU25DRAFT_349046,-,-,Unknown,-,putative MFS monocarboxylate transporter,protein-coding,-,-,-,putative MFS monocarboxylate transporter,20210320,-
301207,54443281,BU25DRAFT_349080,BU25DRAFT_349080,-,-,Unknown,-,TRP-domain-containing protein,protein-coding,-,-,-,TRP-domain-containing protein,20210320,-
301207,54443282,BU25DRAFT_349093,BU25DRAFT_349093,-,-,Unknown,-,major facilitator superfamily transporter,protein-coding,-,-,-,major facilitator superfamily transporter,20210320,-
301207,54443283,BU25DRAFT_349099,BU25DRAFT_349099,-,-,Unknown,-,lytic polysaccharide monooxygenase,protein-coding,-,-,-,lytic polysaccharide monooxygenase,20210320,-
301207,54443284,BU25DRAFT_349111,BU25DRAFT_349111,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443285,BU25DRAFT_349118,BU25DRAFT_349118,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443286,BU25DRAFT_349156,BU25DRAFT_349156,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443287,BU25DRAFT_349159,BU25DRAFT_349159,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443288,BU25DRAFT_349170,BU25DRAFT_349170,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443289,BU25DRAFT_3492,BU25DRAFT_3492,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443290,BU25DRAFT_349213,BU25DRAFT_349213,-,-,Unknown,-,beta-lactamase/transpeptidase-like protein,protein-coding,-,-,-,beta-lactamase/transpeptidase-like protein,20210320,-
301207,54443291,BU25DRAFT_349223,BU25DRAFT_349223,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443292,BU25DRAFT_349228,BU25DRAFT_349228,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210320,-
301207,54443293,BU25DRAFT_349246,BU25DRAFT_349246,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210320,-
301207,54443294,BU25DRAFT_349258,BU25DRAFT_349258,-,-,Unknown,-,kinase-like protein,protein-coding,-,-,-,kinase-like protein,20210320,-
301207,54443295,BU25DRAFT_349263,BU25DRAFT_349263,-,-,Unknown,-,Pkinase-domain-containing protein,protein-coding,-,-,-,Pkinase-domain-containing protein,20210320,-
301207,54443296,BU25DRAFT_349272,BU25DRAFT_349272,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443297,BU25DRAFT_349274,BU25DRAFT_349274,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443298,BU25DRAFT_349280,BU25DRAFT_349280,-,-,Unknown,-,polysaccharide lyase family 4 protein,protein-coding,-,-,-,polysaccharide lyase family 4 protein,20210320,-
301207,54443299,BU25DRAFT_349306,BU25DRAFT_349306,-,-,Unknown,-,S-adenosyl-L-methionine-dependent methyltransferase,protein-coding,-,-,-,S-adenosyl-L-methionine-dependent methyltransferase,20210320,-
301207,54443300,BU25DRAFT_349317,BU25DRAFT_349317,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443301,BU25DRAFT_349343,BU25DRAFT_349343,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443302,BU25DRAFT_349346,BU25DRAFT_349346,-,-,Unknown,-,lytic polysaccharide monooxygenase,protein-coding,-,-,-,lytic polysaccharide monooxygenase,20210320,-
301207,54443303,BU25DRAFT_349348,BU25DRAFT_349348,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210320,-
301207,54443304,BU25DRAFT_349363,BU25DRAFT_349363,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443305,BU25DRAFT_349395,BU25DRAFT_349395,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443306,BU25DRAFT_349420,BU25DRAFT_349420,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443307,BU25DRAFT_349452,BU25DRAFT_349452,-,-,Unknown,-,"mitochondrial import inner membrane translocase, subunit Tim21",protein-coding,-,-,-,"mitochondrial import inner membrane translocase, subunit Tim21",20210320,-
301207,54443308,BU25DRAFT_349469,BU25DRAFT_349469,-,-,Unknown,-,TIP41-domain-containing protein,protein-coding,-,-,-,TIP41-domain-containing protein,20210320,-
301207,54443309,BU25DRAFT_349499,BU25DRAFT_349499,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443310,BU25DRAFT_349501,BU25DRAFT_349501,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443311,BU25DRAFT_349540,BU25DRAFT_349540,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443312,BU25DRAFT_349575,BU25DRAFT_349575,-,-,Unknown,-,glycoside hydrolase family 3 protein,protein-coding,-,-,-,glycoside hydrolase family 3 protein,20210320,-
301207,54443313,BU25DRAFT_349584,BU25DRAFT_349584,-,-,Unknown,-,glucose-6-phosphate isomeras-like protein,protein-coding,-,-,-,glucose-6-phosphate isomeras-like protein,20210320,-
301207,54443314,BU25DRAFT_349587,BU25DRAFT_349587,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210320,-
301207,54443315,BU25DRAFT_349596,BU25DRAFT_349596,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443316,BU25DRAFT_349606,BU25DRAFT_349606,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443317,BU25DRAFT_349621,BU25DRAFT_349621,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443318,BU25DRAFT_349622,BU25DRAFT_349622,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443319,BU25DRAFT_349667,BU25DRAFT_349667,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443320,BU25DRAFT_349696,BU25DRAFT_349696,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443321,BU25DRAFT_349702,BU25DRAFT_349702,-,-,Unknown,-,folic acid synthesis protein-like protein,protein-coding,-,-,-,folic acid synthesis protein-like protein,20210320,-
301207,54443322,BU25DRAFT_349757,BU25DRAFT_349757,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
301207,54443323,BU25DRAFT_349777,BU25DRAFT_349777,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
301207,54443324,BU25DRAFT_349779,BU25DRAFT_349779,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
301207,54443325,BU25DRAFT_349807,BU25DRAFT_349807,-,-,Unknown,-,polysaccharide lyase family 3 protein,protein-coding,-,-,-,polysaccharide lyase family 3 protein,20210320,-
301207,54443326,BU25DRAFT_349838,BU25DRAFT_349838,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
301207,54443327,BU25DRAFT_349839,BU25DRAFT_349839,-,-,Unknown,-,glycoside hydrolase family 12 protein,protein-coding,-,-,-,glycoside hydrolase family 12 protein,20210320,-
301207,54443328,BU25DRAFT_349861,BU25DRAFT_349861,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
301207,54443329,BU25DRAFT_349883,BU25DRAFT_349883,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210320,-
301207,54443330,BU25DRAFT_349886,BU25DRAFT_349886,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210320,-
301207,54443331,BU25DRAFT_349901,BU25DRAFT_349901,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
301207,54443332,BU25DRAFT_349921,BU25DRAFT_349921,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210320,-
301207,54443333,BU25DRAFT_349928,BU25DRAFT_349928,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
301207,54443334,BU25DRAFT_349931,BU25DRAFT_349931,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
301207,54443335,BU25DRAFT_349945,BU25DRAFT_349945,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
301207,54443336,BU25DRAFT_349951,BU25DRAFT_349951,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
301207,54443337,BU25DRAFT_349958,BU25DRAFT_349958,-,-,Unknown,-,mannitol dehydrogenase domain-containing protein,protein-coding,-,-,-,mannitol dehydrogenase domain-containing protein,20210320,-
301207,54443338,BU25DRAFT_349973,BU25DRAFT_349973,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
301207,54443339,BU25DRAFT_349974,BU25DRAFT_349974,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
301207,54443340,BU25DRAFT_349981,BU25DRAFT_349981,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
301207,54443341,BU25DRAFT_349999,BU25DRAFT_349999,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
301207,54443342,BU25DRAFT_350035,BU25DRAFT_350035,-,-,Unknown,-,acetyltransferase,protein-coding,-,-,-,acetyltransferase,20210320,-
301207,54443343,BU25DRAFT_350071,BU25DRAFT_350071,-,-,Unknown,-,chromatin structure-remodeling complex protein rsc1,protein-coding,-,-,-,chromatin structure-remodeling complex protein rsc1,20210320,-
301207,54443344,BU25DRAFT_350107,BU25DRAFT_350107,-,-,Unknown,-,metal homeostatis protein bsd2,protein-coding,-,-,-,metal homeostatis protein bsd2,20210320,-
301207,54443345,BU25DRAFT_350148,BU25DRAFT_350148,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443346,BU25DRAFT_350205,BU25DRAFT_350205,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443347,BU25DRAFT_350224,BU25DRAFT_350224,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443348,BU25DRAFT_350248,BU25DRAFT_350248,-,-,Unknown,-,HPC2-domain-containing protein,protein-coding,-,-,-,HPC2-domain-containing protein,20210320,-
301207,54443349,BU25DRAFT_350288,BU25DRAFT_350288,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443350,BU25DRAFT_350307,BU25DRAFT_350307,-,-,Unknown,-,SAICAR synthase-like protein,protein-coding,-,-,-,SAICAR synthase-like protein,20210320,-
301207,54443351,BU25DRAFT_350344,BU25DRAFT_350344,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443352,BU25DRAFT_350351,BU25DRAFT_350351,-,-,Unknown,-,26S protease-like protein regulatory subunit 6B,protein-coding,-,-,-,26S protease-like protein regulatory subunit 6B,20210320,-
301207,54443353,BU25DRAFT_350359,BU25DRAFT_350359,-,-,Unknown,-,nucleolar essential protein 1,protein-coding,-,-,-,nucleolar essential protein 1,20210320,-
301207,54443354,BU25DRAFT_350366,BU25DRAFT_350366,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
301207,54443355,BU25DRAFT_350398,BU25DRAFT_350398,-,-,Unknown,-,DUF453-domain-containing protein,protein-coding,-,-,-,DUF453-domain-containing protein,20210320,-
301207,54443356,BU25DRAFT_350464,BU25DRAFT_350464,-,-,Unknown,-,general substrate transporter,protein-coding,-,-,-,general substrate transporter,20210320,-
301207,54443357,BU25DRAFT_350469,BU25DRAFT_350469,-,-,Unknown,-,quinate permease,protein-coding,-,-,-,quinate permease,20210320,-
301207,54443358,BU25DRAFT_350470,BU25DRAFT_350470,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
301207,54443359,BU25DRAFT_350483,BU25DRAFT_350483,-,-,Unknown,-,acyl-CoA N-acyltransferase,protein-coding,-,-,-,acyl-CoA N-acyltransferase,20210320,-
301207,54443360,BU25DRAFT_350513,BU25DRAFT_350513,-,-,Unknown,-,ankyrin,protein-coding,-,-,-,ankyrin,20210320,-
301207,54443361,BU25DRAFT_350524,BU25DRAFT_350524,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
301207,54443362,BU25DRAFT_350537,BU25DRAFT_350537,-,-,Unknown,-,carbohydrate esterase family 12 protein,protein-coding,-,-,-,carbohydrate esterase family 12 protein,20210320,-
301207,54443363,BU25DRAFT_350554,BU25DRAFT_350554,-,-,Unknown,-,aspartate kinase,protein-coding,-,-,-,aspartate kinase,20210320,-
301207,54443364,BU25DRAFT_350562,BU25DRAFT_350562,-,-,Unknown,-,mitochondrial pyruvate dehydrogenase kinase-like protein,protein-coding,-,-,-,mitochondrial pyruvate dehydrogenase kinase-like protein,20210320,-
301207,54443365,BU25DRAFT_350563,BU25DRAFT_350563,-,-,Unknown,-,HpcH/HpaI aldolase/citrate lyase family protein,protein-coding,-,-,-,HpcH/HpaI aldolase/citrate lyase family protein,20210320,-
301207,54443366,BU25DRAFT_350566,BU25DRAFT_350566,-,-,Unknown,-,"transcription factor, Myb superfamily",protein-coding,-,-,-,"transcription factor, Myb superfamily",20210320,-
301207,54443367,BU25DRAFT_350567,BU25DRAFT_350567,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
301207,54443368,BU25DRAFT_350595,BU25DRAFT_350595,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
301207,54443369,BU25DRAFT_350600,BU25DRAFT_350600,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
301207,54443370,BU25DRAFT_350606,BU25DRAFT_350606,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
301207,54443371,BU25DRAFT_350613,BU25DRAFT_350613,-,-,Unknown,-,ADP-ribosylglycohydrolase,protein-coding,-,-,-,ADP-ribosylglycohydrolase,20210320,-
301207,54443372,BU25DRAFT_350664,BU25DRAFT_350664,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443373,BU25DRAFT_350670,BU25DRAFT_350670,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443374,BU25DRAFT_350747,BU25DRAFT_350747,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443375,BU25DRAFT_350756,BU25DRAFT_350756,-,-,Unknown,-,amidase signature enzyme,protein-coding,-,-,-,amidase signature enzyme,20210320,-
301207,54443376,BU25DRAFT_350774,BU25DRAFT_350774,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443377,BU25DRAFT_350777,BU25DRAFT_350777,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443378,BU25DRAFT_350821,BU25DRAFT_350821,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443379,BU25DRAFT_350828,BU25DRAFT_350828,-,-,Unknown,-,potassium transport protein-like protein 1,protein-coding,-,-,-,potassium transport protein-like protein 1,20210320,-
301207,54443380,BU25DRAFT_350842,BU25DRAFT_350842,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443381,BU25DRAFT_350846,BU25DRAFT_350846,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443382,BU25DRAFT_350877,BU25DRAFT_350877,-,-,Unknown,-,heme oxygenase-like protein,protein-coding,-,-,-,heme oxygenase-like protein,20210320,-
301207,54443383,BU25DRAFT_350878,BU25DRAFT_350878,-,-,Unknown,-,glycoside hydrolase family 16 protein,protein-coding,-,-,-,glycoside hydrolase family 16 protein,20210320,-
301207,54443384,BU25DRAFT_350895,BU25DRAFT_350895,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443385,BU25DRAFT_350903,BU25DRAFT_350903,-,-,Unknown,-,ser/Thr protein phosphatase family protein,protein-coding,-,-,-,ser/Thr protein phosphatase family protein,20210320,-
301207,54443386,BU25DRAFT_350925,BU25DRAFT_350925,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443387,BU25DRAFT_350935,BU25DRAFT_350935,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443388,BU25DRAFT_350955,BU25DRAFT_350955,-,-,Unknown,-,RNA-binding domain-containing protein,protein-coding,-,-,-,RNA-binding domain-containing protein,20210320,-
301207,54443389,BU25DRAFT_350978,BU25DRAFT_350978,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443390,BU25DRAFT_350991,BU25DRAFT_350991,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443391,BU25DRAFT_350995,BU25DRAFT_350995,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443392,BU25DRAFT_351025,BU25DRAFT_351025,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443393,BU25DRAFT_351032,BU25DRAFT_351032,-,-,Unknown,-,class II aaRS and biotin synthetase,protein-coding,-,-,-,class II aaRS and biotin synthetase,20210320,-
301207,54443394,BU25DRAFT_351066,BU25DRAFT_351066,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443395,BU25DRAFT_351121,BU25DRAFT_351121,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54443396,BU25DRAFT_351123,BU25DRAFT_351123,-,-,Unknown,-,amidase signature enzyme,protein-coding,-,-,-,amidase signature enzyme,20210320,-
301207,54443397,BU25DRAFT_351126,BU25DRAFT_351126,-,-,Unknown,-,pfkB family kinase,protein-coding,-,-,-,pfkB family kinase,20210320,-
301207,54443398,BU25DRAFT_351161,BU25DRAFT_351161,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54443399,BU25DRAFT_351189,BU25DRAFT_351189,-,-,Unknown,-,HPP family protein,protein-coding,-,-,-,HPP family protein,20210320,-
301207,54443400,BU25DRAFT_351192,BU25DRAFT_351192,-,-,Unknown,-,molybdopterin biosynthesis enzyme,protein-coding,-,-,-,molybdopterin biosynthesis enzyme,20210320,-
301207,54443401,BU25DRAFT_351241,BU25DRAFT_351241,-,-,Unknown,-,beach-domain-containing protein,protein-coding,-,-,-,beach-domain-containing protein,20210320,-
