#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
221915,3293517,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage K; Staphylococcus aureus phage K; Staphylococcus phage K).,other,-,-,-,-,20200513,-
221915,19622137,CPT_phageK_gp050,CPT_phageK_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622138,CPT_phageK_gp049,CPT_phageK_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
221915,19622139,CPT_phageK_gp048,CPT_phageK_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622140,CPT_phageK_gp047,CPT_phageK_gp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622141,CPT_phageK_gp046,CPT_phageK_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622142,CPT_phageK_gp045,CPT_phageK_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622143,CPT_phageK_gp044,CPT_phageK_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
221915,19622144,CPT_phageK_gp043,CPT_phageK_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622145,CPT_phageK_gp042,CPT_phageK_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622146,CPT_phageK_gp041,CPT_phageK_gp041,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210129,-
221915,19622147,CPT_phageK_gp040,CPT_phageK_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622148,CPT_phageK_gp039,CPT_phageK_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
221915,19622149,CPT_phageK_gp038,CPT_phageK_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622150,CPT_phageK_gp037,CPT_phageK_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622151,CPT_phageK_gp036,CPT_phageK_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622152,CPT_phageK_gp035,CPT_phageK_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622153,CPT_phageK_gp034,CPT_phageK_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622154,CPT_phageK_gp033,CPT_phageK_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622155,CPT_phageK_gp001,CPT_phageK_gp001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622156,CPT_phageK_gp192,CPT_phageK_gp192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622157,tRNA-Trp,CPT_phageK_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
221915,19622158,CPT_phageK_gp190,CPT_phageK_gp190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622159,CPT_phageK_gp189,CPT_phageK_gp189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622160,CPT_phageK_gp188,CPT_phageK_gp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622161,CPT_phageK_gp187,CPT_phageK_gp187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
221915,19622162,CPT_phageK_gp186,CPT_phageK_gp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622163,CPT_phageK_gp185,CPT_phageK_gp185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622164,CPT_phageK_gp184,CPT_phageK_gp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622165,CPT_phageK_gp183,CPT_phageK_gp183,-,-,-,-,terminase large subunit family protein,protein-coding,-,-,-,terminase large subunit family protein,20210212,-
221915,19622166,CPT_phageK_gp182,CPT_phageK_gp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622167,CPT_phageK_gp181,CPT_phageK_gp181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622168,CPT_phageK_gp180,CPT_phageK_gp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622169,CPT_phageK_gp179,CPT_phageK_gp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622170,CPT_phageK_gp178,CPT_phageK_gp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622171,CPT_phageK_gp177,CPT_phageK_gp177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622172,CPT_phageK_gp176,CPT_phageK_gp176,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210320,-
221915,19622173,CPT_phageK_gp175,CPT_phageK_gp175,-,-,-,-,HK97 familygprohead protease,protein-coding,-,-,-,HK97 familygprohead protease,20201220,-
221915,19622174,CPT_phageK_gp174,CPT_phageK_gp174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622175,CPT_phageK_gp173,CPT_phageK_gp173,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
221915,19622176,CPT_phageK_gp172,CPT_phageK_gp172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622177,CPT_phageK_gp171,CPT_phageK_gp171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622178,CPT_phageK_gp170,CPT_phageK_gp170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622179,CPT_phageK_gp169,CPT_phageK_gp169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622180,CPT_phageK_gp168,CPT_phageK_gp168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622181,CPT_phageK_gp167,CPT_phageK_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622182,CPT_phageK_gp166,CPT_phageK_gp166,-,-,-,-,putative major tail sheath protein,protein-coding,-,-,-,putative major tail sheath protein,20210212,-
221915,19622183,CPT_phageK_gp165,CPT_phageK_gp165,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20201220,-
221915,19622184,CPT_phageK_gp164,CPT_phageK_gp164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622185,CPT_phageK_gp163,CPT_phageK_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622186,CPT_phageK_gp162,CPT_phageK_gp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622187,CPT_phageK_gp161,CPT_phageK_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622188,CPT_phageK_gp160,CPT_phageK_gp160,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20201220,-
221915,19622189,CPT_phageK_gp159,CPT_phageK_gp159,-,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20200909,-
221915,19622190,CPT_phageK_gp158,CPT_phageK_gp158,-,-,-,-,putative tail tape measure protein,protein-coding,-,-,-,putative tail tape measure protein,20201220,-
221915,19622191,CPT_phageK_gp157,CPT_phageK_gp157,-,-,-,-,CHAP domain-containing protein,protein-coding,-,-,-,CHAP domain-containing protein,20201220,-
221915,19622192,CPT_phageK_gp156,CPT_phageK_gp156,-,-,-,-,putative cysteine protease,protein-coding,-,-,-,putative cysteine protease,20200629,-
221915,19622193,CPT_phageK_gp155,CPT_phageK_gp155,-,-,-,-,putative phosphodiesterase,protein-coding,-,-,-,putative phosphodiesterase,20201220,-
