#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
722417,26041284,APL47_gp002,APL47_gp002,CPT_0002,-,-,-,Putative base plate hub assembly catalyst,protein-coding,-,-,-,Putative base plate hub assembly catalyst,20200629,-
722417,26041465,APL47_gp135,APL47_gp135,CPT_0185,-,-,-,hypothetical phage membrane protein,protein-coding,-,-,-,hypothetical phage membrane protein,20200629,-
722417,26041466,APL47_gp134,APL47_gp134,CPT_0186,-,-,-,hypothetical phage protein (possible baseplate tail tube cap),protein-coding,-,-,-,hypothetical phage protein (possible baseplate tail tube cap),20200629,-
722417,26041467,APL47_gp133,APL47_gp133,CPT_0187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041468,APL47_gp132,APL47_gp132,CPT_0188,-,-,-,Probable phage tail completion and stabilizer protein,protein-coding,-,-,-,Probable phage tail completion and stabilizer protein,20200629,-
722417,26041469,APL47_gp131,APL47_gp131,CPT_0189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041470,APL47_gp130,APL47_gp130,CPT_0190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041471,APL47_gp129,APL47_gp129,CPT_0191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041472,APL47_gp128,APL47_gp128,CPT_0192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041473,APL47_gp127,APL47_gp127,CPT_0193,-,-,-,Probable phage prohead core protein precursor,protein-coding,-,-,-,Probable phage prohead core protein precursor,20200629,-
722417,26041474,APL47_gp126,APL47_gp126,CPT_0194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041475,APL47_gp151,APL47_gp151,CPT_0169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041476,tRNA-Pseudo,APL47_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
722417,26041477,APL47_gp194,APL47_gp194,CPT_0126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041478,APL47_gp171,APL47_gp171,CPT_0149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041479,APL47_gp001,APL47_gp001,CPT_0001,-,-,-,putative phage DNA packaging protein (terminase),protein-coding,-,-,-,putative phage DNA packaging protein (terminase),20200629,-
722417,26045495,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Campylobacter phage CP220).,other,-,-,-,-,20200513,-
