#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1701810,26647186,CPT_Margaery2,CPT_Margaery2,-,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20200910,-
1701810,26647378,CPT_Margaery193,CPT_Margaery193,-,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20200910,-
1701810,26647379,CPT_Margaery194,CPT_Margaery194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647380,CPT_Margaery195,CPT_Margaery195,-,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20210327,-
1701810,26647381,CPT_Margaery196,CPT_Margaery196,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20200910,-
1701810,26647382,CPT_Margaery197,CPT_Margaery197,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200910,-
1701810,26647383,CPT_Margaery198,CPT_Margaery198,-,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20200910,-
1701810,26647384,CPT_Margaery199,CPT_Margaery199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647385,CPT_Margaery200,CPT_Margaery200,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200910,-
1701810,26647386,CPT_Margaery201,CPT_Margaery201,-,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20200910,-
1701810,26647387,CPT_Margaery202,CPT_Margaery202,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200910,-
1701810,26647388,CPT_Margaery203,CPT_Margaery203,-,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20200910,-
1701810,26647389,CPT_Margaery204,CPT_Margaery204,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20200910,-
1701810,26647390,CPT_Margaery205,CPT_Margaery205,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20200910,-
1701810,26647391,CPT_Margaery206,CPT_Margaery206,-,-,-,-,short tail fiber protein,protein-coding,-,-,-,short tail fiber protein,20200910,-
1701810,26647392,CPT_Margaery207,CPT_Margaery207,-,-,-,-,fibritin neck whisker protein,protein-coding,-,-,-,fibritin neck whisker protein,20200910,-
1701810,26647393,CPT_Margaery208,CPT_Margaery208,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200910,-
1701810,26647394,CPT_Margaery209,CPT_Margaery209,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200910,-
1701810,26647395,CPT_Margaery210,CPT_Margaery210,-,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20200910,-
1701810,26647396,CPT_Margaery211,CPT_Margaery211,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200910,-
1701810,26647397,CPT_Margaery212,CPT_Margaery212,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200910,-
1701810,26647398,CPT_Margaery213,CPT_Margaery213,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200910,-
1701810,26647399,CPT_Margaery214,CPT_Margaery214,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200910,-
1701810,26647400,CPT_Margaery215,CPT_Margaery215,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200910,-
1701810,26647401,CPT_Margaery216,CPT_Margaery216,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20200910,-
1701810,26647402,CPT_Margaery217,CPT_Margaery217,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20200910,-
1701810,26647403,CPT_Margaery218,CPT_Margaery218,-,-,-,-,prohead core and protease,protein-coding,-,-,-,prohead core and protease,20200910,-
1701810,26647404,CPT_Margaery219,CPT_Margaery219,-,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20200910,-
1701810,26647405,CPT_Margaery220,CPT_Margaery220,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
1701810,26647406,CPT_Margaery221,CPT_Margaery221,-,-,-,-,capsid vertex protein,protein-coding,-,-,-,capsid vertex protein,20200910,-
1701810,26647407,CPT_Margaery222,CPT_Margaery222,-,-,-,-,ssDNA-binding protein,protein-coding,-,-,-,ssDNA-binding protein,20210123,-
1701810,26647408,CPT_Margaery223,CPT_Margaery223,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647409,CPT_Margaery224,CPT_Margaery224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647410,CPT_Margaery225,CPT_Margaery225,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200910,-
1701810,26647411,CPT_Margaery226,CPT_Margaery226,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20200910,-
1701810,26647412,CPT_Margaery227,CPT_Margaery227,-,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20200910,-
1701810,26647413,CPT_Margaery228,CPT_Margaery228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647414,CPT_Margaery229,CPT_Margaery229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1701810,26647415,CPT_Margaery230,CPT_Margaery230,-,-,-,-,capsid decoration protein,protein-coding,-,-,-,capsid decoration protein,20200910,-
1701810,26647416,CPT_Margaery231,CPT_Margaery231,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647417,CPT_Margaery232,CPT_Margaery232,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647418,CPT_Margaery233,CPT_Margaery233,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647419,CPT_Margaery234,CPT_Margaery234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647420,CPT_Margaery235,CPT_Margaery235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647421,CPT_Margaery236,CPT_Margaery236,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647422,CPT_Margaery237,CPT_Margaery237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647423,CPT_Margaery238,CPT_Margaery238,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647424,CPT_Margaery239,CPT_Margaery239,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647425,CPT_Margaery240,CPT_Margaery240,-,-,-,-,decoy of host sigma factor,protein-coding,-,-,-,decoy of host sigma factor,20200910,-
1701810,26647426,CPT_Margaery241,CPT_Margaery241,-,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20200910,-
1701810,26647427,CPT_Margaery242,CPT_Margaery242,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1701810,26647428,CPT_Margaery243,CPT_Margaery243,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647429,CPT_Margaery244,CPT_Margaery244,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647430,CPT_Margaery245,CPT_Margaery245,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647431,CPT_Margaery246,CPT_Margaery246,-,-,-,-,nicotinate phosphoribosyltransferase,protein-coding,-,-,-,nicotinate phosphoribosyltransferase,20200910,-
1701810,26647432,CPT_Margaery247,CPT_Margaery247,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647433,CPT_Margaery248,CPT_Margaery248,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200910,-
1701810,26647434,CPT_Margaery249,CPT_Margaery249,-,-,-,-,DNA adenine methyltransferase,protein-coding,-,-,-,DNA adenine methyltransferase,20200910,-
1701810,26647435,CPT_Margaery250,CPT_Margaery250,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210424,-
1701810,26647436,CPT_Margaery251,CPT_Margaery251,-,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20200910,-
1701810,26647437,CPT_Margaery252,CPT_Margaery252,-,-,-,-,NTP reductase large subunit,protein-coding,-,-,-,NTP reductase large subunit,20200910,-
1701810,26647438,CPT_Margaery253,CPT_Margaery253,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647439,CPT_Margaery254,CPT_Margaery254,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647440,CPT_Margaery255,CPT_Margaery255,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647441,CPT_Margaery256,CPT_Margaery256,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647442,CPT_Margaery257,CPT_Margaery257,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647443,CPT_Margaery258,CPT_Margaery258,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647444,CPT_Margaery259,CPT_Margaery259,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647445,CPT_Margaery260,CPT_Margaery260,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647446,CPT_Margaery261,CPT_Margaery261,-,-,-,-,NTP reductase small subunit,protein-coding,-,-,-,NTP reductase small subunit,20200910,-
1701810,26647447,CPT_Margaery262,CPT_Margaery262,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647448,CPT_Margaery263,CPT_Margaery263,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647449,CPT_Margaery264,CPT_Margaery264,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210129,-
1701810,26647450,CPT_Margaery265,CPT_Margaery265,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647451,CPT_Margaery266,CPT_Margaery266,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647452,CPT_Margaery267,CPT_Margaery267,-,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20200910,-
1701810,26647453,CPT_Margaery268,CPT_Margaery268,-,-,-,-,hinge connector of long tail fiber proximal connector,protein-coding,-,-,-,hinge connector of long tail fiber proximal connector,20200910,-
1701810,26647454,CPT_Margaery269,CPT_Margaery269,-,-,-,-,hinge connector of long tail fiber distal connector,protein-coding,-,-,-,hinge connector of long tail fiber distal connector,20200910,-
1701810,26647455,CPT_Margaery270,CPT_Margaery270,-,-,-,-,L-shaped tail fiber protein,protein-coding,-,-,-,L-shaped tail fiber protein,20200910,-
1701810,26647456,CPT_Margaery271,CPT_Margaery271,-,-,-,-,distal long tail fiber assembly catayst,protein-coding,-,-,-,distal long tail fiber assembly catayst,20200910,-
1701810,26647457,CPT_Margaery272,CPT_Margaery272,-,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
1701810,26647458,CPT_Margaery273,CPT_Margaery273,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647459,CPT_Margaery274,CPT_Margaery274,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647460,CPT_Margaery275,CPT_Margaery275,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647461,CPT_Margaery276,CPT_Margaery276,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647462,CPT_Margaery277,CPT_Margaery277,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647463,CPT_Margaery278,CPT_Margaery278,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647464,CPT_Margaery279,CPT_Margaery279,-,-,-,-,nuclear disruption protein,protein-coding,-,-,-,nuclear disruption protein,20200910,-
1701810,26647465,CPT_Margaery280,CPT_Margaery280,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647466,CPT_Margaery1,CPT_Margaery1,-,-,-,-,rIIB protein,protein-coding,-,-,-,rIIB protein,20200910,-
1701810,26683543,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
