#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1498168,24628048,ACQ25_gp001,ACQ25_gp001,-,-,-,-,putative cytidine deaminase,protein-coding,-,-,-,putative cytidine deaminase,20200910,-
1498168,24628242,ACQ25_gp149,ACQ25_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628243,ACQ25_gp148,ACQ25_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628244,ACQ25_gp147,ACQ25_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628245,ACQ25_gp146,ACQ25_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628246,ACQ25_gp145,ACQ25_gp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628247,ACQ25_gp144,ACQ25_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628248,ACQ25_gp143,ACQ25_gp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628249,ACQ25_gp142,ACQ25_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628250,ACQ25_gp141,ACQ25_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628251,ACQ25_gp140,ACQ25_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628252,ACQ25_gp139,ACQ25_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628253,ACQ25_gp138,ACQ25_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628254,ACQ25_gp137,ACQ25_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628255,ACQ25_gp136,ACQ25_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628256,ACQ25_gp135,ACQ25_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628257,ACQ25_gp134,ACQ25_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628258,ACQ25_gp133,ACQ25_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628259,ACQ25_gp132,ACQ25_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628260,ACQ25_gp131,ACQ25_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628261,ACQ25_gp130,ACQ25_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628262,ACQ25_gp129,ACQ25_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628263,ACQ25_gp128,ACQ25_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628264,ACQ25_gp127,ACQ25_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628265,ACQ25_gp126,ACQ25_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628266,ACQ25_gp125,ACQ25_gp125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628267,ACQ25_gp124,ACQ25_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628268,ACQ25_gp123,ACQ25_gp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628269,ACQ25_gp122,ACQ25_gp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628270,ACQ25_gp121,ACQ25_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628271,ACQ25_gp120,ACQ25_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628272,ACQ25_gp119,ACQ25_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24936500,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
