#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1382932,16575362,105,TROLL_105,-,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20201221,-
1382932,16575593,273,TROLL_273,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575594,274,TROLL_274,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575595,275,TROLL_275,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575596,276,TROLL_276,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575597,277,TROLL_277,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575598,278,TROLL_278,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575599,279,TROLL_279,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575600,280,TROLL_280,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575601,281,TROLL_281,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575602,263,TROLL_263,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575603,60,TROLL_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575604,61,TROLL_61,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1382932,16575605,62,TROLL_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575606,63,TROLL_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575607,64,TROLL_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575608,65,TROLL_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575609,66,TROLL_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575610,67,TROLL_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575611,68,TROLL_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575612,69,TROLL_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575613,70,TROLL_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575614,71,TROLL_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575615,72,TROLL_72,-,-,-,-,HTH binding domain protein,protein-coding,-,-,-,HTH binding domain protein,20201221,-
1382932,16575616,73,TROLL_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575617,74,TROLL_74,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210529,-
1382932,16575618,75,TROLL_75,-,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20210529,-
1382932,16575619,76,TROLL_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575620,77,TROLL_77,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1382932,16575621,78,TROLL_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575622,79,TROLL_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575623,80,TROLL_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575624,81,TROLL_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575625,82,TROLL_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575626,83,TROLL_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575627,84,TROLL_84,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20201221,-
1382932,16575628,85,TROLL_85,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20201221,-
1382932,16575629,86,TROLL_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575630,87,TROLL_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575631,88,TROLL_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575632,89,TROLL_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575633,90,TROLL_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575634,91,TROLL_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575635,93,TROLL_93,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1382932,16575636,94,TROLL_94,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201221,-
1382932,16575637,92,TROLL_92,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20201221,-
1382932,16575638,95,TROLL_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575639,96,TROLL_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575640,97,TROLL_97,-,-,-,-,tail lysin 1,protein-coding,-,-,-,tail lysin 1,20201221,-
1382932,16575641,98,TROLL_98,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1382932,16575642,99,TROLL_99,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1382932,16575643,100,TROLL_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575644,101,TROLL_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575645,102,TROLL_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575646,103,TROLL_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575647,104,TROLL_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575648,37,TROLL_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575649,191,TROLL_191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575650,59,TROLL_59,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
1382932,16691833,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
1382932,18991597,218,TROLL_218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,18991598,266,TROLL_266,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
