#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1980139,40076539,ybeZ,FDH44_gp001,LAV_00001,-,-,-,PhoH-like protein,protein-coding,-,-,-,PhoH-like protein,20200910,-
1980139,40076726,FDH44_gp115,FDH44_gp115,LAV_00188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076727,FDH44_gp114,FDH44_gp114,LAV_00189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076728,FDH44_gp113,FDH44_gp113,LAV_00190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076729,FDH44_gp112,FDH44_gp112,LAV_00191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076730,FDH44_gp111,FDH44_gp111,LAV_00192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076731,FDH44_gp110,FDH44_gp110,LAV_00193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076732,FDH44_gp109,FDH44_gp109,LAV_00194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076733,ruvC,FDH44_gp108,LAV_00195,-,-,-,crossover junction endodeoxyribonuclease,protein-coding,-,-,-,crossover junction endodeoxyribonuclease,20200910,-
1980139,40076734,FDH44_gp107,FDH44_gp107,LAV_00196,-,-,-,terminase-like family protein,protein-coding,-,-,-,terminase-like family protein,20200910,-
1980139,40076735,FDH44_gp106,FDH44_gp106,LAV_00197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076736,FDH44_gp105,FDH44_gp105,LAV_00198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076737,FDH44_gp104,FDH44_gp104,LAV_00199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076738,FDH44_gp103,FDH44_gp103,LAV_00200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076739,FDH44_gp102,FDH44_gp102,LAV_00201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076740,FDH44_gp101,FDH44_gp101,LAV_00202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076741,FDH44_gp100,FDH44_gp100,LAV_00203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076742,FDH44_gp099,FDH44_gp099,LAV_00204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076743,FDH44_gp098,FDH44_gp098,LAV_00205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076744,FDH44_gp097,FDH44_gp097,LAV_00206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076745,FDH44_gp096,FDH44_gp096,LAV_00207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076746,FDH44_gp095,FDH44_gp095,LAV_00208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076747,FDH44_gp094,FDH44_gp094,LAV_00209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076748,FDH44_gp093,FDH44_gp093,LAV_00210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076749,FDH44_gp092,FDH44_gp092,LAV_00211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076750,FDH44_gp091,FDH44_gp091,LAV_00212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076751,FDH44_gp090,FDH44_gp090,LAV_00213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076752,FDH44_gp089,FDH44_gp089,LAV_00214,-,-,-,ANTAR domain protein,protein-coding,-,-,-,ANTAR domain protein,20200910,-
1980139,40076753,FDH44_gp088,FDH44_gp088,LAV_00215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076754,FDH44_gp087,FDH44_gp087,LAV_00216,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076755,FDH44_gp086,FDH44_gp086,LAV_00217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076756,FDH44_gp085,FDH44_gp085,LAV_00218,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076757,FDH44_gp084,FDH44_gp084,LAV_00219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076758,FDH44_gp083,FDH44_gp083,LAV_00220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076759,FDH44_gp082,FDH44_gp082,LAV_00221,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40120396,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Sphingobium phage S21).,other,-,-,-,-,20200513,-
