#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1526408,22110048,P108_0002,P108_0002,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
1526408,22110263,P108_0217,P108_0217,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110264,P108_0218,P108_0218,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210424,-
1526408,22110265,P108_0219,P108_0219,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200629,-
1526408,22110266,P108_0220,P108_0220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110267,P108_0221,P108_0221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110268,P108_0222,P108_0222,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110269,P108_0223,P108_0223,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110270,P108_0224,P108_0224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110271,P108_0225,P108_0225,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20200629,-
1526408,22110272,P108_0226,P108_0226,-,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20200629,-
1526408,22110273,P108_0152,P108_0152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110274,P108_r03,P108_r03,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1526408,22110275,P108_0192,P108_0192,-,-,-,-,Iro protein,protein-coding,-,-,-,Iro protein,20200629,-
1526408,22110276,P108_0001,P108_0001,-,-,-,-,tape masure protein,protein-coding,-,-,-,tape masure protein,20200629,-
1526408,22203826,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Staphylococcus aureus phage P108).,other,-,-,-,-,20200513,-
